statid;timeobs (UTC);vindretning (°);label
0° is quiet, 360° is wind from north, 90° is wind from east etc.
619700;2009010100;294;1100
619700;2009010101;273;1100
619700;2009010102;280;1100
619700;2009010103;277;1100
619700;2009010104;283;1100
619700;2009010105;324;1100
619700;2009010106;4;1100
619700;2009010107;355;1100
619700;2009010108;5;1100
619700;2009010109;3;1100
619700;2009010110;7;1100
619700;2009010111;11;1100
619700;2009010112;14;1100
619700;2009010113;18;1100
619700;2009010114;14;1100
619700;2009010115;6;1100
619700;2009010116;12;1100
619700;2009010117;6;1100
619700;2009010118;356;1100
619700;2009010119;5;1100
619700;2009010120;341;1100
619700;2009010121;327;1100
619700;2009010122;336;1100
619700;2009010123;343;1100
619700;2009010200;336;1100
619700;2009010201;320;1100
619700;2009010202;324;1100
619700;2009010203;311;1100
619700;2009010204;307;1100
619700;2009010205;312;1100
619700;2009010206;319;1100
619700;2009010207;329;1100
619700;2009010208;327;1100
619700;2009010209;326;1100
619700;2009010210;319;1100
619700;2009010211;321;1100
619700;2009010212;327;1100
619700;2009010213;329;1100
619700;2009010214;325;1100
619700;2009010215;318;1100
619700;2009010216;303;1100
619700;2009010217;309;1100
619700;2009010218;305;1100
619700;2009010219;298;1100
619700;2009010220;297;1100
619700;2009010221;301;1100
619700;2009010222;303;1100
619700;2009010223;288;1100
619700;2009010300;281;1100
619700;2009010301;274;1100
619700;2009010302;271;1100
619700;2009010303;270;1100
619700;2009010304;258;1100
619700;2009010305;269;1100
619700;2009010306;284;1100
619700;2009010307;287;1100
619700;2009010308;281;1100
619700;2009010309;279;1100
619700;2009010310;281;1100
619700;2009010311;279;1100
619700;2009010312;274;1100
619700;2009010313;263;1100
619700;2009010314;262;1100
619700;2009010315;272;1100
619700;2009010316;278;1100
619700;2009010317;293;1100
619700;2009010318;315;1100
619700;2009010319;338;1100
619700;2009010320;331;1100
619700;2009010321;348;1100
619700;2009010322;357;1100
619700;2009010323;355;1100
619700;2009010400;350;1100
619700;2009010401;358;1100
619700;2009010402;360;1100
619700;2009010403;357;1100
619700;2009010404;355;1100
619700;2009010405;11;1100
619700;2009010406;31;1100
619700;2009010407;44;1100
619700;2009010408;3;1100
619700;2009010409;336;1100
619700;2009010410;62;1100
619700;2009010411;88;1100
619700;2009010412;107;1100
619700;2009010413;266;1100
619700;2009010414;345;1100
619700;2009010415;72;1100
619700;2009010416;51;1100
619700;2009010417;60;1100
619700;2009010418;73;1100
619700;2009010419;73;1100
619700;2009010420;92;1100
619700;2009010421;91;1100
619700;2009010422;88;1100
619700;2009010423;89;1100
619700;2009010500;88;1100
619700;2009010501;88;1100
619700;2009010502;86;1100
619700;2009010503;82;1100
619700;2009010504;66;1100
619700;2009010505;46;1100
619700;2009010506;5;1100
619700;2009010507;28;1100
619700;2009010508;82;1100
619700;2009010509;29;1100
619700;2009010510;21;1100
619700;2009010511;357;1100
619700;2009010512;3;1100
619700;2009010513;353;1100
619700;2009010514;319;1100
619700;2009010515;324;1100
619700;2009010516;319;1100
619700;2009010517;313;1100
619700;2009010518;318;1100
619700;2009010519;319;1100
619700;2009010520;305;1100
619700;2009010521;288;1100
619700;2009010522;294;1100
619700;2009010523;292;1100
619700;2009010600;302;1100
619700;2009010601;303;1100
619700;2009010602;294;1100
619700;2009010603;287;1100
619700;2009010604;282;1100
619700;2009010605;268;1100
619700;2009010606;266;1100
619700;2009010607;256;1100
619700;2009010608;254;1100
619700;2009010609;250;1100
619700;2009010610;255;1100
619700;2009010611;257;1100
619700;2009010612;257;1100
619700;2009010613;260;1100
619700;2009010614;262;1100
619700;2009010615;260;1100
619700;2009010616;260;1100
619700;2009010617;258;1100
619700;2009010618;260;1100
619700;2009010619;255;1100
619700;2009010620;249;1100
619700;2009010621;242;1100
619700;2009010622;243;1100
619700;2009010623;244;1100
619700;2009010700;240;1100
619700;2009010701;242;1100
619700;2009010702;244;1100
619700;2009010703;240;1100
619700;2009010704;245;1100
619700;2009010705;255;1100
619700;2009010706;259;1100
619700;2009010707;278;1100
619700;2009010708;296;1100
619700;2009010709;317;1100
619700;2009010710;335;1100
619700;2009010711;337;1100
619700;2009010712;345;1100
619700;2009010713;356;1100
619700;2009010714;358;1100
619700;2009010715;355;1100
619700;2009010716;354;1100
619700;2009010717;344;1100
619700;2009010718;340;1100
619700;2009010719;349;1100
619700;2009010720;352;1100
619700;2009010721;346;1100
619700;2009010722;332;1100
619700;2009010723;309;1100
619700;2009010800;303;1100
619700;2009010801;308;1100
619700;2009010802;305;1100
619700;2009010803;303;1100
619700;2009010804;307;1100
619700;2009010805;303;1100
619700;2009010806;294;1100
619700;2009010807;285;1100
619700;2009010808;277;1100
619700;2009010809;261;1100
619700;2009010810;254;1100
619700;2009010811;254;1100
619700;2009010812;247;1100
619700;2009010813;249;1100
619700;2009010814;251;1100
619700;2009010815;247.1;1000
619700;2009010816;251;1100
619700;2009010817;251;1100
619700;2009010818;250.3;1000
619700;2009010819;253;1100
619700;2009010820;252;1100
619700;2009010821;252.9;1000
619700;2009010822;254;1100
619700;2009010823;262.7;1000
619700;2009010900;255.8;1000
619700;2009010901;257.6;1000
619700;2009010902;256.1;1000
619700;2009010903;253.1;1000
619700;2009010904;259.6;1000
619700;2009010905;264;1100
619700;2009010906;255.8;1000
619700;2009010907;264;1100
619700;2009010908;271;1100
619700;2009010909;274.1;1000
619700;2009010910;268.3;1000
619700;2009010911;280;1100
619700;2009010912;274.5;1000
619700;2009010913;279;1100
619700;2009010914;283;1100
619700;2009010915;289;1100
619700;2009010916;289;1100
619700;2009010917;291;1100
619700;2009010918;294;1100
619700;2009010919;298;1100
619700;2009010920;294;1100
619700;2009010921;285;1100
619700;2009010922;307;1100
619700;2009010923;302;1100
619700;2009011000;300;1100
619700;2009011001;297;1100
619700;2009011002;281;1100
619700;2009011003;269;1100
619700;2009011004;270;1100
619700;2009011005;271;1100
619700;2009011006;275;1100
619700;2009011007;279;1100
619700;2009011008;270;1100
619700;2009011009;276;1100
619700;2009011010;266;1100
619700;2009011011;263;1100
619700;2009011012;267;1100
619700;2009011013;265;1100
619700;2009011014;255;1100
619700;2009011015;248;1100
619700;2009011016;243;1100
619700;2009011017;235;1100
619700;2009011018;245;1100
619700;2009011019;241;1100
619700;2009011020;234;1100
619700;2009011021;224;1100
619700;2009011022;228;1100
619700;2009011023;226;1100
619700;2009011100;229;1100
619700;2009011101;224;1100
619700;2009011102;213;1100
619700;2009011103;214;1100
619700;2009011104;217;1100
619700;2009011105;220;1100
619700;2009011106;221;1100
619700;2009011107;220;1100
619700;2009011108;224;1100
619700;2009011109;227;1100
619700;2009011110;224;1100
619700;2009011111;225;1100
619700;2009011112;227.4;1000
619700;2009011113;234;1100
619700;2009011114;235;1100
619700;2009011115;229;1100
619700;2009011116;225;1100
619700;2009011117;220;1100
619700;2009011118;223;1100
619700;2009011119;230;1100
619700;2009011120;233;1100
619700;2009011121;230;1100
619700;2009011122;228;1100
619700;2009011123;230;1100
619700;2009011200;230;1100
619700;2009011201;233;1100
619700;2009011202;228;1100
619700;2009011203;230;1100
619700;2009011204;226;1100
619700;2009011205;223;1100
619700;2009011206;225;1100
619700;2009011207;226;1100
619700;2009011208;225;1100
619700;2009011209;214.1;1000
619700;2009011210;213.2;1000
619700;2009011211;210;1000
619700;2009011212;202.4;1000
619700;2009011213;230;1100
619700;2009011214;225;1100
619700;2009011215;227;1100
619700;2009011216;224;1100
619700;2009011217;216.7;1000
619700;2009011218;224.7;1000
619700;2009011219;223;1100
619700;2009011220;215.4;1000
619700;2009011221;215.1;1000
619700;2009011222;217;1100
619700;2009011223;214;1100
619700;2009011300;217.6;1000
619700;2009011301;222;1100
619700;2009011302;218;1100
619700;2009011303;217;1100
619700;2009011304;221;1100
619700;2009011305;224.6;1000
619700;2009011306;222.6;1000
619700;2009011307;229;1100
619700;2009011308;227;1100
619700;2009011309;229;1100
619700;2009011310;229;1100
619700;2009011311;234;1100
619700;2009011312;235;1100
619700;2009011313;235;1100
619700;2009011314;237;1100
619700;2009011315;235;1100
619700;2009011316;232;1100
619700;2009011317;231;1100
619700;2009011318;225;1100
619700;2009011319;227;1100
619700;2009011320;224;1100
619700;2009011321;228;1100
619700;2009011322;231;1100
619700;2009011323;224;1100
619700;2009011400;229;1100
619700;2009011401;229;1100
619700;2009011402;226;1100
619700;2009011403;224;1100
619700;2009011404;226;1100
619700;2009011405;225;1100
619700;2009011406;224;1100
619700;2009011407;232;1100
619700;2009011408;229;1100
619700;2009011409;226;1100
619700;2009011410;232;1100
619700;2009011411;236;1100
619700;2009011412;238;1100
619700;2009011413;227;1100
619700;2009011414;231;1100
619700;2009011415;241;1100
619700;2009011416;240;1100
619700;2009011417;251;1100
619700;2009011418;230;1100
619700;2009011419;241;1100
619700;2009011420;257;1100
619700;2009011421;262;1100
619700;2009011422;239;1100
619700;2009011423;269;1100
619700;2009011500;281;1100
619700;2009011501;272;1100
619700;2009011502;304;1100
619700;2009011503;261;1100
619700;2009011504;290;1100
619700;2009011505;311;1100
619700;2009011506;307;1100
619700;2009011507;326;1100
619700;2009011508;341;1100
619700;2009011509;343;1100
619700;2009011510;340;1100
619700;2009011511;339;1100
619700;2009011512;335;1100
619700;2009011513;334;1100
619700;2009011514;334;1100
619700;2009011515;318;1100
619700;2009011516;9;1100
619700;2009011517;3;1100
619700;2009011518;15;1100
619700;2009011519;10;1100
619700;2009011520;7;1100
619700;2009011521;5;1100
619700;2009011522;30;1100
619700;2009011523;46;1100
619700;2009011600;41;1100
619700;2009011601;36;1100
619700;2009011602;42;1100
619700;2009011603;36;1100
619700;2009011604;30;1100
619700;2009011605;22;1100
619700;2009011606;2;1100
619700;2009011607;8;1100
619700;2009011608;6;1100
619700;2009011609;35;1100
619700;2009011610;48;1100
619700;2009011611;52;1100
619700;2009011612;61;1100
619700;2009011613;71;1100
619700;2009011614;82;1100
619700;2009011615;86;1100
619700;2009011616;98;1100
619700;2009011617;108;1100
619700;2009011618;98;1100
619700;2009011619;96;1100
619700;2009011620;105;1100
619700;2009011621;112;1100
619700;2009011622;108;1100
619700;2009011623;106;1100
619700;2009011700;114;1100
619700;2009011701;119;1100
619700;2009011702;125;1100
619700;2009011703;125;1100
619700;2009011704;127;1100
619700;2009011705;129;1100
619700;2009011706;130;1100
619700;2009011707;128;1100
619700;2009011708;138;1100
619700;2009011709;138;1100
619700;2009011710;130;1100
619700;2009011711;131;1100
619700;2009011712;134;1100
619700;2009011713;133;1100
619700;2009011714;132;1100
619700;2009011715;129;1100
619700;2009011716;132;1100
619700;2009011717;130;1100
619700;2009011718;137;1100
619700;2009011719;141;1100
619700;2009011720;146;1100
619700;2009011721;154;1100
619700;2009011722;155;1100
619700;2009011723;152;1100
619700;2009011800;153;1100
619700;2009011801;147;1100
619700;2009011802;150;1100
619700;2009011803;160;1100
619700;2009011804;172;1100
619700;2009011805;174;1100
619700;2009011806;175;1100
619700;2009011807;171;1100
619700;2009011808;161;1100
619700;2009011809;165;1100
619700;2009011810;148;1100
619700;2009011811;158;1100
619700;2009011812;165;1100
619700;2009011813;162;1100
619700;2009011814;153;1100
619700;2009011815;143;1100
619700;2009011816;142;1100
619700;2009011817;149;1100
619700;2009011818;151;1100
619700;2009011819;154;1100
619700;2009011820;154;1100
619700;2009011821;158;1100
619700;2009011822;180;1100
619700;2009011823;184;1100
619700;2009011900;192.6;1000
619700;2009011901;207;1100
619700;2009011902;233;1100
619700;2009011903;254;1100
619700;2009011904;258;1100
619700;2009011905;262;1100
619700;2009011906;261;1100
619700;2009011907;261;1100
619700;2009011908;265;1100
619700;2009011909;255;1100
619700;2009011910;235;1100
619700;2009011911;230;1100
619700;2009011912;227;1100
619700;2009011913;222;1100
619700;2009011914;222;1100
619700;2009011915;188;1100
619700;2009011916;164;1100
619700;2009011917;145;1100
619700;2009011918;150;1100
619700;2009011919;149;1100
619700;2009011920;145;1100
619700;2009011921;142;1100
619700;2009011922;145;1100
619700;2009011923;154;1100
619700;2009012000;159;1100
619700;2009012001;158;1100
619700;2009012002;156;1100
619700;2009012003;157;1100
619700;2009012004;176;1100
619700;2009012005;184;1100
619700;2009012006;191;1100
619700;2009012007;208;1100
619700;2009012008;219;1100
619700;2009012009;220;1100
619700;2009012010;224;1100
619700;2009012011;230;1100
619700;2009012012;236;1100
619700;2009012013;238;1100
619700;2009012014;238;1100
619700;2009012015;230;1100
619700;2009012016;241;1100
619700;2009012017;242;1100
619700;2009012018;160;1100
619700;2009012019;225;1100
619700;2009012020;237;1100
619700;2009012021;236;1100
619700;2009012022;248;1100
619700;2009012023;248;1100
619700;2009012100;252;1100
619700;2009012101;340;1100
619700;2009012102;0;1100
619700;2009012103;0;1100
619700;2009012104;238;1100
619700;2009012105;206;1100
619700;2009012106;209;1100
619700;2009012107;0;1100
619700;2009012108;173;1100
619700;2009012109;149;1100
619700;2009012110;140;1100
619700;2009012111;143;1100
619700;2009012112;128;1100
619700;2009012113;97;1100
619700;2009012114;66;1100
619700;2009012115;75;1100
619700;2009012116;85;1100
619700;2009012117;92;1100
619700;2009012118;116;1100
619700;2009012119;0;1100
619700;2009012120;67;1100
619700;2009012121;65;1100
619700;2009012122;340;1100
619700;2009012123;19;1100
619700;2009012200;353;1100
619700;2009012201;0;1100
619700;2009012202;351;1100
619700;2009012203;0;1100
619700;2009012204;341;1100
619700;2009012205;300;1100
619700;2009012206;272;1100
619700;2009012207;281;1100
619700;2009012208;272;1100
619700;2009012209;274;1100
619700;2009012210;245;1100
619700;2009012211;240;1100
619700;2009012212;241;1100
619700;2009012213;226;1100
619700;2009012214;225;1100
619700;2009012215;208;1100
619700;2009012216;204;1100
619700;2009012217;180;1100
619700;2009012218;175;1100
619700;2009012219;166;1100
619700;2009012220;157;1100
619700;2009012221;157;1100
619700;2009012222;161;1100
619700;2009012223;167;1100
619700;2009012300;169;1100
619700;2009012301;161;1100
619700;2009012302;146.3;1000
619700;2009012303;148.4;1000
619700;2009012304;157;1100
619700;2009012305;156;1100
619700;2009012306;151.3;1000
619700;2009012307;159;1100
619700;2009012308;157;1100
619700;2009012309;143;1000
619700;2009012310;143;1100
619700;2009012311;137;1100
619700;2009012312;129.4;1000
619700;2009012313;128;1100
619700;2009012314;118;1100
619700;2009012315;120;1100
619700;2009012316;120;1100
619700;2009012317;118;1100
619700;2009012318;117;1100
619700;2009012319;116;1100
619700;2009012320;109;1100
619700;2009012321;110;1100
619700;2009012322;107;1100
619700;2009012323;108;1100
619700;2009012400;112;1100
619700;2009012401;114;1100
619700;2009012402;120;1100
619700;2009012403;131;1100
619700;2009012404;141;1100
619700;2009012405;155;1100
619700;2009012406;169;1100
619700;2009012407;175;1100
619700;2009012408;178;1100
619700;2009012409;188;1100
619700;2009012410;211;1100
619700;2009012411;215;1100
619700;2009012412;219;1100
619700;2009012413;226;1100
619700;2009012414;220;1100
619700;2009012415;223;1100
619700;2009012416;220;1100
619700;2009012417;218;1100
619700;2009012418;224;1100
619700;2009012419;222;1100
619700;2009012420;230;1100
619700;2009012421;236;1100
619700;2009012422;245;1100
619700;2009012423;238;1100
619700;2009012500;247;1100
619700;2009012501;256;1100
619700;2009012502;260;1100
619700;2009012503;259;1100
619700;2009012504;257;1100
619700;2009012505;264;1100
619700;2009012506;262;1100
619700;2009012507;265;1100
619700;2009012508;241;1100
619700;2009012509;243;1100
619700;2009012510;242;1100
619700;2009012511;249;1100
619700;2009012512;252;1100
619700;2009012513;266;1100
619700;2009012514;269;1100
619700;2009012515;272;1100
619700;2009012516;270;1100
619700;2009012517;273;1100
619700;2009012518;281;1100
619700;2009012519;262;1100
619700;2009012520;282;1100
619700;2009012521;275;1100
619700;2009012522;261;1100
619700;2009012523;225;1100
619700;2009012600;248;1100
619700;2009012601;284;1100
619700;2009012602;282;1100
619700;2009012603;319;1100
619700;2009012604;313;1100
619700;2009012605;218;1100
619700;2009012606;251;1100
619700;2009012607;245;1100
619700;2009012608;271;1100
619700;2009012609;266;1100
619700;2009012610;252;1100
619700;2009012611;267;1100
619700;2009012612;260;1100
619700;2009012613;268;1100
619700;2009012614;267;1100
619700;2009012615;275;1100
619700;2009012616;302;1100
619700;2009012617;320;1100
619700;2009012618;307;1100
619700;2009012619;0;1100
619700;2009012620;275;1100
619700;2009012621;309;1100
619700;2009012622;301;1100
619700;2009012623;300;1100
619700;2009012700;298;1100
619700;2009012701;299;1100
619700;2009012702;326;1100
619700;2009012703;3;1100
619700;2009012704;325;1100
619700;2009012705;0;1100
619700;2009012706;0;1100
619700;2009012707;0;1100
619700;2009012708;0;1100
619700;2009012709;0;1100
619700;2009012710;0;1100
619700;2009012711;205;1100
619700;2009012712;0;1100
619700;2009012713;221;1100
619700;2009012714;153;1100
619700;2009012715;87;1100
619700;2009012716;72;1100
619700;2009012717;38;1100
619700;2009012718;315;1100
619700;2009012719;307;1100
619700;2009012720;307;1100
619700;2009012721;294;1100
619700;2009012722;287;1100
619700;2009012723;273;1100
619700;2009012800;274;1100
619700;2009012801;295;1100
619700;2009012802;309;1100
619700;2009012803;326;1100
619700;2009012804;334;1100
619700;2009012805;332;1100
619700;2009012806;335;1100
619700;2009012807;337;1100
619700;2009012808;289;1100
619700;2009012809;262;1100
619700;2009012810;261;1100
619700;2009012811;260;1100
619700;2009012812;254;1100
619700;2009012813;266;1100
619700;2009012814;267;1100
619700;2009012815;276;1100
619700;2009012816;253;1100
619700;2009012817;257;1100
619700;2009012818;260;1100
619700;2009012819;247;1100
619700;2009012820;253;1100
619700;2009012821;269;1100
619700;2009012822;272;1100
619700;2009012823;262;1100
619700;2009012900;269;1100
619700;2009012901;275;1100
619700;2009012902;293;1100
619700;2009012903;307;1100
619700;2009012904;314;1100
619700;2009012905;314;1100
619700;2009012906;309;1100
619700;2009012907;264;1100
619700;2009012908;275;1100
619700;2009012909;278;1100
619700;2009012910;276;1100
619700;2009012911;266;1100
619700;2009012912;329;1100
619700;2009012913;298;1100
619700;2009012914;315;1100
619700;2009012915;320;1100
619700;2009012916;327;1100
619700;2009012917;357;1100
619700;2009012918;320;1100
619700;2009012919;285;1100
619700;2009012920;283;1100
619700;2009012921;299;1100
619700;2009012922;325;1100
619700;2009012923;323;1100
619700;2009013000;333;1100
619700;2009013001;336;1100
619700;2009013002;323;1100
619700;2009013003;312;1100
619700;2009013004;318;1100
619700;2009013005;353;1100
619700;2009013006;1;1100
619700;2009013007;12;1100
619700;2009013008;11;1100
619700;2009013009;21;1100
619700;2009013010;38;1100
619700;2009013011;37;1100
619700;2009013012;42;1100
619700;2009013013;37;1100
619700;2009013014;35;1100
619700;2009013015;36;1100
619700;2009013016;21;1100
619700;2009013017;20;1100
619700;2009013018;41;1100
619700;2009013019;34;1100
619700;2009013020;38;1100
619700;2009013021;49;1100
619700;2009013022;45;1100
619700;2009013023;47;1100
619700;2009013100;61.4;1000
619700;2009013101;54;1100
619700;2009013102;50;1100
619700;2009013103;34;1100
619700;2009013104;40.3;1000
619700;2009013105;32.3;1000
619700;2009013106;44;1000
619700;2009013107;46;1100
619700;2009013108;30;1100
619700;2009013109;40.2;1000
619700;2009013110;47;1100
619700;2009013111;53;1100
619700;2009013112;48.4;1000
619700;2009013113;52;1100
619700;2009013114;58;1100
619700;2009013115;56.5;1000
619700;2009013116;46.6;1000
619700;2009013117;52;1100
619700;2009013118;54.9;1000
619700;2009013119;54;1100
619700;2009013120;58.9;1000
619700;2009013121;57.4;1000
619700;2009013122;57.2;1000
619700;2009013123;64.4;1000
619700;2009020100;57.2;1000
619700;2009020101;83;1100
619700;2009020102;83.4;1000
619700;2009020103;64.4;1000
619700;2009020104;89;1100
619700;2009020105;84;1100
619700;2009020106;86;1100
619700;2009020107;83.8;1000
619700;2009020108;85;1100
619700;2009020109;87.9;1000
619700;2009020110;84;1100
619700;2009020111;81.9;1000
619700;2009020112;74.5;1000
619700;2009020113;85;1100
619700;2009020114;83;1100
619700;2009020115;80.8;1000
619700;2009020116;82;1100
619700;2009020117;84;1100
619700;2009020118;81.8;1000
619700;2009020119;87;1100
619700;2009020120;84.9;1000
619700;2009020121;84.7;1000
619700;2009020122;101;1100
619700;2009020123;103;1100
619700;2009020200;97.5;1000
619700;2009020201;102;1100
619700;2009020202;99;1100
619700;2009020203;97;1100
619700;2009020204;97;1100
619700;2009020205;105;1100
619700;2009020206;105;1100
619700;2009020207;100;1100
619700;2009020208;101;1100
619700;2009020209;101;1100
619700;2009020210;94;1100
619700;2009020211;99;1100
619700;2009020212;100;1100
619700;2009020213;101;1100
619700;2009020214;96;1100
619700;2009020215;91;1100
619700;2009020216;90.2;1000
619700;2009020217;90;1100
619700;2009020218;99.3;1000
619700;2009020219;94;1100
619700;2009020220;100;1100
619700;2009020221;97;1100
619700;2009020222;101;1100
619700;2009020223;96;1100
619700;2009020300;90;1100
619700;2009020301;91;1100
619700;2009020302;93;1100
619700;2009020303;93;1100
619700;2009020304;102;1100
619700;2009020305;109;1100
619700;2009020306;106;1100
619700;2009020307;110;1100
619700;2009020308;113;1100
619700;2009020309;115;1100
619700;2009020310;113;1100
619700;2009020311;115;1100
619700;2009020312;117;1100
619700;2009020313;114;1100
619700;2009020314;109;1100
619700;2009020315;106;1100
619700;2009020316;111;1100
619700;2009020317;121;1100
619700;2009020318;128;1100
619700;2009020319;130;1100
619700;2009020320;127;1100
619700;2009020321;134;1100
619700;2009020322;140;1100
619700;2009020323;136;1100
619700;2009020400;143;1100
619700;2009020401;127;1100
619700;2009020402;87;1100
619700;2009020403;80;1100
619700;2009020404;83;1100
619700;2009020405;89;1100
619700;2009020406;112;1100
619700;2009020407;103;1100
619700;2009020408;105;1100
619700;2009020409;105;1100
619700;2009020410;111;1100
619700;2009020411;115;1100
619700;2009020412;138;1100
619700;2009020413;0;1100
619700;2009020414;67;1100
619700;2009020415;130;1100
619700;2009020416;123;1100
619700;2009020417;140;1100
619700;2009020418;152;1100
619700;2009020419;165;1100
619700;2009020420;164;1100
619700;2009020421;161;1100
619700;2009020422;187;1100
619700;2009020423;189;1100
619700;2009020500;206;1100
619700;2009020501;207;1100
619700;2009020502;0;1100
619700;2009020503;185;1100
619700;2009020504;166;1100
619700;2009020505;178;1100
619700;2009020506;179;1100
619700;2009020507;155;1100
619700;2009020508;165;1100
619700;2009020509;163;1100
619700;2009020510;167;1100
619700;2009020511;186;1100
619700;2009020512;201;1100
619700;2009020513;212;1100
619700;2009020514;218;1100
619700;2009020515;215;1100
619700;2009020516;215;1100
619700;2009020517;159;1100
619700;2009020518;0;1100
619700;2009020519;138;1100
619700;2009020520;163;1100
619700;2009020521;161;1100
619700;2009020522;169;1100
619700;2009020523;169;1100
619700;2009020600;158;1100
619700;2009020601;168;1100
619700;2009020602;164;1100
619700;2009020603;177;1100
619700;2009020604;190;1100
619700;2009020605;200;1100
619700;2009020606;208;1100
619700;2009020607;208;1100
