statid;timeobs;Top_of_atmosphere_horizontal_irradiance_mean_[W/m^2];Quality_label
614100;2010111015; 144.2;1000
614100;2010111016;  18.4;1000
614100;2010111017;   0.0;1000
614100;2010111018;   0.0;1000
614100;2010111019;   0.0;1000
614100;2010111020;   0.0;1000
614100;2010111021;   0.0;1000
614100;2010111022;   0.0;1000
614100;2010111023;   0.0;1000
614100;2010111100;   0.0;1000
614100;2010111101;   0.0;1000
614100;2010111102;   0.0;1000
614100;2010111103;   0.0;1000
614100;2010111104;   0.0;1000
614100;2010111105;   0.0;1000
614100;2010111106;   0.0;1000
614100;2010111107;  19.3;1000
614100;2010111108; 144.5;1000
614100;2010111109; 275.9;1000
614100;2010111110; 372.3;1000
614100;2010111111; 422.1;1000
614100;2010111112; 421.1;1000
614100;2010111113; 369.5;1000
614100;2010111114; 271.5;1000
614100;2010111115; 139.2;1000
614100;2010111116;  16.7;1000
614100;2010111117;   0.0;1000
614100;2010111118;   0.0;1000
614100;2010111119;   0.0;1000
614100;2010111120;   0.0;1000
614100;2010111121;   0.0;1000
614100;2010111122;   0.0;1000
614100;2010111123;   0.0;1000
614100;2010111200;   0.0;1000
614100;2010111201;   0.0;1000
614100;2010111202;   0.0;1000
614100;2010111203;   0.0;1000
614100;2010111204;   0.0;1000
614100;2010111205;   0.0;1000
614100;2010111206;   0.0;1000
614100;2010111207;  16.9;1000
614100;2010111208; 139.1;1000
614100;2010111209; 269.9;1000
614100;2010111210; 366.1;1000
614100;2010111211; 416.0;1000
614100;2010111212; 415.1;1000
614100;2010111213; 363.6;1000
614100;2010111214; 266.0;1000
614100;2010111215; 134.4;1000
614100;2010111216;  14.6;1000
614100;2010111217;   0.0;1000
614100;2010111218;   0.0;1000
614100;2010111219;   0.0;1000
614100;2010111220;   0.0;1000
614100;2010111221;   0.0;1000
614100;2010111222;   0.0;1000
614100;2010111223;   0.0;1000
614100;2010111300;   0.0;1000
614100;2010111301;   0.0;1000
614100;2010111302;   0.0;1000
614100;2010111303;   0.0;1000
614100;2010111304;   0.0;1000
614100;2010111305;   0.0;1000
614100;2010111306;   0.0;1000
614100;2010111307;  14.6;1000
614100;2010111308; 133.7;1000
614100;2010111309; 264.0;1000
614100;2010111310; 360.1;1000
614100;2010111311; 410.0;1000
614100;2010111312; 409.2;1000
614100;2010111313; 357.9;1000
614100;2010111314; 260.6;1000
614100;2010111315; 129.7;1000
614100;2010111316;  12.6;1000
614100;2010111317;   0.0;1000
614100;2010111318;   0.0;1000
614100;2010111319;   0.0;1000
614100;2010111320;   0.0;1000
614100;2010111321;   0.0;1000
614100;2010111322;   0.0;1000
614100;2010111323;   0.0;1000
614100;2010111400;   0.0;1000
614100;2010111401;   0.0;1000
614100;2010111402;   0.0;1000
614100;2010111403;   0.0;1000
614100;2010111404;   0.0;1000
614100;2010111405;   0.0;1000
614100;2010111406;   0.0;1000
614100;2010111407;  12.5;1000
614100;2010111408; 128.5;1000
614100;2010111409; 258.1;1000
614100;2010111410; 354.1;1000
614100;2010111411; 404.1;1000
614100;2010111412; 403.5;1000
614100;2010111413; 352.4;1000
614100;2010111414; 255.3;1000
614100;2010111415; 125.2;1000
614100;2010111416;  11.3;1000
614100;2010111417;   0.0;1000
614100;2010111418;   0.0;1000
614100;2010111419;   0.0;1000
614100;2010111420;   0.0;1000
614100;2010111421;   0.0;1000
614100;2010111422;   0.0;1000
614100;2010111423;   0.0;1000
614100;2010111500;   0.0;1000
614100;2010111501;   0.0;1000
614100;2010111502;   0.0;1000
614100;2010111503;   0.0;1000
614100;2010111504;   0.0;1000
614100;2010111505;   0.0;1000
614100;2010111506;   0.0;1000
614100;2010111507;  10.5;1000
614100;2010111508; 123.4;1000
614100;2010111509; 252.3;1000
614100;2010111510; 348.3;1000
614100;2010111511; 398.3;1000
614100;2010111512; 397.8;1000
614100;2010111513; 346.9;1000
614100;2010111514; 250.2;1000
614100;2010111515; 120.9;1000
614100;2010111516;   9.5;1000
614100;2010111517;   0.0;1000
614100;2010111518;   0.0;1000
614100;2010111519;   0.0;1000
614100;2010111520;   0.0;1000
614100;2010111521;   0.0;1000
614100;2010111522;   0.0;1000
614100;2010111523;   0.0;1000
614100;2010111600;   0.0;1000
614100;2010111601;   0.0;1000
614100;2010111602;   0.0;1000
614100;2010111603;   0.0;1000
614100;2010111604;   0.0;1000
614100;2010111605;   0.0;1000
614100;2010111606;   0.0;1000
614100;2010111607;   8.7;1000
614100;2010111608; 118.4;1000
614100;2010111609; 246.7;1000
614100;2010111610; 342.5;1000
614100;2010111611; 392.5;1000
614100;2010111612; 392.2;1000
614100;2010111613; 341.6;1000
614100;2010111614; 245.3;1000
614100;2010111615; 116.7;1000
614100;2010111616;   7.9;1000
614100;2010111617;   0.0;1000
614100;2010111618;   0.0;1000
614100;2010111619;   0.0;1000
614100;2010111620;   0.0;1000
614100;2010111621;   0.0;1000
614100;2010111622;   0.0;1000
