statid;timeobs (UTC);vandtemperatur (°C);label
20303;2009010818;0.8;1100
20303;2009010819;0.8;1100
20303;2009010820;0.7;1100
20303;2009010821;0.9;1100
20303;2009010822;0.9;1100
20303;2009010823;0.8;1100
20303;2009010900;0.4;1100
20303;2009010901;0.5;1100
20303;2009010902;0.6;1100
20303;2009010903;0.3;1100
20303;2009010904;0.3;1100
20303;2009010905;0.2;1100
20303;2009010906;0.2;1100
20303;2009010907;0.2;1100
20303;2009010908;0.4;1100
20303;2009010909;0.6;1100
20303;2009010910;0.6;1100
20303;2009010911;0.7;1100
20303;2009010912;0.7;1100
20303;2009010913;0.8;1100
20303;2009010914;0.6;1100
20303;2009010915;0.4;1100
20303;2009010916;0.4;1100
20303;2009010917;0.4;1100
20303;2009010918;0.4;1100
20303;2009010919;0.4;1100
20303;2009010920;0.4;1100
20303;2009010921;0.5;1100
20303;2009010922;0.4;1100
20303;2009010923;0.5;1100
20303;2009011000;0.6;1100
20303;2009011001;0.5;1100
20303;2009011002;0.5;1100
20303;2009011003;0.5;1100
20303;2009011004;0.5;1100
20303;2009011005;0.5;1100
20303;2009011006;0.5;1100
20303;2009011007;0.5;1100
20303;2009011008;0.5;1100
20303;2009011009;0.6;1100
20303;2009011010;0.6;1100
20303;2009011011;0.6;1100
20303;2009011012;0.6;1100
20303;2009011013;0.6;1100
20303;2009011014;0.7;1100
20303;2009011015;0.7;1100
20303;2009011016;0.7;1100
20303;2009011017;0.7;1100
20303;2009011018;0.7;1100
20303;2009011019;0.7;1100
20303;2009011020;0.7;1100
20303;2009011021;0.7;1100
20303;2009011022;0.7;1100
20303;2009011023;0.7;1100
20303;2009011100;0.7;1100
20303;2009011101;0.7;1100
20303;2009011102;0.7;1100
20303;2009011103;0.7;1100
20303;2009011104;0.7;1100
20303;2009011105;0.7;1100
20303;2009011106;0.7;1100
20303;2009011107;0.7;1100
20303;2009011108;0.8;1100
20303;2009011109;0.8;1100
20303;2009011110;0.8;1100
20303;2009011111;0.8;1100
20303;2009011112;0.9;1100
20303;2009011113;0.9;1100
20303;2009011114;0.9;1100
20303;2009011115;0.9;1100
20303;2009011116;0.8;1100
20303;2009011117;0.9;1100
20303;2009011118;1;1100
20303;2009011119;1.1;1100
20303;2009011120;1.2;1100
20303;2009011121;1.3;1100
20303;2009011122;1.3;1100
20303;2009011123;1.3;1100
20303;2009011200;1.5;1100
20303;2009011201;1.5;1100
20303;2009011202;1.6;1100
20303;2009011203;1.8;1100
20303;2009011204;1.8;1100
20303;2009011205;1.8;1100
20303;2009011206;1.8;1100
20303;2009011207;1.8;1100
20303;2009011208;1.9;1100
20303;2009011209;2;1100
20303;2009011210;2;1100
20303;2009011211;2.1;1100
20303;2009011212;2.2;1100
20303;2009011213;2.5;1100
20303;2009011214;2.5;1100
20303;2009011215;2.6;1000
20303;2009011216;2.6;1100
20303;2009011217;2.6;1100
20303;2009011218;2.7;1100
20303;2009011219;2.7;1100
20303;2009011220;2.7;1100
20303;2009011221;2.8;1100
20303;2009011222;3;1100
20303;2009011223;2.9;1100
20303;2009011300;2.9;1100
20303;2009011301;3.3;1100
20303;2009011302;3.3;1100
20303;2009011303;3.2;1100
20303;2009011304;3;1100
20303;2009011305;3;1100
20303;2009011306;3.2;1100
20303;2009011307;3.2;1100
20303;2009011308;3.2;1100
20303;2009011309;3.4;1100
20303;2009011310;3.4;1100
20303;2009011311;3.4;1100
20303;2009011312;3.4;1100
20303;2009011313;3.6;1100
20303;2009011314;3.6;1100
20303;2009011315;3.7;1100
20303;2009011316;3.5;1100
20303;2009011317;3.5;1100
20303;2009011318;3.6;1100
20303;2009011319;3.7;1100
20303;2009011320;3.6;1100
20303;2009011321;3.6;1100
20303;2009011322;3.7;1100
20303;2009011323;3.7;1100
20303;2009011400;3.6;1100
20303;2009011401;3.7;1100
20303;2009011402;3.7;1100
20303;2009011403;3.7;1100
20303;2009011404;3.7;1100
20303;2009011405;3.7;1100
20303;2009011406;3.8;1100
20303;2009011407;3.8;1100
20303;2009011408;3.8;1100
20303;2009011409;3.8;1100
20303;2009011410;3.8;1100
20303;2009011411;3.8;1100
20303;2009011412;3.7;1100
20303;2009011413;3.8;1100
20303;2009011414;3.8;1100
20303;2009011415;3.8;1000
20303;2009011416;3.8;1100
20303;2009011417;3.8;1100
20303;2009011418;3.8;1100
20303;2009011419;3.8;1100
20303;2009011420;3.8;1100
20303;2009011421;3.8;1100
20303;2009011422;3.8;1100
20303;2009011423;3.8;1100
20303;2009011500;3.8;1100
20303;2009011501;3.7;1100
20303;2009011502;3.7;1100
20303;2009011503;3.6;1100
20303;2009011504;3.4;1100
20303;2009011505;3.6;1100
20303;2009011506;3.6;1100
20303;2009011507;3.6;1100
20303;2009011508;3.6;1100
20303;2009011509;3.7;1100
20303;2009011510;3.6;1100
20303;2009011511;3.5;1100
20303;2009011512;3.6;1100
20303;2009011513;3.6;1100
20303;2009011514;3.6;1100
20303;2009011515;3.5;1100
20303;2009011516;3.5;1100
20303;2009011517;3.4;1100
20303;2009011518;3.5;1100
20303;2009011519;3.5;1100
20303;2009011520;3.4;1100
20303;2009011521;3.3;1100
20303;2009011522;3.4;1100
20303;2009011523;3.4;1100
20303;2009011600;3.4;1100
20303;2009011601;3.4;1100
20303;2009011602;3.3;1100
20303;2009011603;3.3;1100
20303;2009011604;3.3;1100
20303;2009011605;3.3;1100
20303;2009011606;3.3;1100
20303;2009011607;3.3;1100
20303;2009011608;3.3;1100
20303;2009011609;3.2;1100
20303;2009011610;3.3;1100
20303;2009011611;3.3;1100
20303;2009011612;3.3;1100
20303;2009011613;3.2;1100
20303;2009011614;3.2;1100
20303;2009011615;3.2;1100
20303;2009011616;3.2;1000
20303;2009011617;3.2;1000
20303;2009011618;3.2;1000
20303;2009011619;3.2;1000
20303;2009011620;3.2;1000
20303;2009011621;3.2;1100
20303;2009011622;3.1;1100
20303;2009011623;3.1;1100
20303;2009011700;3;1100
20303;2009011701;3.1;1100
20303;2009011702;3.1;1100
20303;2009011703;3.1;1100
20303;2009011704;3.1;1100
20303;2009011705;3.1;1100
20303;2009011706;3.1;1100
20303;2009011707;3.1;1100
20303;2009011708;3;1100
20303;2009011709;3;1100
20303;2009011710;3;1100
20303;2009011711;3;1100
20303;2009011712;3;1100
20303;2009011713;2.9;1100
20303;2009011714;3;1100
20303;2009011715;3;1100
20303;2009011716;2.9;1100
20303;2009011717;2.9;1100
20303;2009011718;2.9;1100
20303;2009011719;2.9;1100
20303;2009011720;2.9;1100
20303;2009011721;2.9;1100
20303;2009011722;2.9;1100
20303;2009011723;2.9;1100
20303;2009011800;2.9;1100
20303;2009011801;2.9;1100
20303;2009011802;2.9;1100
20303;2009011803;2.9;1100
20303;2009011804;2.9;1100
20303;2009011805;2.9;1100
20303;2009011806;2.9;1100
20303;2009011807;2.9;1100
20303;2009011808;2.9;1100
20303;2009011809;2.9;1100
20303;2009011810;2.9;1100
20303;2009011811;2.9;1100
20303;2009011812;2.9;1100
20303;2009011813;2.8;1100
20303;2009011814;2.8;1100
20303;2009011815;2.9;1100
20303;2009011816;2.9;1100
20303;2009011817;2.9;1100
20303;2009011818;2.9;1100
20303;2009011819;2.9;1100
20303;2009011820;2.9;1100
20303;2009011821;2.9;1100
20303;2009011822;2.9;1100
20303;2009011823;2.9;1100
20303;2009011900;2.9;1100
20303;2009011901;2.9;1100
20303;2009011902;2.9;1100
20303;2009011903;2.9;1100
20303;2009011904;2.8;1100
20303;2009011905;2.8;1100
20303;2009011906;2.9;1100
20303;2009011907;2.8;1100
20303;2009011908;2.8;1100
20303;2009011909;2.8;1100
20303;2009011910;2.7;1100
20303;2009011911;2.7;1100
20303;2009011912;2.7;1100
20303;2009011913;2.7;1100
20303;2009011914;2.7;1100
20303;2009011915;2.7;1100
20303;2009011916;2.8;1100
20303;2009011917;2.8;1100
20303;2009011918;2.8;1100
20303;2009011919;2.8;1100
20303;2009011920;2.8;1100
20303;2009011921;2.8;1100
20303;2009011922;2.8;1100
20303;2009011923;2.8;1100
20303;2009012000;2.8;1100
20303;2009012001;2.8;1100
20303;2009012002;2.8;1100
20303;2009012003;2.8;1100
20303;2009012004;2.8;1100
20303;2009012005;2.8;1100
20303;2009012006;2.8;1100
20303;2009012007;2.8;1100
20303;2009012008;2.8;1100
20303;2009012009;2.8;1100
20303;2009012010;2.8;1100
20303;2009012011;2.8;1100
20303;2009012012;2.8;1100
20303;2009012013;2.9;1100
20303;2009012014;2.9;1100
20303;2009012015;2.9;1100
20303;2009012016;2.9;1100
20303;2009012017;2.9;1100
20303;2009012018;2.9;1100
20303;2009012019;2.9;1100
20303;2009012020;2.9;1100
20303;2009012021;2.9;1100
20303;2009012022;2.9;1100
20303;2009012023;2.9;1100
20303;2009012100;2.9;1100
20303;2009012101;2.9;1100
20303;2009012102;2.9;1100
20303;2009012103;2.9;1100
20303;2009012104;2.9;1100
20303;2009012105;2.9;1100
20303;2009012106;2.9;1100
20303;2009012107;2.9;1100
20303;2009012108;2.9;1100
20303;2009012109;2.9;1100
20303;2009012110;2.9;1100
20303;2009012111;2.9;1100
20303;2009012112;2.8;1100
20303;2009012113;2.9;1100
20303;2009012114;2.9;1100
20303;2009012115;2.8;1100
20303;2009012116;2.7;1100
20303;2009012117;2.7;1100
20303;2009012118;2.7;1100
20303;2009012119;2.7;1100
20303;2009012120;2.7;1100
20303;2009012121;2.7;1100
20303;2009012122;2.6;1100
20303;2009012123;2.6;1100
20303;2009012200;2.6;1100
20303;2009012201;2.6;1100
20303;2009012202;2.6;1100
20303;2009012203;2.6;1100
20303;2009012204;2.6;1100
20303;2009012205;2.5;1100
20303;2009012206;2.4;1100
20303;2009012207;2.5;1100
20303;2009012208;2.5;1100
20303;2009012209;2.5;1100
20303;2009012210;2.5;1100
20303;2009012211;2.5;1100
20303;2009012212;2.5;1100
20303;2009012213;2.5;1100
20303;2009012214;2.5;1100
20303;2009012215;2.5;1100
20303;2009012216;2.5;1100
20303;2009012217;2.5;1100
20303;2009012218;2.4;1100
20303;2009012219;2.5;1100
20303;2009012220;2.5;1100
20303;2009012221;2.6;1100
20303;2009012222;2.6;1100
20303;2009012223;2.6;1100
20303;2009012300;2.6;1100
20303;2009012301;2.6;1100
20303;2009012302;2.6;1100
20303;2009012303;2.6;1100
20303;2009012304;2.6;1100
20303;2009012305;2.6;1100
20303;2009012306;2.5;1100
20303;2009012307;2.5;1100
20303;2009012308;2.5;1100
20303;2009012309;2.5;1100
20303;2009012310;2.5;1100
20303;2009012311;2.5;1100
20303;2009012312;2.5;1100
20303;2009012313;2.5;1100
20303;2009012314;2.5;1100
20303;2009012315;2.5;1100
20303;2009012316;2.5;1100
20303;2009012317;2.5;1100
20303;2009012318;2.6;1100
20303;2009012319;2.6;1100
20303;2009012320;2.6;1100
20303;2009012321;2.7;1100
20303;2009012322;2.7;1100
