statid;timeobs;Integrated_water_vapour_mean_[kg/m^2];Quality_label
610900;2009010719; 3.9754;1000
610900;2009010720; 3.9246;1000
610900;2009010721; 3.9271;1000
610900;2009010722; 4.4433;1000
610900;2009010723; 5.0013;1000
610900;2009010800; 6.0248;1000
610900;2009010801; 7.6442;1000
610900;2009010802; 9.2041;1000
610900;2009010803;10.2907;1000
610900;2009010804;11.1422;1000
610900;2009010805;11.9240;1000
610900;2009010806;12.5860;1000
610900;2009010807;13.0821;1000
610900;2009010808;13.2981;1000
610900;2009010809;12.9698;1000
610900;2009010810;12.7694;1000
610900;2009010811;12.5884;1000
610900;2009010812;12.6484;1000
610900;2009010813;12.5945;1000
610900;2009010814;12.6604;1000
610900;2009010815;13.2537;1000
610900;2009010816;13.3640;1000
610900;2009010817;12.3678;1000
610900;2009010818;10.9556;1000
610900;2009010819; 9.6412;1000
610900;2009010820; 8.9349;1000
610900;2009010821; 9.3510;1000
610900;2009010822;10.5631;1000
610900;2009010823;11.2917;1000
610900;2009010900;11.9505;1000
610900;2009010901;12.4941;1000
610900;2009010902;12.9718;1000
610900;2009010903;13.4888;1000
610900;2009010904;13.8676;1000
610900;2009010905;13.9612;1000
610900;2009010906;13.8080;1000
610900;2009010907;13.4922;1000
610900;2009010908;13.1159;1000
610900;2009010909;12.7107;1000
610900;2009010910;13.3194;1000
610900;2009010911;12.8276;1000
610900;2009010912;12.4933;1000
610900;2009010913;12.3260;1000
610900;2009010914;12.0661;1000
610900;2009010915;11.6913;1000
610900;2009010916;11.2206;1000
610900;2009010917;10.7020;1000
610900;2009010918;10.1153;1000
610900;2009010919; 9.5919;1000
610900;2009010920; 9.2718;1000
610900;2009010921; 9.0774;1000
610900;2009010922; 9.2844;1000
610900;2009010923; 8.9583;1000
610900;2009011000; 8.6674;1000
610900;2009011001; 8.4406;1000
610900;2009011002; 8.2772;1000
610900;2009011003; 8.1231;1000
610900;2009011004; 8.0222;1000
610900;2009011005; 7.9403;1000
610900;2009011006; 7.7362;1000
610900;2009011007; 7.7029;1000
610900;2009011008; 7.7743;1000
610900;2009011009; 7.7151;1000
610900;2009011010; 7.5223;1000
610900;2009011011; 7.2934;1000
610900;2009011012; 7.2358;1000
610900;2009011013; 7.2935;1000
610900;2009011014; 7.2397;1000
610900;2009011015; 6.9806;1000
610900;2009011016; 6.6574;1000
610900;2009011017; 6.5362;1000
610900;2009011018; 6.7618;1000
610900;2009011019; 7.2759;1000
610900;2009011020; 7.6450;1000
610900;2009011021; 7.1313;1000
610900;2009011022; 6.4597;1000
610900;2009011023; 5.8435;1000
610900;2009011100; 5.5200;1000
610900;2009011101; 6.0037;1000
610900;2009011102; 7.3263;1000
610900;2009011103; 8.6164;1000
610900;2009011104;10.6298;1000
610900;2009011105;13.0222;1000
610900;2009011106;14.1537;1000
610900;2009011107;14.7350;1000
610900;2009011108;14.7239;1000
610900;2009011109;14.0503;1000
610900;2009011110;13.2990;1000
610900;2009011111;12.0893;1000
610900;2009011112;10.9209;1000
610900;2009011113;13.2744;1000
610900;2009011114;16.3902;1000
610900;2009011115;18.9588;1000
610900;2009011116;20.7389;1000
610900;2009011117;21.3868;1000
610900;2009011118;21.5266;1000
610900;2009011119;21.5651;1000
610900;2009011120;21.0455;1000
610900;2009011121;20.8183;1000
610900;2009011122;20.1761;1000
610900;2009011123;18.7684;1000
610900;2009011200;17.3768;1000
610900;2009011201;17.6952;1000
610900;2009011202;17.8955;1000
610900;2009011203;17.7336;1000
610900;2009011204;17.6699;1000
610900;2009011205;17.8614;1000
610900;2009011206;17.8753;1000
610900;2009011207;19.1602;1000
610900;2009011208;21.3760;1000
610900;2009011209;21.6635;1000
610900;2009011210;20.6344;1000
610900;2009011211;20.9654;1000
610900;2009011212;21.3630;1000
610900;2009011213;21.0888;1000
610900;2009011214;20.6176;1000
610900;2009011215;19.8976;1000
610900;2009011216;19.2686;1000
610900;2009011217;18.2286;1000
610900;2009011218;17.7251;1000
610900;2009011219;18.0079;1000
610900;2009011220;18.0409;1000
610900;2009011221;17.5049;1000
610900;2009011222;17.2645;1000
610900;2009011223;16.4794;1000
610900;2009011300;15.5989;1000
610900;2009011301;14.9726;1000
610900;2009011302;14.2820;1000
610900;2009011303;13.5729;1000
610900;2009011304;12.7227;1000
610900;2009011305;11.7253;1000
610900;2009011306;10.7480;1000
610900;2009011307;10.2462;1000
610900;2009011308;10.2317;1000
610900;2009011309;10.6067;1000
610900;2009011310;11.4146;1000
610900;2009011311;11.6272;1000
610900;2009011312;11.7679;1000
610900;2009011313;11.7398;1000
610900;2009011314;11.8016;1000
610900;2009011315;12.0134;1000
610900;2009011316;11.8974;1000
610900;2009011317;11.8967;1000
610900;2009011318;12.0740;1000
610900;2009011319;12.2012;1000
610900;2009011320;12.2212;1000
610900;2009011321;12.2579;1000
610900;2009011322;12.4116;1000
610900;2009011323;12.4151;1000
610900;2009011400;12.2987;1000
610900;2009011401;11.9992;1000
610900;2009011402;11.7385;1000
610900;2009011403;11.3015;1000
610900;2009011404;10.9125;1000
610900;2009011405;10.6358;1000
610900;2009011406;10.3304;1000
610900;2009011407; 9.9923;1000
610900;2009011408; 9.6651;1000
610900;2009011409; 9.3934;1000
610900;2009011410; 9.4821;1000
610900;2009011411; 9.3839;1000
610900;2009011412; 9.2944;1000
610900;2009011413; 9.2379;1000
610900;2009011414; 9.1769;1000
610900;2009011415; 8.9700;1000
610900;2009011416; 8.8273;1000
610900;2009011417; 8.6831;1000
610900;2009011418; 8.6002;1000
610900;2009011419; 8.5024;1000
610900;2009011420; 8.3457;1000
610900;2009011421; 8.1893;1000
610900;2009011422; 8.0574;1000
610900;2009011423; 8.0717;1000
610900;2009011500; 8.0152;1000
610900;2009011501; 7.9452;1000
