statid;timeobs;jordtemperatur 1m (°C);label
606500;20090101;5.1;1100
606500;20090102;4.9;1100
606500;20090103;4.7;1100
606500;20090104;4.6;1100
606500;20090105;4.5;1100
606500;20090106;4.5;1100
606500;20090107;4.4;1100
606500;20090108;4.3;1100
606500;20090109;4.3;1100
606500;20090110;4.2;1100
606500;20090111;4.1;1100
606500;20090112;4.1;1100
606500;20090113;4.0;1100
606500;20090114;3.9;1100
606500;20090115;3.8;1100
606500;20090116;3.7;1100
606500;20090117;3.6;1100
606500;20090118;3.5;1100
606500;20090119;3.3;1100
606500;20090120;3.2;1100
606500;20090121;3.1;1100
606500;20090122;3.0;1100
606500;20090123;2.9;1100
606500;20090124;2.8;1100
606500;20090125;2.8;1100
606500;20090126;2.8;1100
606500;20090127;3.0;1100
606500;20090128;3.2;1100
606500;20090129;3.4;1100
606500;20090130;3.6;1100
606500;20090131;3.7;1100
606500;20090201;3.8;1100
606500;20090202;3.9;1100
606500;20090203;3.8;1100
606500;20090204;3.8;1100
606500;20090205;3.7;1100
606500;20090206;3.7;1100
606500;20090207;3.7;1100
606500;20090208;3.8;1100
606500;20090209;3.8;1100
606500;20090210;3.8;1100
606500;20090211;3.7;1100
606500;20090212;3.6;1100
606500;20090213;3.6;1100
606500;20090214;3.5;1100
606500;20090215;3.4;1100
606500;20090216;3.3;1100
606500;20090217;3.1;1100
606500;20090218;3.1;1100
606500;20090219;3.0;1100
606500;20090220;3.0;1100
606500;20090221;3.0;1100
606500;20090222;3.0;1100
606500;20090223;3.1;1100
606500;20090224;3.1;1100
606500;20090225;3.2;1100
606500;20090226;3.2;1100
606500;20090227;3.2;1100
606500;20090228;3.1;1100
606500;20060301;3.0;1100
606500;20060302;2.9;1100
606500;20060303;2.8;1100
606500;20060304;2.7;1100
606500;20060305;2.6;1100
606500;20060306;2.6;1100
606500;20060307;2.6;1100
606500;20060308;2.6;1100
606500;20060309;2.7;1100
606500;20060310;2.7;1100
606500;20060311;2.9;1100
606500;20060312;3.1;1100
606500;20060313;3.3;1100
606500;20060314;3.5;1100
606500;20060315;3.5;1100
606500;20060316;3.4;1100
606500;20060317;3.3;1100
606500;20060318;3.1;1100
606500;20060319;2.9;1100
606500;20060320;2.6;1100
606500;20060321;2.4;1100
606500;20060322;2.3;1100
606500;20060323;2.3;1100
606500;20060324;2.2;1100
606500;20060325;2.2;1100
606500;20060326;2.2;1100
606500;20060327;2.1;1100
606500;20060328;2.1;1100
606500;20060329;2.1;1100
606500;20060330;2.1;1100
606500;20060331;2.0;1100
606500;20100401;2.0;1100
606500;20100402;2.0;1100
606500;20100403;2.0;1100
606500;20100404;2.0;1100
606500;20100405;2.0;1100
606500;20100406;2.0;1100
606500;20100407;2.0;1100
606500;20100408;2.0;1100
606500;20100409;2.0;1100
606500;20100410;2.0;1100
606500;20100411;2.2;1100
