statid;timeobs;temperature_mean(ºC);label
606000;2009010100;-2.5;1100
606000;2009010101;-2.9;1100
606000;2009010102;-3.7;1100
606000;2009010103;-3.7;1100
606000;2009010104;-4.2;1100
606000;2009010105;-3.5;1100
606000;2009010106;-4.2;1100
606000;2009010107;-4.2;1100
606000;2009010108;-5.6;1100
606000;2009010109;-4.8;1100
606000;2009010110;-3.9;1100
606000;2009010111;-2.4;1100
606000;2009010112;-0.9;1100
606000;2009010113;-0.4;1100
606000;2009010114;-0.2;1100
606000;2009010115;-0.2;1100
606000;2009010116;-0.9;1100
606000;2009010117;-1.6;1100
606000;2009010118;-3;1100
606000;2009010119;-4.3;1100
606000;2009010120;-3.9;1100
606000;2009010121;-4.1;1100
606000;2009010122;-4.4;1100
606000;2009010123;-5.3;1100
606000;2009010200;-5.7;1100
606000;2009010201;-5.7;1100
606000;2009010202;-5.7;1100
606000;2009010203;-6.1;1100
606000;2009010204;-6.5;1100
606000;2009010205;-5.6;1100
606000;2009010206;-5.2;1100
606000;2009010207;-4.6;1100
606000;2009010208;-4.1;1100
606000;2009010209;-3.7;1100
606000;2009010210;-3.9;1100
606000;2009010211;-3.3;1100
606000;2009010212;-2.2;1100
606000;2009010213;-1.8;1100
606000;2009010214;-2.5;1100
606000;2009010215;-3.2;1100
606000;2009010216;-3.9;1100
606000;2009010217;-5;1100
606000;2009010218;-4.8;1100
606000;2009010219;-5.3;1100
606000;2009010220;-5.5;1100
606000;2009010221;-5;1100
606000;2009010222;-3.2;1100
606000;2009010223;-1.7;1100
606000;2009010300;-0.5;1100
606000;2009010301;0.3;1100
606000;2009010302;0.4;1100
606000;2009010303;0.4;1100
606000;2009010304;-0.1;1100
606000;2009010305;0.1;1100
606000;2009010306;-0.3;1100
606000;2009010307;0.6;1100
606000;2009010308;1.2;1100
606000;2009010309;2.1;1100
606000;2009010310;2.7;1100
606000;2009010311;3.6;1100
606000;2009010312;4.2;1100
606000;2009010313;4.5;1100
606000;2009010314;4.8;1100
606000;2009010315;3.4;1100
606000;2009010316;3.1;1100
606000;2009010317;2.3;1100
606000;2009010318;1.3;1100
606000;2009010319;0.3;1100
606000;2009010320;-0.1;1100
606000;2009010321;-0.2;1100
606000;2009010322;-0.2;1100
606000;2009010323;-1;1100
606000;2009010400;-1.7;1100
606000;2009010401;-1.5;1100
606000;2009010402;-1;1100
606000;2009010403;-0.7;1100
606000;2009010404;-0.7;1100
606000;2009010405;-1;1100
606000;2009010406;-1.2;1100
606000;2009010407;-1;1100
606000;2009010408;-1.1;1100
606000;2009010409;-1.1;1100
606000;2009010410;-1;1100
606000;2009010411;-0.9;1100
606000;2009010412;-1;1100
606000;2009010413;-1.2;1100
606000;2009010414;-1.6;1100
606000;2009010415;-1.9;1100
