 statid;timeobs;Diffuse_illuminance_mean_[lx];Quality_label
619700;2009010100;     0;1000
619700;2009010101;     0;1000
619700;2009010102;     0;1000
619700;2009010103;     0;1000
619700;2009010104;     0;1000
619700;2009010105;     0;1000
619700;2009010106;     0;1000
619700;2009010107;     0;1000
619700;2009010108;   189;1000
619700;2009010109;  2850;1000
619700;2009010110;  6101;1000
619700;2009010111;  6747;1000
619700;2009010112; 11842;1000
619700;2009010113;  7797;1000
619700;2009010114;  5833;1000
619700;2009010115;  1000;1000
619700;2009010116;     0;1000
619700;2009010117;     0;1000
619700;2009010118;     0;1000
619700;2009010119;     0;1000
619700;2009010120;     0;1000
619700;2009010121;     0;1000
619700;2009010122;     0;1000
619700;2009010123;     0;1000
619700;2009010200;     0;1000
619700;2009010201;     0;1000
619700;2009010202;     0;1000
619700;2009010203;     0;1000
619700;2009010204;     0;1000
619700;2009010205;     0;1000
619700;2009010206;     0;1000
619700;2009010207;     0;1000
619700;2009010208;   868;1000
619700;2009010209;  5919;1000
619700;2009010210;  7189;1000
619700;2009010211;  7262;1000
619700;2009010212;  7216;1000
619700;2009010213;  6605;1000
619700;2009010214;  5884;1000
619700;2009010215;  1209;1000
619700;2009010216;     0;1000
619700;2009010217;     0;1000
619700;2009010218;     0;1000
619700;2009010219;     0;1000
619700;2009010220;     0;1000
619700;2009010221;     0;1000
619700;2009010222;     0;1000
619700;2009010223;     0;1000
619700;2009010300;     0;1000
619700;2009010301;     0;1000
619700;2009010302;     0;1000
619700;2009010303;     0;1000
619700;2009010304;     0;1000
619700;2009010305;     0;1000
619700;2009010306;     0;1000
619700;2009010307;     0;1000
619700;2009010308;   868;1000
619700;2009010309;  3220;1000
619700;2009010310;  5136;1000
619700;2009010311;  5985;1000
619700;2009010312;  7303;1000
619700;2009010313;  2413;1000
619700;2009010314;  1044;1000
619700;2009010315;   200;1000
619700;2009010316;     0;1000
619700;2009010317;     0;1000
619700;2009010318;     0;1000
619700;2009010319;     0;1000
619700;2009010320;     0;1000
619700;2009010321;     0;1000
619700;2009010322;     0;1000
619700;2009010323;     0;1000
619700;2009010400;     0;1000
619700;2009010401;     0;1000
619700;2009010402;     0;1000
619700;2009010403;     0;1000
619700;2009010404;     0;1000
619700;2009010405;     0;1000
619700;2009010406;     0;1000
619700;2009010407;     0;1000
619700;2009010408;   190;1000
619700;2009010409;  2863;1000
619700;2009010410;  5340;1000
619700;2009010411; 11579;1000
619700;2009010412;  6539;1000
619700;2009010413;  5646;1000
619700;2009010414;  2059;1000
619700;2009010415;   624;1000
619700;2009010416;     0;1000
619700;2009010417;     0;1000
619700;2009010418;     0;1000
619700;2009010419;     0;1000
619700;2009010420;     0;1000
619700;2009010421;     0;1000
619700;2009010422;     0;1000
619700;2009010423;     0;1000
619700;2009010500;     0;1000
619700;2009010501;     0;1000
619700;2009010502;     0;1000
619700;2009010503;     0;1000
619700;2009010504;     0;1000
619700;2009010505;     0;1000
619700;2009010506;     0;1000
619700;2009010507;     0;1000
619700;2009010508;   614;1000
619700;2009010509;  3009;1000
619700;2009010510;  5406;1000
619700;2009010511; 10333;1000
619700;2009010512; 10093;1000
619700;2009010513;  6686;1000
619700;2009010514;  6346;1000
619700;2009010515;  1461;1000
619700;2009010516;     0;1000
619700;2009010517;     0;1000
619700;2009010518;     0;1000
619700;2009010519;     0;1000
619700;2009010520;     0;1000
619700;2009010521;     0;1000
619700;2009010522;     0;1000
619700;2009010523;     0;1000
619700;2009010600;     0;1000
619700;2009010601;     0;1000
619700;2009010602;     0;1000
619700;2009010603;     0;1000
619700;2009010604;     0;1000
619700;2009010605;     0;1000
619700;2009010606;     0;1000
619700;2009010607;     0;1000
619700;2009010608;   651;1000
619700;2009010609;  2106;1000
619700;2009010610;  3247;1000
619700;2009010611;  6912;1000
619700;2009010612;  6065;1000
619700;2009010613;  4383;1000
619700;2009010614;  2772;1000
619700;2009010615;   713;1000
619700;2009010616;     0;1000
619700;2009010617;     0;1000
619700;2009010618;     0;1000
619700;2009010619;     0;1000
619700;2009010620;     0;1000
619700;2009010621;     0;1000
619700;2009010622;     0;1000
619700;2009010623;     0;1000
619700;2009010700;     0;1000
619700;2009010701;     0;1000
619700;2009010702;     0;1000
619700;2009010703;     0;1000
619700;2009010704;     0;1000
619700;2009010705;     0;1000
619700;2009010706;     0;1000
619700;2009010707;     0;1000
619700;2009010708;   585;1000
619700;2009010709;  5781;1000
619700;2009010710;  9365;1000
619700;2009010711;  9808;1000
619700;2009010712;  8335;1000
619700;2009010713;  9274;1000
619700;2009010714;  6561;1000
619700;2009010715;  1707;1000
619700;2009010716;     0;1000
619700;2009010717;     0;1000
619700;2009010718;     0;1000
619700;2009010719;     0;1000
619700;2009010720;     0;1000
619700;2009010721;     0;1000
619700;2009010722;     0;1000
619700;2009010723;     0;1000
619700;2009010800;     0;1000
619700;2009010801;     0;1000
619700;2009010802;     0;1000
619700;2009010803;     0;1000
619700;2009010804;     0;1000
619700;2009010805;     0;1000
619700;2009010806;     0;1000
619700;2009010807;     0;1000
619700;2009010808;  1630;1000
619700;2009010809;  5313;1000
619700;2009010810;  7214;1000
619700;2009010811;  8587;1000
619700;2009010812;  8722;1000
619700;2009010813;  7015;1000
619700;2009010814;  3348;1000
619700;2009010815;   643;1000
619700;2009010816;     0;1000
619700;2009010817;     0;1000
619700;2009010818;     0;1000
619700;2009010819;     0;1000
619700;2009010820;     0;1000
619700;2009010821;     0;1000
619700;2009010822;     0;1000
619700;2009010823;     0;1000
619700;2009010900;     0;1000
619700;2009010901;     0;1000
619700;2009010902;     0;1000
619700;2009010903;     0;1000
619700;2009010904;     0;1000
619700;2009010905;     0;1000
619700;2009010906;     0;1000
619700;2009010907;     0;1000
619700;2009010908;   103;1000
619700;2009010909;  1586;1000
619700;2009010910;  4695;1000
619700;2009010911;  5178;1000
619700;2009010912;  4639;1000
619700;2009010913;  3585;1000
619700;2009010914;  2001;1000
619700;2009010915;   479;1000
619700;2009010916;     0;1000
619700;2009010917;     0;1000
619700;2009010918;     0;1000
619700;2009010919;     0;1000
619700;2009010920;     0;1000
619700;2009010921;     0;1000
619700;2009010922;     0;1000
619700;2009010923;     0;1000
619700;2009011000;     0;1000
619700;2009011001;     0;1000
619700;2009011002;     0;1000
619700;2009011003;     0;1000
619700;2009011004;     0;1000
619700;2009011005;     0;1000
619700;2009011006;     0;1000
619700;2009011007;     0;1000
619700;2009011008;   103;1000
619700;2009011009;   750;1000
619700;2009011010;  1537;1000
619700;2009011011;  2410;1000
619700;2009011012;  2520;1000
619700;2009011013;  3878;1000
619700;2009011014;  2193;1000
619700;2009011015;   395;1000
619700;2009011016;     0;1000
619700;2009011017;     0;1000
619700;2009011018;     0;1000
619700;2009011019;     0;1000
619700;2009011020;     0;1000
619700;2009011021;     0;1000
619700;2009011022;     0;1000
619700;2009011023;     0;1000
619700;2009011100;     0;1000
619700;2009011101;     0;1000
619700;2009011102;     0;1000
619700;2009011103;     0;1000
619700;2009011104;     0;1000
619700;2009011105;     0;1000
619700;2009011106;     0;1000
619700;2009011107;     0;1000
619700;2009011108;  1206;1000
619700;2009011109;  3889;1000
619700;2009011110;  8248;1000
619700;2009011111;  8791;1000
619700;2009011112; 10119;1000
619700;2009011113;  8464;1000
619700;2009011114;  4642;1000
619700;2009011115;  1927;1000
619700;2009011116;     0;1000
619700;2009011117;     0;1000
619700;2009011118;     0;1000
619700;2009011119;     0;1000
619700;2009011120;     0;1000
619700;2009011121;     0;1000
619700;2009011122;     0;1000
619700;2009011123;     0;1000
619700;2009011200;     0;1000
619700;2009011201;     0;1000
619700;2009011202;     0;1000
619700;2009011203;     0;1000
619700;2009011204;     0;1000
619700;2009011205;     0;1000
619700;2009011206;     0;1000
619700;2009011207;     0;1000
619700;2009011208;  1365;1000
619700;2009011209;  6465;1000
619700;2009011210;  9463;1000
619700;2009011211;  9570;1000
619700;2009011212;  9194;1000
619700;2009011213;  8180;1000
619700;2009011214;  7597;1000
619700;2009011215;  2077;1000
619700;2009011216;     0;1000
619700;2009011217;     0;1000
619700;2009011218;     0;1000
619700;2009011219;     0;1000
619700;2009011220;     0;1000
619700;2009011221;     0;1000
619700;2009011222;     0;1000
619700;2009011223;     0;1000
619700;2009011300;     0;1000
619700;2009011301;     0;1000
619700;2009011302;     0;1000
619700;2009011303;     0;1000
619700;2009011304;     0;1000
619700;2009011305;     0;1000
619700;2009011306;     0;1000
619700;2009011307;     0;1000
619700;2009011308;   197;1000
619700;2009011309;  1044;1000
619700;2009011310;  1943;1000
619700;2009011311;  2116;1000
619700;2009011312;  3230;1000
619700;2009011313;  2371;1000
619700;2009011314;  2124;1000
619700;2009011315;   496;1000
619700;2009011316;     0;1000
619700;2009011317;     0;1000
619700;2009011318;     0;1000
619700;2009011319;     0;1000
619700;2009011320;     0;1000
619700;2009011321;     0;1000
619700;2009011322;     0;1000
619700;2009011323;     0;1000
619700;2009011400;     0;1000
619700;2009011401;     0;1000
619700;2009011402;     0;1000
619700;2009011403;     0;1000
619700;2009011404;     0;1000
619700;2009011405;     0;1000
619700;2009011406;     0;1000
619700;2009011407;     0;1000
619700;2009011408;   370;1000
619700;2009011409;  2411;1000
619700;2009011410;  5260;1000
619700;2009011411;  3323;1000
619700;2009011412;  6080;1000
619700;2009011413;  3159;1000
619700;2009011414;  1666;1000
619700;2009011415;   678;1000
619700;2009011416;     0;1000
619700;2009011417;     0;1000
619700;2009011418;     0;1000
619700;2009011419;     0;1000
619700;2009011420;     0;1000
619700;2009011421;     0;1000
619700;2009011422;     0;1000
619700;2009011423;     0;1000
619700;2009011500;     0;1000
619700;2009011501;     0;1000
619700;2009011502;     0;1000
619700;2009011503;     0;1000
619700;2009011504;     0;1000
619700;2009011505;     0;1000
619700;2009011506;     0;1000
619700;2009011507;     0;1000
619700;2009011508;   457;1000
619700;2009011509;  2688;1000
619700;2009011510;  5928;1000
619700;2009011511;  7976;1000
619700;2009011512;  6287;1000
619700;2009011513;  7409;1000
619700;2009011514;  5176;1000
619700;2009011515;  1729;1000
619700;2009011516;     0;1000
619700;2009011517;     0;1000
619700;2009011518;     0;1000
619700;2009011519;     0;1000
619700;2009011520;     0;1000
619700;2009011521;     0;1000
619700;2009011522;     0;1000
619700;2009011523;     0;1000
619700;2009011600;     0;1000
619700;2009011601;     0;1000
619700;2009011602;     0;1000
619700;2009011603;     0;1000
619700;2009011604;     0;1000
619700;2009011605;     0;1000
619700;2009011606;     0;1000
619700;2009011607;     0;1000
619700;2009011608;   624;1000
619700;2009011609;  3710;1000
619700;2009011610; 11072;1000
619700;2009011611;  8248;1000
619700;2009011612;  9115;1000
619700;2009011613; 10299;1000
619700;2009011614;  6924;1000
619700;2009011615;  2156;1000
619700;2009011616;     0;1000
619700;2009011617;     0;1000
619700;2009011618;     0;1000
619700;2009011619;     0;1000
619700;2009011620;     0;1000
619700;2009011621;     0;1000
619700;2009011622;     0;1000
619700;2009011623;     0;1000
619700;2009011700;     0;1000
