statid;timeobs;radiation_mean(W/m^2);label
619700;2009010100;0;1100
619700;2009010101;0;1100
619700;2009010102;0;1100
619700;2009010103;0;1100
619700;2009010104;0;1100
619700;2009010105;0;1100
619700;2009010106;0;1100
619700;2009010107;0;1100
619700;2009010108;2;1100
619700;2009010109;34;1100
619700;2009010110;73;1100
619700;2009010111;84;1100
619700;2009010112;182;1100
619700;2009010113;135;1100
619700;2009010114;76;1100
619700;2009010115;13;1100
619700;2009010116;0;1100
619700;2009010117;0;1100
619700;2009010118;0;1100
619700;2009010119;0;1100
619700;2009010120;0;1100
619700;2009010121;0;1100
619700;2009010122;0;1100
619700;2009010123;0;1100
619700;2009010200;0;1100
619700;2009010201;0;1100
619700;2009010202;0;1100
619700;2009010203;0;1100
619700;2009010204;0;1100
619700;2009010205;0;1100
619700;2009010206;0;1100
619700;2009010207;0;1100
619700;2009010208;11;1100
619700;2009010209;80;1100
619700;2009010210;147;1100
619700;2009010211;186;1100
619700;2009010212;187;1100
619700;2009010213;149;1100
619700;2009010214;80;1100
619700;2009010215;15;1100
619700;2009010216;0;1100
619700;2009010217;0;1100
619700;2009010218;0;1100
619700;2009010219;0;1100
619700;2009010220;0;1100
619700;2009010221;0;1100
619700;2009010222;0;1100
619700;2009010223;0;1100
619700;2009010300;0;1100
619700;2009010301;0;1100
619700;2009010302;0;1100
619700;2009010303;0;1100
619700;2009010304;0;1100
619700;2009010305;0;1100
619700;2009010306;0;1100
619700;2009010307;0;1100
619700;2009010308;11;1100
619700;2009010309;42;1100
619700;2009010310;55;1100
619700;2009010311;61;1100
619700;2009010312;86;1100
619700;2009010313;23;1100
619700;2009010314;10;1100
619700;2009010315;2;1100
619700;2009010316;0;1100
619700;2009010317;0;1100
619700;2009010318;0;1100
619700;2009010319;0;1100
619700;2009010320;0;1100
619700;2009010321;0;1100
619700;2009010322;0;1100
619700;2009010323;0;1100
619700;2009010400;0;1100
619700;2009010401;0;1100
619700;2009010402;0;1100
619700;2009010403;0;1100
619700;2009010404;0;1100
619700;2009010405;0;1100
619700;2009010406;0;1100
619700;2009010407;0;1100
619700;2009010408;2;1100
619700;2009010409;33;1100
619700;2009010410;65;1100
619700;2009010411;177;1100
619700;2009010412;75;1100
619700;2009010413;60;1100
619700;2009010414;21;1100
619700;2009010415;7;1100
619700;2009010416;0;1100
619700;2009010417;0;1100
619700;2009010418;0;1100
619700;2009010419;0;1100
619700;2009010420;0;1100
619700;2009010421;0;1100
619700;2009010422;0;1100
619700;2009010423;0;1100
619700;2009010500;0;1100
619700;2009010501;0;1100
619700;2009010502;0;1100
619700;2009010503;0;1100
619700;2009010504;0;1100
619700;2009010505;0;1100
619700;2009010506;0;1100
619700;2009010507;0;1100
619700;2009010508;7;1100
619700;2009010509;33;1100
619700;2009010510;63;1100
619700;2009010511;156;1100
619700;2009010512;199;1100
619700;2009010513;162;1100
619700;2009010514;90;1100
619700;2009010515;18;1100
619700;2009010516;0;1100
619700;2009010517;0;1100
619700;2009010518;0;1100
619700;2009010519;0;1100
619700;2009010520;0;1100
619700;2009010521;0;1100
619700;2009010522;0;1100
619700;2009010523;0;1100
619700;2009010600;0;1100
619700;2009010601;0;1100
619700;2009010602;0;1100
619700;2009010603;0;1100
619700;2009010604;0;1100
619700;2009010605;0;1100
619700;2009010606;0;1100
619700;2009010607;0;1100
619700;2009010608;8;1100
619700;2009010609;22;1100
619700;2009010610;32;1100
619700;2009010611;73;1100
619700;2009010612;61;1100
619700;2009010613;44;1100
619700;2009010614;29;1100
619700;2009010615;8;1100
619700;2009010616;0;1100
619700;2009010617;0;1100
619700;2009010618;0;1100
619700;2009010619;0;1100
619700;2009010620;0;1100
619700;2009010621;0;1100
619700;2009010622;0;1100
619700;2009010623;0;1100
619700;2009010700;0;1100
619700;2009010701;0;1100
619700;2009010702;0;1100
619700;2009010703;0;1100
619700;2009010704;0;1100
619700;2009010705;0;1100
619700;2009010706;0;1100
619700;2009010707;0;1100
619700;2009010708;8;1100
619700;2009010709;72;1100
619700;2009010710;152;1100
619700;2009010711;146;1100
619700;2009010712;114;1100
619700;2009010713;138;1100
619700;2009010714;93;1100
619700;2009010715;21;1100
619700;2009010716;0;1100
619700;2009010717;0;1100
619700;2009010718;0;1100
619700;2009010719;0;1100
619700;2009010720;0;1100
619700;2009010721;0;1100
619700;2009010722;0;1100
619700;2009010723;0;1100
619700;2009010800;0;1100
619700;2009010801;0;1100
619700;2009010802;0;1100
619700;2009010803;0;1100
619700;2009010804;0;1100
619700;2009010805;0;1100
619700;2009010806;0;1100
619700;2009010807;0;1100
619700;2009010808;22;1100
619700;2009010809;69;1100
619700;2009010810;102;1100
619700;2009010811;118;1100
619700;2009010812;108;1100
619700;2009010813;86;1100
619700;2009010814;36;1100
619700;2009010815;7;1100
619700;2009010816;0;1100
619700;2009010817;0;1100
619700;2009010818;0;1100
619700;2009010819;0;1100
619700;2009010820;0;1100
619700;2009010821;0;1100
619700;2009010822;0;1100
619700;2009010823;0;1100
619700;2009010900;0;1100
619700;2009010901;0;1100
619700;2009010902;0;1100
619700;2009010903;0;1100
619700;2009010904;0;1100
619700;2009010905;0;1100
619700;2009010906;0;1100
619700;2009010907;0;1100
619700;2009010908;1;1100
619700;2009010909;16;1100
619700;2009010910;48;1100
619700;2009010911;51;1100
619700;2009010912;45;1100
619700;2009010913;35;1100
619700;2009010914;20;1100
619700;2009010915;5;1100
619700;2009010916;0;1100
619700;2009010917;0;1100
619700;2009010918;0;1100
619700;2009010919;0;1100
619700;2009010920;0;1100
619700;2009010921;0;1100
619700;2009010922;0;1100
619700;2009010923;0;1100
619700;2009011000;0;1100
619700;2009011001;0;1100
619700;2009011002;0;1100
619700;2009011003;0;1100
619700;2009011004;0;1100
619700;2009011005;0;1100
619700;2009011006;0;1100
619700;2009011007;0;1100
619700;2009011008;1;1100
619700;2009011009;7;1100
619700;2009011010;14;1100
619700;2009011011;22;1100
619700;2009011012;23;1100
619700;2009011013;38;1100
619700;2009011014;22;1100
619700;2009011015;4;1100
619700;2009011016;0;1100
619700;2009011017;0;1100
619700;2009011018;0;1100
619700;2009011019;0;1100
619700;2009011020;0;1100
619700;2009011021;0;1100
619700;2009011022;0;1100
619700;2009011023;0;1100
619700;2009011100;0;1100
619700;2009011101;0;1100
619700;2009011102;0;1100
619700;2009011103;0;1100
619700;2009011104;0;1100
619700;2009011105;0;1100
619700;2009011106;0;1100
619700;2009011107;0;1100
619700;2009011108;19;1100
619700;2009011109;52;1100
619700;2009011110;116;1100
619700;2009011111;120;1100
619700;2009011112;149;1100
619700;2009011113;121;1100
619700;2009011114;60;1100
619700;2009011115;21;1100
619700;2009011116;0;1100
619700;2009011117;0;1100
619700;2009011118;0;1100
619700;2009011119;0;1100
619700;2009011120;0;1100
619700;2009011121;0;1100
619700;2009011122;0;1100
619700;2009011123;0;1100
619700;2009011200;0;1100
619700;2009011201;0;1100
619700;2009011202;0;1100
619700;2009011203;0;1100
619700;2009011204;0;1100
619700;2009011205;0;1100
619700;2009011206;0;1100
619700;2009011207;0;1100
619700;2009011208;18;1100
619700;2009011209;97;1100
619700;2009011210;162;1100
619700;2009011211;202;1100
619700;2009011212;216;1100
619700;2009011213;186;1100
619700;2009011214;110;1100
619700;2009011215;29;1100
619700;2009011216;1;1100
619700;2009011217;0;1100
619700;2009011218;0;1100
619700;2009011219;0;1100
619700;2009011220;0;1100
619700;2009011221;0;1100
619700;2009011222;0;1100
619700;2009011223;0;1100
619700;2009011300;0;1100
