statid;timeobs;Integrated_water_vapour_mean_[kg/m^2];Quality_label
614100;2009010100; 7.2930;1000
614100;2009010101; 8.1811;1000
614100;2009010102; 8.1472;1000
614100;2009010103; 7.5617;1000
614100;2009010104; 6.8950;1000
614100;2009010105; 6.3004;1000
614100;2009010106; 5.6692;1000
614100;2009010107; 4.9578;1000
614100;2009010108; 4.3966;1000
614100;2009010109; 4.0655;1000
614100;2009010110; 4.3390;1000
614100;2009010111; 4.2978;1000
614100;2009010112; 4.3151;1000
614100;2009010113; 4.3079;1000
614100;2009010114; 4.3687;1000
614100;2009010115; 4.4765;1000
614100;2009010116; 4.5130;1000
614100;2009010117; 4.5254;1000
614100;2009010118; 4.5296;1000
614100;2009010119; 4.4451;1000
614100;2009010120; 4.2560;1000
614100;2009010121; 4.0304;1000
614100;2009010122; 4.2111;1000
614100;2009010123; 4.1297;1000
614100;2009010200; 4.2065;1000
614100;2009010201; 4.5119;1000
614100;2009010202; 5.0880;1000
614100;2009010203; 5.5013;1000
614100;2009010204; 5.3325;1000
614100;2009010205; 4.6754;1000
614100;2009010206; 3.9761;1000
614100;2009010207; 3.5972;1000
614100;2009010208; 3.5027;1000
614100;2009010209; 3.5944;1000
614100;2009010210; 4.0654;1000
614100;2009010211; 4.2577;1000
614100;2009010212; 4.4719;1000
614100;2009010213; 4.6622;1000
614100;2009010214; 4.8528;1000
614100;2009010215; 4.9394;1000
614100;2009010216; 4.8302;1000
614100;2009010217; 4.8644;1000
614100;2009010218; 5.0122;1000
614100;2009010219; 5.0216;1000
614100;2009010220; 4.9718;1000
614100;2009010221; 5.3609;1000
614100;2009010222; 6.1495;1000
614100;2009010223; 5.9145;1000
614100;2009010300; 5.5765;1000
614100;2009010301; 5.5106;1000
614100;2009010302; 5.5233;1000
614100;2009010303; 5.9956;1000
614100;2009010304; 6.6317;1000
614100;2009010305; 7.3777;1000
614100;2009010306; 8.2560;1000
614100;2009010307; 9.1390;1000
614100;2009010308;10.1141;1000
614100;2009010309;10.1512;1000
614100;2009010310; 9.4784;1000
614100;2009010311; 8.2037;1000
614100;2009010312; 7.2386;1000
614100;2009010313; 6.5945;1000
614100;2009010314; 6.0782;1000
614100;2009010315; 5.5243;1000
614100;2009010316; 4.9583;1000
614100;2009010317; 4.5472;1000
614100;2009010318; 4.4084;1000
614100;2009010319; 4.5109;1000
614100;2009010320; 4.7164;1000
614100;2009010321; 4.9360;1000
614100;2009010322; 5.0747;1000
614100;2009010323; 5.1569;1000
614100;2009010400; 5.1711;1000
614100;2009010401; 5.0738;1000
614100;2009010402; 4.9051;1000
614100;2009010403; 4.7384;1000
614100;2009010404; 4.6642;1000
614100;2009010405; 4.5987;1000
614100;2009010406; 4.4970;1000
614100;2009010407; 4.3450;1000
614100;2009010408; 4.1879;1000
614100;2009010409; 3.9979;1000
614100;2009010410; 3.9273;1000
614100;2009010411; 3.6825;1000
614100;2009010412; 3.4731;1000
614100;2009010413; 3.2920;1000
614100;2009010414; 3.1151;1000
614100;2009010415; 2.9876;1000
614100;2009010416; 2.9470;1000
614100;2009010417; 2.9394;1000
614100;2009010418; 2.9267;1000
614100;2009010419; 2.8630;1000
614100;2009010420; 2.7135;1000
614100;2009010421; 2.5220;1000
614100;2009010422; 2.5501;1000
614100;2009010423; 2.4802;1000
614100;2009010500; 2.4668;1000
614100;2009010501; 2.5263;1000
614100;2009010502; 2.6933;1000
614100;2009010503; 2.9120;1000
614100;2009010504; 3.1142;1000
614100;2009010505; 3.2820;1000
614100;2009010506; 3.4109;1000
614100;2009010507; 3.5455;1000
614100;2009010508; 3.6501;1000
614100;2009010509; 3.7010;1000
614100;2009010510; 3.9557;1000
614100;2009010511; 4.0031;1000
614100;2009010512; 4.0843;1000
614100;2009010513; 4.2474;1000
614100;2009010514; 4.4989;1000
614100;2009010515; 4.7553;1000
614100;2009010516; 4.9314;1000
614100;2009010517; 4.9938;1000
614100;2009010518; 4.9817;1000
614100;2009010519; 4.9088;1000
614100;2009010520; 4.7528;1000
614100;2009010521; 4.5686;1000
614100;2009010522; 4.7798;1000
614100;2009010523; 4.9334;1000
614100;2009010600; 5.2296;1000
614100;2009010601; 5.4242;1000
614100;2009010602; 5.3955;1000
614100;2009010603; 5.3265;1000
614100;2009010604; 5.5645;1000
614100;2009010605; 6.0260;1000
614100;2009010606; 6.4974;1000
614100;2009010607; 6.9649;1000
614100;2009010608; 7.3151;1000
614100;2009010609; 7.4739;1000
614100;2009010610; 8.0785;1000
614100;2009010611; 8.2401;1000
614100;2009010612; 8.8317;1000
614100;2009010613; 9.3744;1000
614100;2009010614; 9.9817;1000
614100;2009010615;10.5753;1000
614100;2009010616;11.1143;1000
614100;2009010617;11.6583;1000
614100;2009010618;11.5669;1000
614100;2009010619;10.8028;1000
614100;2009010620;10.3523;1000
614100;2009010621; 8.8932;1000
