statid;timeobs;wind_speed_mean(m/s);label
619700;2009010100;2.1;1100
619700;2009010101;2.1;1100
619700;2009010102;2.6;1100
619700;2009010103;2.4;1100
619700;2009010104;2.4;1100
619700;2009010105;2.8;1100
619700;2009010106;4.3;1100
619700;2009010107;3.8;1100
619700;2009010108;3.4;1100
619700;2009010109;3;1100
619700;2009010110;3.9;1100
619700;2009010111;3;1100
619700;2009010112;4;1100
619700;2009010113;3.6;1100
619700;2009010114;3.9;1100
619700;2009010115;3.3;1100
619700;2009010116;4.2;1100
619700;2009010117;2.9;1100
619700;2009010118;2.2;1100
619700;2009010119;2.4;1100
619700;2009010120;2.2;1100
619700;2009010121;2;1100
619700;2009010122;1.8;1100
619700;2009010123;2.5;1100
619700;2009010200;2.4;1100
619700;2009010201;2.1;1100
619700;2009010202;2.1;1100
619700;2009010203;2;1100
619700;2009010204;2;1100
619700;2009010205;2.7;1100
619700;2009010206;3;1100
619700;2009010207;3.3;1100
619700;2009010208;3.9;1100
619700;2009010209;4.7;1100
619700;2009010210;3.7;1100
619700;2009010211;4;1100
619700;2009010212;5.1;1100
619700;2009010213;5.4;1100
619700;2009010214;5.5;1100
619700;2009010215;3.9;1100
619700;2009010216;2.8;1100
619700;2009010217;2.9;1100
619700;2009010218;2.8;1100
619700;2009010219;2.9;1100
619700;2009010220;2.9;1100
619700;2009010221;3;1100
619700;2009010222;2.7;1100
619700;2009010223;3.7;1100
619700;2009010300;4;1100
619700;2009010301;4.5;1100
619700;2009010302;4.4;1100
619700;2009010303;6.3;1100
619700;2009010304;7.9;1100
619700;2009010305;9.4;1100
619700;2009010306;8.5;1100
619700;2009010307;8.2;1100
619700;2009010308;6.7;1100
619700;2009010309;6.3;1100
619700;2009010310;7.7;1100
619700;2009010311;8.8;1100
619700;2009010312;8.8;1100
619700;2009010313;9;1100
619700;2009010314;10.6;1100
619700;2009010315;10.6;1100
619700;2009010316;9.6;1100
619700;2009010317;7.9;1100
619700;2009010318;4.8;1100
619700;2009010319;5;1100
619700;2009010320;4.4;1100
619700;2009010321;5.8;1100
619700;2009010322;5.5;1100
619700;2009010323;6.4;1100
619700;2009010400;5.9;1100
619700;2009010401;7;1100
619700;2009010402;5.9;1100
619700;2009010403;4.8;1100
619700;2009010404;4.6;1100
619700;2009010405;4.2;1100
619700;2009010406;3.6;1100
619700;2009010407;3.3;1100
619700;2009010408;1.7;1100
619700;2009010409;2.4;1100
619700;2009010410;4;1100
619700;2009010411;3.1;1100
619700;2009010412;0.9;1100
619700;2009010413;1.3;1100
619700;2009010414;4.1;1100
619700;2009010415;3.1;1100
619700;2009010416;4.9;1100
619700;2009010417;5.9;1100
619700;2009010418;4.8;1100
619700;2009010419;3.2;1100
619700;2009010420;5.5;1100
619700;2009010421;4.9;1100
619700;2009010422;5.1;1100
619700;2009010423;5.3;1100
619700;2009010500;5;1100
619700;2009010501;4.8;1100
619700;2009010502;4.6;1100
619700;2009010503;4.3;1100
619700;2009010504;3.4;1100
619700;2009010505;3.1;1100
619700;2009010506;4;1100
619700;2009010507;1.4;1100
619700;2009010508;3.2;1100
619700;2009010509;2.4;1100
619700;2009010510;2.5;1100
619700;2009010511;3;1100
619700;2009010512;3;1100
619700;2009010513;2.4;1100
619700;2009010514;1.7;1100
619700;2009010515;1.3;1100
619700;2009010516;2.5;1100
619700;2009010517;3;1100
619700;2009010518;3.4;1100
619700;2009010519;3.8;1100
619700;2009010520;2.7;1100
619700;2009010521;2.5;1100
619700;2009010522;2.3;1100
619700;2009010523;2.2;1100
619700;2009010600;2.1;1100
619700;2009010601;2.4;1100
619700;2009010602;2.5;1100
619700;2009010603;2.2;1100
619700;2009010604;2.4;1100
619700;2009010605;2.1;1100
619700;2009010606;3.4;1100
619700;2009010607;6;1100
619700;2009010608;7.2;1100
619700;2009010609;7.4;1100
619700;2009010610;7.8;1100
619700;2009010611;8.5;1100
619700;2009010612;8.6;1100
619700;2009010613;8.9;1100
619700;2009010614;9;1100
619700;2009010615;8.4;1100
619700;2009010616;8.8;1100
619700;2009010617;9.3;1100
619700;2009010618;9.7;1100
619700;2009010619;10.6;1100
619700;2009010620;10.9;1100
619700;2009010621;13.2;1100
619700;2009010622;13.3;1100
619700;2009010623;13.4;1100
619700;2009010700;14.6;1100
619700;2009010701;15.1;1100
619700;2009010702;16;1100
619700;2009010703;14.6;1100
619700;2009010704;13.4;1100
619700;2009010705;11.8;1100
619700;2009010706;11.3;1100
619700;2009010707;8.8;1100
619700;2009010708;7.1;1100
619700;2009010709;6.4;1100
619700;2009010710;7.5;1100
619700;2009010711;7.3;1100
619700;2009010712;7.5;1100
619700;2009010713;7.6;1100
619700;2009010714;7.4;1100
619700;2009010715;6.4;1100
619700;2009010716;5.7;1100
619700;2009010717;5.6;1100
619700;2009010718;5.8;1100
619700;2009010719;6.7;1100
619700;2009010720;5.6;1100
619700;2009010721;4.9;1100
619700;2009010722;3.8;1100
619700;2009010723;2.9;1100
619700;2009010800;2.7;1100
619700;2009010801;3.1;1100
619700;2009010802;2.8;1100
619700;2009010803;2.5;1100
619700;2009010804;2.6;1100
619700;2009010805;2.8;1100
619700;2009010806;2.5;1100
619700;2009010807;2.5;1100
619700;2009010808;2.3;1100
619700;2009010809;3.8;1100
619700;2009010810;7.6;1100
619700;2009010811;10;1100
619700;2009010812;10;1100
619700;2009010813;10;1100
619700;2009010814;11.9;1100
619700;2009010815;11;1100
619700;2009010816;10.8;1100
619700;2009010817;11.6;1100
619700;2009010818;12.3;1100
619700;2009010819;11;1100
619700;2009010820;9.1;1100
619700;2009010821;9.6;1100
619700;2009010822;10.6;1100
619700;2009010823;10;1100
619700;2009010900;10.5;1100
619700;2009010901;11;1100
619700;2009010902;10.9;1100
619700;2009010903;12.7;1100
619700;2009010904;12.5;1100
619700;2009010905;12.9;1100
619700;2009010906;11.9;1100
619700;2009010907;11.1;1100
619700;2009010908;9.5;1100
619700;2009010909;9;1100
619700;2009010910;9.1;1100
619700;2009010911;9.3;1100
619700;2009010912;8.6;1100
619700;2009010913;8;1100
619700;2009010914;6.7;1100
619700;2009010915;7;1100
619700;2009010916;6.6;1100
619700;2009010917;5.8;1100
619700;2009010918;4.4;1100
619700;2009010919;2.8;1100
619700;2009010920;2;1100
619700;2009010921;2.3;1100
619700;2009010922;2.6;1100
619700;2009010923;1.9;1100
619700;2009011000;2.4;1100
619700;2009011001;2.7;1100
619700;2009011002;3;1100
619700;2009011003;2.9;1100
619700;2009011004;2.8;1100
619700;2009011005;3.9;1100
619700;2009011006;3.9;1100
619700;2009011007;3.6;1100
619700;2009011008;3.3;1100
619700;2009011009;3.7;1100
619700;2009011010;3.9;1100
619700;2009011011;5.1;1100
619700;2009011012;5;1100
619700;2009011013;3.7;1100
619700;2009011014;3.4;1100
619700;2009011015;4.2;1100
619700;2009011016;3.8;1100
619700;2009011017;4;1100
619700;2009011018;5;1100
619700;2009011019;4.7;1100
619700;2009011020;5.3;1100
619700;2009011021;5.5;1100
619700;2009011022;6.4;1100
619700;2009011023;7.3;1100
619700;2009011100;8;1100
619700;2009011101;6.9;1100
619700;2009011102;6.8;1100
619700;2009011103;7;1100
619700;2009011104;7;1100
619700;2009011105;6.5;1100
619700;2009011106;7.9;1100
619700;2009011107;7.3;1100
619700;2009011108;7.6;1100
619700;2009011109;7.5;1100
619700;2009011110;8;1100
619700;2009011111;8.8;1100
619700;2009011112;8;1100
619700;2009011113;8.2;1100
619700;2009011114;7.6;1100
619700;2009011115;7.3;1100
619700;2009011116;6.3;1100
619700;2009011117;6;1100
619700;2009011118;6.7;1100
619700;2009011119;6.8;1100
619700;2009011120;7.7;1100
619700;2009011121;7.4;1100
619700;2009011122;7.4;1100
619700;2009011123;7.4;1100
619700;2009011200;7.3;1100
619700;2009011201;7.4;1100
619700;2009011202;7.2;1100
619700;2009011203;7.2;1100
619700;2009011204;7.3;1100
619700;2009011205;7.7;1100
619700;2009011206;8;1100
619700;2009011207;8.1;1100
619700;2009011208;8;1100
619700;2009011209;7.6;1100
619700;2009011210;7.9;1100
619700;2009011211;8.6;1100
619700;2009011212;8.7;1100
619700;2009011213;8.5;1100
619700;2009011214;8;1100
619700;2009011215;7.8;1100
619700;2009011216;9.1;1100
619700;2009011217;9.6;1100
619700;2009011218;9.4;1100
619700;2009011219;9.4;1100
619700;2009011220;9.8;1100
619700;2009011221;9.8;1100
619700;2009011222;8.9;1100
619700;2009011223;8.4;1100
619700;2009011300;7.9;1100
619700;2009011301;9.1;1100
619700;2009011302;8.3;1100
619700;2009011303;7.2;1100
619700;2009011304;8.9;1100
619700;2009011305;9.5;1100
619700;2009011306;8.3;1100
619700;2009011307;7.3;1100
619700;2009011308;7.6;1100
619700;2009011309;7.7;1100
619700;2009011310;7;1100
619700;2009011311;7;1100
619700;2009011312;7;1100
619700;2009011313;6.7;1100
619700;2009011314;6.3;1100
619700;2009011315;6.4;1100
619700;2009011316;6.3;1100
619700;2009011317;5.9;1100
619700;2009011318;5.9;1100
619700;2009011319;6;1100
619700;2009011320;6;1100
619700;2009011321;5.8;1100
619700;2009011322;5.5;1100
619700;2009011323;4.8;1100
619700;2009011400;5.1;1100
619700;2009011401;4.8;1100
619700;2009011402;4.7;1100
619700;2009011403;4.8;1100
619700;2009011404;4.6;1100
619700;2009011405;4.4;1100
619700;2009011406;3.5;1100
619700;2009011407;3.3;1100
619700;2009011408;3.9;1100
619700;2009011409;4.5;1100
619700;2009011410;4.8;1100
619700;2009011411;4.5;1100
619700;2009011412;4.1;1100
619700;2009011413;3.8;1100
619700;2009011414;3.9;1100
619700;2009011415;3.7;1100
619700;2009011416;2.2;1100
619700;2009011417;2;1100
619700;2009011418;2;1100
619700;2009011419;2.5;1100
619700;2009011420;2.7;1100
619700;2009011421;1;1100
619700;2009011422;1.4;1100
619700;2009011423;3;1100
619700;2009011500;2.1;1100
619700;2009011501;1.7;1100
619700;2009011502;0.6;1100
619700;2009011503;2.2;1100
619700;2009011504;2;1100
619700;2009011505;1.8;1100
619700;2009011506;1.4;1100
619700;2009011507;2.6;1100
619700;2009011508;3.9;1100
619700;2009011509;3.8;1100
619700;2009011510;5.1;1100
619700;2009011511;4.9;1100
619700;2009011512;4.6;1100
619700;2009011513;4.7;1100
619700;2009011514;3.9;1100
619700;2009011515;2.5;1100
619700;2009011516;2.8;1100
619700;2009011517;3.5;1100
619700;2009011518;3.2;1100
619700;2009011519;3;1100
619700;2009011520;2.3;1100
619700;2009011521;2.5;1100
619700;2009011522;3.7;1100
619700;2009011523;5.1;1100
619700;2009011600;4.4;1100
619700;2009011601;3.6;1100
619700;2009011602;3.9;1100
619700;2009011603;3.5;1100
619700;2009011604;2.7;1100
619700;2009011605;2.3;1100
619700;2009011606;1.8;1100
619700;2009011607;1.6;1100
619700;2009011608;1.7;1100
619700;2009011609;2.1;1100
619700;2009011610;3;1100
619700;2009011611;3.3;1100
619700;2009011612;3.7;1100
619700;2009011613;3.2;1100
619700;2009011614;2.9;1100
619700;2009011615;2.5;1100
619700;2009011616;2.2;1100
619700;2009011617;2.4;1100
619700;2009011618;1.9;1100
619700;2009011619;3;1100
619700;2009011620;3.1;1100
619700;2009011621;2.9;1100
619700;2009011622;3.3;1100
619700;2009011623;3.7;1100
619700;2009011700;3.4;1100
619700;2009011701;3.9;1100
619700;2009011702;3.8;1100
619700;2009011703;4;1100
619700;2009011704;4;1100
619700;2009011705;4.2;1100
619700;2009011706;5.1;1100
619700;2009011707;5.3;1100
619700;2009011708;5;1100
619700;2009011709;5.5;1100
619700;2009011710;6.5;1100
619700;2009011711;6.8;1100
619700;2009011712;6.4;1100
619700;2009011713;5.6;1100
619700;2009011714;5.7;1100
619700;2009011715;6.1;1100
619700;2009011716;6.5;1100
619700;2009011717;7.1;1100
619700;2009011718;6.9;1100
619700;2009011719;7.2;1100
619700;2009011720;6.9;1100
619700;2009011721;6.6;1100
619700;2009011722;6.1;1100
619700;2009011723;5.8;1100
619700;2009011800;5.4;1100
619700;2009011801;5.3;1100
619700;2009011802;5.4;1100
619700;2009011803;5.1;1100
619700;2009011804;4.6;1100
619700;2009011805;3.9;1100
619700;2009011806;3.4;1100
619700;2009011807;3.3;1100
619700;2009011808;4.2;1100
619700;2009011809;4.2;1100
619700;2009011810;4.8;1100
619700;2009011811;4.9;1100
619700;2009011812;5.5;1100
619700;2009011813;5.4;1100
619700;2009011814;6.2;1100
619700;2009011815;7.3;1100
619700;2009011816;8.2;1100
619700;2009011817;8.4;1100
619700;2009011818;7.9;1100
619700;2009011819;7.1;1100
619700;2009011820;7.4;1100
619700;2009011821;6.9;1100
619700;2009011822;7.1;1100
619700;2009011823;6.3;1100
619700;2009011900;5.8;1100
619700;2009011901;5.4;1100
619700;2009011902;5.2;1100
619700;2009011903;5.6;1100
619700;2009011904;6.3;1100
619700;2009011905;7;1100
619700;2009011906;6.2;1100
619700;2009011907;6;1100
619700;2009011908;4.9;1100
619700;2009011909;4.3;1100
619700;2009011910;5.7;1100
619700;2009011911;5.1;1100
619700;2009011912;4.9;1100
619700;2009011913;5.4;1100
619700;2009011914;4.7;1100
