statid;timeobs (UTC);vandtemperatur (°C);label
20303;2009010100;2.1;1100
20303;2009010101;1.9;1100
20303;2009010102;1.9;1100
20303;2009010103;1.9;1100
20303;2009010104;2;1100
20303;2009010105;2.3;1100
20303;2009010106;2.4;1100
20303;2009010107;2.4;1100
20303;2009010108;2.5;1100
20303;2009010109;2.9;1100
20303;2009010110;3.8;1100
20303;2009010111;4.1;1100
20303;2009010112;3;1100
20303;2009010113;2.1;1100
20303;2009010114;1.8;1100
20303;2009010115;1.8;1100
20303;2009010116;1.8;1100
20303;2009010117;1.8;1100
20303;2009010118;2;1100
20303;2009010119;2.4;1100
20303;2009010120;2.6;1100
20303;2009010121;3.3;1100
20303;2009010122;4.2;1100
20303;2009010123;4.4;1100
20303;2009010200;2.9;1100
20303;2009010201;1.9;1100
20303;2009010202;1.8;1100
20303;2009010203;1.7;1100
20303;2009010204;1.8;1100
20303;2009010205;2;1100
20303;2009010206;2.1;1100
20303;2009010207;2.2;1100
20303;2009010208;2.4;1100
20303;2009010209;2.6;1100
20303;2009010210;3.6;1100
20303;2009010211;4.4;1100
20303;2009010212;4.2;1100
20303;2009010213;1.9;1100
20303;2009010214;1.6;1100
20303;2009010215;1.5;1100
20303;2009010216;1.4;1100
20303;2009010217;1.4;1100
20303;2009010218;1.5;1100
20303;2009010219;1.9;1100
20303;2009010220;2.1;1100
20303;2009010221;2.5;1100
20303;2009010222;3.5;1100
20303;2009010223;4.2;1100
20303;2009010300;4;1100
20303;2009010301;1.7;1100
20303;2009010302;1.5;1100
20303;2009010303;1.3;1100
20303;2009010304;1.3;1100
20303;2009010305;1.4;1100
20303;2009010306;1.4;1100
20303;2009010307;1.6;1100
20303;2009010308;1.8;1100
20303;2009010309;2;1100
20303;2009010310;2.1;1100
20303;2009010311;2.7;1100
20303;2009010312;3.1;1100
20303;2009010313;2.7;1100
20303;2009010314;1.6;1100
20303;2009010315;1.4;1100
20303;2009010316;1.5;1100
20303;2009010317;1.6;1100
20303;2009010318;1.7;1100
20303;2009010319;1.9;1100
20303;2009010320;1.9;1100
20303;2009010321;2.1;1100
20303;2009010322;2.3;1100
20303;2009010323;2.8;1100
20303;2009010400;3.3;1100
20303;2009010401;2.9;1100
20303;2009010402;1.8;1100
20303;2009010403;1.6;1100
20303;2009010404;1.6;1100
20303;2009010405;1.7;1100
20303;2009010406;1.7;1100
20303;2009010407;1.9;1100
20303;2009010408;1.9;1100
20303;2009010409;1.9;1100
20303;2009010410;2.1;1100
20303;2009010411;2.4;1100
20303;2009010412;2.9;1100
20303;2009010413;3;1100
20303;2009010414;2.8;1100
20303;2009010415;2;1100
20303;2009010416;1.9;1100
20303;2009010417;1.8;1100
20303;2009010418;1.9;1100
20303;2009010419;2;1100
20303;2009010420;2.2;1100
20303;2009010421;2.3;1100
20303;2009010422;2.8;1100
20303;2009010423;3.4;1100
20303;2009010500;3.9;1100
20303;2009010501;3.9;1100
20303;2009010502;3.2;1100
20303;2009010503;1.5;1100
20303;2009010504;1.4;1100
20303;2009010505;1.4;1100
20303;2009010506;1.4;1100
20303;2009010507;1.4;1100
20303;2009010508;1.7;1100
20303;2009010509;2;1100
20303;2009010510;2;1100
20303;2009010511;3;1100
20303;2009010512;3.9;1100
20303;2009010513;4.2;1100
20303;2009010514;4.2;1100
20303;2009010515;1.6;1100
20303;2009010516;1.1;1100
20303;2009010517;1;1100
20303;2009010518;1;1100
20303;2009010519;1.3;1100
20303;2009010520;1.4;1100
20303;2009010521;1.6;1100
20303;2009010522;1.6;1100
20303;2009010523;1.8;1100
20303;2009010600;3;1100
20303;2009010601;4.2;1100
20303;2009010602;4.2;1100
20303;2009010603;1.9;1100
20303;2009010604;0.6;1100
20303;2009010605;0.6;1100
20303;2009010606;0.6;1100
20303;2009010607;0.6;1100
20303;2009010608;0.7;1100
20303;2009010609;1;1100
20303;2009010610;1.1;1100
20303;2009010611;1;1100
20303;2009010612;1.6;1100
20303;2009010613;2.7;1100
20303;2009010614;3.6;1100
20303;2009010615;3.4;1100
20303;2009010616;1.9;1100
20303;2009010617;0.9;1100
20303;2009010618;0.8;1100
20303;2009010619;1.2;1100
20303;2009010620;1.2;1100
20303;2009010621;1.1;1100
20303;2009010622;1.1;1100
20303;2009010623;1.1;1100
20303;2009010700;1.3;1100
20303;2009010701;1.5;1100
20303;2009010702;2.6;1100
20303;2009010703;3;1100
20303;2009010704;2.5;1100
20303;2009010705;1.1;1100
20303;2009010706;0.9;1100
20303;2009010707;0.8;1100
20303;2009010708;1;1100
20303;2009010709;1.1;1100
20303;2009010710;1.2;1100
20303;2009010711;1.3;1100
20303;2009010712;1.4;1100
20303;2009010713;1.8;1100
20303;2009010714;2.7;1100
20303;2009010715;3.1;1100
20303;2009010716;3.2;1100
20303;2009010717;3;1100
20303;2009010718;1.3;1100
20303;2009010719;0.9;1100
20303;2009010720;0.9;1100
20303;2009010721;0.8;1100
20303;2009010722;0.8;1100
20303;2009010723;1;1100
20303;2009010800;1.5;1100
20303;2009010801;1.9;1100
20303;2009010802;2.7;1100
20303;2009010803;3.3;1100
20303;2009010804;3.5;1100
20303;2009010805;3.5;1100
20303;2009010806;0.9;1100
20303;2009010807;0.5;1100
20303;2009010808;0.4;1100
20303;2009010809;0.4;1100
20303;2009010810;0.6;1100
20303;2009010811;0.7;1100
20303;2009010812;0.8;1100
20303;2009010813;1.1;1100
20303;2009010814;2.6;1100
20303;2009010815;2.8;1100
20303;2009010816;2.8;1100
20303;2009010817;2.8;1100
20303;2009010818;2.8;1100
20303;2009010819;1.2;1100
20303;2009010820;0.9;1100
20303;2009010821;0.8;1100
20303;2009010822;0.9;1100
20303;2009010823;1;1100
20303;2009010900;1.2;1100
20303;2009010901;1.2;1100
20303;2009010902;1.4;1100
20303;2009010903;1.7;1100
20303;2009010904;2.8;1100
20303;2009010905;2.9;1100
20303;2009010906;2.9;1100
20303;2009010907;2.4;1100
20303;2009010908;1.1;1100
20303;2009010909;1;1100
20303;2009010910;1;1100
20303;2009010911;1.1;1100
20303;2009010912;1.3;1100
20303;2009010913;1.3;1100
20303;2009010914;1.4;1100
20303;2009010915;1.6;1100
20303;2009010916;2.5;1100
20303;2009010917;2.9;1100
20303;2009010918;2.9;1100
20303;2009010919;2.9;1100
20303;2009010920;1.7;1100
20303;2009010921;1.3;1100
20303;2009010922;1.2;1100
20303;2009010923;1.3;1100
20303;2009011000;1.4;1100
20303;2009011001;1.6;1100
20303;2009011002;1.6;1100
20303;2009011003;1.7;1100
20303;2009011004;2;1100
20303;2009011005;2.8;1100
20303;2009011006;3;1100
20303;2009011007;3;1100
20303;2009011008;2.9;1100
20303;2009011009;2.5;1100
20303;2009011010;1.6;1100
20303;2009011011;1.4;1100
20303;2009011012;1.6;1100
20303;2009011013;1.6;1100
20303;2009011014;1.5;1100
20303;2009011015;1.8;1100
20303;2009011016;2.5;1100
20303;2009011017;2.6;1100
20303;2009011018;2.7;1100
20303;2009011019;2.7;1100
20303;2009011020;2.7;1100
20303;2009011021;2.6;1100
20303;2009011022;1.9;1100
20303;2009011023;1.6;1100
20303;2009011100;1.8;1100
20303;2009011101;1.8;1100
20303;2009011102;1.8;1100
20303;2009011103;1.8;1100
20303;2009011104;1.9;1100
20303;2009011105;2.6;1100
20303;2009011106;2.7;1100
20303;2009011107;2.8;1100
20303;2009011108;2.6;1100
20303;2009011109;2.5;1100
20303;2009011110;2.3;1100
20303;2009011111;2.4;1100
20303;2009011112;2.4;1100
20303;2009011113;2.4;1100
20303;2009011114;2.3;1100
20303;2009011115;2.2;1100
20303;2009011116;1.9;1100
20303;2009011117;1.8;1100
20303;2009011118;1.9;1100
20303;2009011119;2.2;1100
20303;2009011120;2.1;1100
20303;2009011121;2.2;1100
20303;2009011122;2.2;1100
20303;2009011123;2.2;1100
20303;2009011200;2.1;1100
20303;2009011201;2.2;1100
20303;2009011202;2.1;1100
20303;2009011203;2.2;1100
20303;2009011204;2.2;1100
20303;2009011205;2.1;1100
20303;2009011206;2.2;1100
20303;2009011207;2.3;1100
20303;2009011208;2;1100
20303;2009011209;2;1100
20303;2009011210;2;1100
20303;2009011211;2.1;1100
20303;2009011212;2.1;1100
20303;2009011213;2.1;1100
20303;2009011214;2.1;1100
20303;2009011215;2.1;1100
20303;2009011216;2.1;1100
20303;2009011217;2.1;1100
20303;2009011218;2.1;1100
20303;2009011219;2.2;1100
20303;2009011220;2.2;1100
20303;2009011221;2.2;1100
20303;2009011222;2.3;1100
20303;2009011223;2.3;1100
20303;2009011300;2.3;1100
20303;2009011301;2.3;1100
20303;2009011302;2.3;1100
20303;2009011303;2.3;1100
20303;2009011304;2.3;1100
20303;2009011305;2.3;1100
20303;2009011306;2.3;1100
20303;2009011307;2.4;1100
20303;2009011308;2.4;1100
20303;2009011309;2.4;1100
20303;2009011310;2.5;1100
20303;2009011311;2.5;1100
20303;2009011312;2.4;1100
20303;2009011313;2.5;1100
20303;2009011314;2.5;1100
20303;2009011315;2.5;1100
20303;2009011316;2.6;1100
20303;2009011317;2.5;1100
