statid;timeobs;Diffuse_irradiance_mean_[W/m^2];Quality_label
618800;2009010100;0;1000
618800;2009010101;0;1000
618800;2009010102;0;1000
618800;2009010103;0;1000
618800;2009010104;0;1000
618800;2009010105;0;1000
618800;2009010106;0;1000
618800;2009010107;0;1000
618800;2009010108;4;1000
618800;2009010109;36.3;1000
618800;2009010110;41.5;1000
618800;2009010111;85.8;1000
618800;2009010112;74.9;1000
618800;2009010113;61.7;1000
618800;2009010114;44.3;1000
618800;2009010115;12;1000
618800;2009010116;1;1000
618800;2009010117;0;1000
618800;2009010118;0;1000
618800;2009010119;0;1000
618800;2009010120;0;1000
618800;2009010121;0;1000
618800;2009010122;0;1000
618800;2009010123;0;1000
618800;2009010200;0;1000
618800;2009010201;0;1000
618800;2009010202;0;1000
618800;2009010203;0;1000
618800;2009010204;0;1000
618800;2009010205;0;1000
618800;2009010206;0;1000
618800;2009010207;0;1000
618800;2009010208;5;1000
618800;2009010209;27.1;1000
618800;2009010210;40.6;1000
618800;2009010211;57.5;1000
618800;2009010212;87.3;1000
618800;2009010213;58.3;1000
618800;2009010214;43.4;1000
618800;2009010215;7.8;1000
618800;2009010216;1;1000
618800;2009010217;0;1000
618800;2009010218;0;1000
618800;2009010219;0;1000
618800;2009010220;0;1000
618800;2009010221;0;1000
618800;2009010222;0;1000
618800;2009010223;0;1000
618800;2009010300;0;1000
618800;2009010301;0;1000
618800;2009010302;0;1000
618800;2009010303;0;1000
618800;2009010304;0;1000
618800;2009010305;0;1000
618800;2009010306;0;1000
618800;2009010307;0;1000
618800;2009010308;1.8;1000
618800;2009010309;11;1000
618800;2009010310;34;1000
618800;2009010311;34;1000
618800;2009010312;19;1000
618800;2009010313;12;1000
618800;2009010314;9;1000
618800;2009010315;3;1000
618800;2009010316;0;1000
618800;2009010317;0;1000
618800;2009010318;0;1000
618800;2009010319;0;1000
618800;2009010320;0;1000
618800;2009010321;0;1000
618800;2009010322;0;1000
618800;2009010323;0;1000
618800;2009010400;0;1000
618800;2009010401;0;1000
618800;2009010402;0;1000
618800;2009010403;0;1000
618800;2009010404;0;1000
618800;2009010405;0;1000
618800;2009010406;0;1000
618800;2009010407;0;1000
618800;2009010408;1;1000
618800;2009010409;16;1000
618800;2009010410;47.4;1000
618800;2009010411;69.9;1000
618800;2009010412;67.2;1000
618800;2009010413;58.5;1000
618800;2009010414;36.6;1000
618800;2009010415;8.5;1000
618800;2009010416;0;1000
