 statid;timeobs;Diffuse_illuminance_mean_[lx];Quality_label
610900;2009010902;     0;1000
610900;2009010903;     0;1000
610900;2009010904;     0;1000
610900;2009010905;     0;1000
610900;2009010906;     0;1000
610900;2009010907;     0;1000
610900;2009010908;    84;1000
610900;2009010909;  2266;1000
610900;2009010910;  7658;1000
610900;2009010911;  9213;1000
610900;2009010912; 10831;1000
610900;2009010913;  7483;1000
610900;2009010914;  4619;1000
610900;2009010915;  1799;1000
610900;2009010916;    86;1000
610900;2009010917;     0;1000
610900;2009010918;     0;1000
610900;2009010919;     0;1000
610900;2009010920;     0;1000
610900;2009010921;     0;1000
610900;2009010922;     0;1000
610900;2009010923;     0;1000
610900;2009011000;     0;1000
610900;2009011001;     0;1000
610900;2009011002;     0;1000
610900;2009011003;     0;1000
610900;2009011004;     0;1000
610900;2009011005;     0;1000
610900;2009011006;     0;1000
610900;2009011007;     0;1000
610900;2009011008;     0;1000
610900;2009011009;   323;1000
610900;2009011010;  1680;1000
610900;2009011011;  1669;1000
610900;2009011012;  1696;1000
610900;2009011013;  2376;1000
610900;2009011014;  2256;1000
610900;2009011015;  1153;1000
610900;2009011016;     0;1000
610900;2009011017;     0;1000
610900;2009011018;     0;1000
610900;2009011019;     0;1000
610900;2009011020;     0;1000
610900;2009011021;     0;1000
610900;2009011022;     0;1000
610900;2009011023;     0;1000
610900;2009011100;     0;1000
610900;2009011101;     0;1000
610900;2009011102;     0;1000
610900;2009011103;     0;1000
610900;2009011104;     0;1000
610900;2009011105;     0;1000
610900;2009011106;     0;1000
610900;2009011107;     0;1000
610900;2009011108;     0;1000
610900;2009011109;   609;1000
610900;2009011110;  2058;1000
610900;2009011111;  6740;1000
610900;2009011112; 10122;1000
610900;2009011113;  8255;1000
610900;2009011114;  5775;1000
610900;2009011115;  2661;1000
610900;2009011116;   200;1000
610900;2009011117;     0;1000
610900;2009011118;     0;1000
610900;2009011119;     0;1000
610900;2009011120;     0;1000
610900;2009011121;     0;1000
610900;2009011122;     0;1000
610900;2009011123;     0;1000
610900;2009011200;     0;1000
610900;2009011201;     0;1000
610900;2009011202;     0;1000
610900;2009011203;     0;1000
610900;2009011204;     0;1000
610900;2009011205;     0;1000
610900;2009011206;     0;1000
610900;2009011207;     0;1000
610900;2009011208;    85;1000
610900;2009011209;  2360;1000
610900;2009011210;  8589;1000
610900;2009011211;  5970;1000
610900;2009011212;  2902;1000
610900;2009011213;  1568;1000
610900;2009011214;   895;1000
610900;2009011215;   226;1000
610900;2009011216;     0;1000
610900;2009011217;     0;1000
610900;2009011218;     0;1000
610900;2009011219;     0;1000
610900;2009011220;     0;1000
610900;2009011221;     0;1000
610900;2009011222;     0;1000
610900;2009011223;     0;1000
610900;2009011300;     0;1000
610900;2009011301;     0;1000
610900;2009011302;     0;1000
610900;2009011303;     0;1000
610900;2009011304;     0;1000
610900;2009011305;     0;1000
610900;2009011306;     0;1000
610900;2009011307;     0;1000
610900;2009011308;     0;1000
610900;2009011309;   326;1000
610900;2009011310;   895;1000
610900;2009011311;  1470;1000
610900;2009011312;  1911;1000
610900;2009011313;  1886;1000
610900;2009011314;  1106;1000
610900;2009011315;   528;1000
610900;2009011316;     0;1000
610900;2009011317;     0;1000
610900;2009011318;     0;1000
610900;2009011319;     0;1000
610900;2009011320;     0;1000
610900;2009011321;     0;1000
610900;2009011322;     0;1000
610900;2009011323;     0;1000
610900;2009011400;     0;1000
610900;2009011401;     0;1000
610900;2009011402;     0;1000
610900;2009011403;     0;1000
610900;2009011404;     0;1000
610900;2009011405;     0;1000
610900;2009011406;     0;1000
610900;2009011407;     0;1000
610900;2009011408;     0;1000
610900;2009011409;  1157;1000
610900;2009011410;  3636;1000
610900;2009011411;  4314;1000
610900;2009011412;  7846;1000
610900;2009011413;  7987;1000
610900;2009011414;  4859;1000
610900;2009011415;  1702;1000
610900;2009011416;    93;1000
610900;2009011417;     0;1000
610900;2009011418;     0;1000
610900;2009011419;     0;1000
610900;2009011420;     0;1000
610900;2009011421;     0;1000
610900;2009011422;     0;1000
610900;2009011423;     0;1000
610900;2009011500;     0;1000
610900;2009011501;     0;1000
610900;2009011502;     0;1000
610900;2009011503;     0;1000
610900;2009011504;     0;1000
610900;2009011505;     0;1000
610900;2009011506;     0;1000
610900;2009011507;     0;1000
610900;2009011508;    89;1000
610900;2009011509;  2054;1000
610900;2009011510;  5244;1000
610900;2009011511;  7297;1000
610900;2009011512;  4691;1000
610900;2009011513;  5001;1000
610900;2009011514;  3956;1000
610900;2009011515;  1277;1000
610900;2009011516;     0;1000
610900;2009011517;     0;1000
610900;2009011518;     0;1000
610900;2009011519;     0;1000
610900;2009011520;     0;1000
610900;2009011521;     0;1000
610900;2009011522;     0;1000
610900;2009011523;     0;1000
610900;2009011600;     0;1000
610900;2009011601;     0;1000
610900;2009011602;     0;1000
610900;2009011603;     0;1000
610900;2009011604;     0;1000
610900;2009011605;     0;1000
610900;2009011606;     0;1000
610900;2009011607;     0;1000
610900;2009011608;     0;1000
610900;2009011609;   897;1000
610900;2009011610;  3021;1000
610900;2009011611;  4144;1000
610900;2009011612;  8229;1000
610900;2009011613;  8095;1000
610900;2009011614;  4746;1000
610900;2009011615;  1979;1000
610900;2009011616;   179;1000
610900;2009011617;     0;1000
610900;2009011618;     0;1000
610900;2009011619;     0;1000
610900;2009011620;     0;1000
610900;2009011621;     0;1000
610900;2009011622;     0;1000
610900;2009011623;     0;1000
610900;2009011700;     0;1000
610900;2009011701;     0;1000
610900;2009011702;     0;1000
610900;2009011703;     0;1000
610900;2009011704;     0;1000
610900;2009011705;     0;1000
610900;2009011706;     0;1000
610900;2009011707;     0;1000
610900;2009011708;     0;1000
610900;2009011709;   993;1000
610900;2009011710;  2380;1000
610900;2009011711;  2902;1000
610900;2009011712;  3050;1000
610900;2009011713;  2516;1000
610900;2009011714;  1626;1000
610900;2009011715;   540;1000
610900;2009011716;     0;1000
610900;2009011717;     0;1000
610900;2009011718;     0;1000
610900;2009011719;     0;1000
610900;2009011720;     0;1000
610900;2009011721;     0;1000
610900;2009011722;     0;1000
610900;2009011723;     0;1000
610900;2009011800;     0;1000
610900;2009011801;     0;1000
610900;2009011802;     0;1000
610900;2009011803;     0;1000
610900;2009011804;     0;1000
610900;2009011805;     0;1000
610900;2009011806;     0;1000
610900;2009011807;     0;1000
610900;2009011808;     0;1000
610900;2009011809;   529;1000
610900;2009011810;  1415;1000
610900;2009011811;  1799;1000
610900;2009011812;  1295;1000
610900;2009011813;   954;1000
610900;2009011814;   370;1000
610900;2009011815;   234;1000
610900;2009011816;     0;1000
610900;2009011817;     0;1000
610900;2009011818;     0;1000
610900;2009011819;     0;1000
610900;2009011820;     0;1000
610900;2009011821;     0;1000
610900;2009011822;     0;1000
610900;2009011823;     0;1000
610900;2009011900;     0;1000
610900;2009011901;     0;1000
610900;2009011902;     0;1000
610900;2009011903;     0;1000
610900;2009011904;     0;1000
610900;2009011905;     0;1000
610900;2009011906;     0;1000
610900;2009011907;     0;1000
610900;2009011908;     0;1000
610900;2009011909;   334;1000
610900;2009011910;  1118;1000
610900;2009011911;  2117;1000
610900;2009011912;  3071;1000
610900;2009011913;  2636;1000
610900;2009011914;  3466;1000
610900;2009011915;  2106;1000
610900;2009011916;   186;1000
610900;2009011917;     0;1000
610900;2009011918;     0;1000
610900;2009011919;     0;1000
610900;2009011920;     0;1000
610900;2009011921;     0;1000
610900;2009011922;     0;1000
610900;2009011923;     0;1000
610900;2009012000;     0;1000
610900;2009012001;     0;1000
610900;2009012002;     0;1000
610900;2009012003;     0;1000
610900;2009012004;     0;1000
610900;2009012005;     0;1000
610900;2009012006;     0;1000
610900;2009012007;     0;1000
610900;2009012008;   175;1000
610900;2009012009;  3659;1000
610900;2009012010;  8461;1000
610900;2009012011;  9311;1000
610900;2009012012;  6150;1000
610900;2009012013;  3140;1000
610900;2009012014;  2140;1000
610900;2009012015;  1585;1000
610900;2009012016;   101;1000
610900;2009012017;     0;1000
610900;2009012018;     0;1000
610900;2009012019;     0;1000
610900;2009012020;     0;1000
610900;2009012021;     0;1000
610900;2009012022;     0;1000
610900;2009012023;     0;1000
610900;2009012100;     0;1000
610900;2009012101;     0;1000
610900;2009012102;     0;1000
610900;2009012103;     0;1000
610900;2009012104;     0;1000
610900;2009012105;     0;1000
610900;2009012106;     0;1000
610900;2009012107;     0;1000
610900;2009012108;   470;1000
610900;2009012109;  2267;1000
610900;2009012110;  2980;1000
610900;2009012111;  5343;1000
610900;2009012112;  6361;1000
610900;2009012113;  9158;1000
610900;2009012114;  9265;1000
610900;2009012115;  3958;1000
610900;2009012116;   357;1000
610900;2009012117;     0;1000
610900;2009012118;     0;1000
610900;2009012119;     0;1000
610900;2009012120;     0;1000
610900;2009012121;     0;1000
610900;2009012122;     0;1000
610900;2009012123;     0;1000
610900;2009012200;     0;1000
610900;2009012201;     0;1000
610900;2009012202;     0;1000
610900;2009012203;     0;1000
610900;2009012204;     0;1000
610900;2009012205;     0;1000
610900;2009012206;     0;1000
610900;2009012207;     0;1000
610900;2009012208;   179;1000
610900;2009012209;  4261;1000
610900;2009012210;  8320;1000
610900;2009012211; 10681;1000
610900;2009012212; 11978;1000
610900;2009012213;  9674;1000
610900;2009012214;  7161;1000
610900;2009012215;  2954;1000
610900;2009012216;   193;1000
610900;2009012217;     0;1000
610900;2009012218;     0;1000
610900;2009012219;     0;1000
610900;2009012220;     0;1000
610900;2009012221;     0;1000
610900;2009012222;     0;1000
610900;2009012223;     0;1000
610900;2009012300;     0;1000
610900;2009012301;     0;1000
610900;2009012302;     0;1000
610900;2009012303;     0;1000
610900;2009012304;     0;1000
610900;2009012305;     0;1000
610900;2009012306;     0;1000
610900;2009012307;     0;1000
610900;2009012308;     0;1000
610900;2009012309;   737;1000
610900;2009012310;  1640;1000
610900;2009012311;  2544;1000
610900;2009012312;  1636;1000
610900;2009012313;  1513;1000
610900;2009012314;  1038;1000
610900;2009012315;   556;1000
610900;2009012316;     0;1000
610900;2009012317;     0;1000
610900;2009012318;     0;1000
610900;2009012319;     0;1000
610900;2009012320;     0;1000
610900;2009012321;     0;1000
610900;2009012322;     0;1000
610900;2009012323;     0;1000
610900;2009012400;     0;1000
610900;2009012401;     0;1000
610900;2009012402;     0;1000
610900;2009012403;     0;1000
610900;2009012404;     0;1000
610900;2009012405;     0;1000
610900;2009012406;     0;1000
610900;2009012407;     0;1000
610900;2009012408;    98;1000
610900;2009012409;  1749;1000
610900;2009012410;  3846;1000
610900;2009012411;  5479;1000
610900;2009012412;  9151;1000
610900;2009012413;  7840;1000
610900;2009012414;  7816;1000
610900;2009012415;  4623;1000
610900;2009012416;   286;1000
610900;2009012417;     0;1000
610900;2009012418;     0;1000
610900;2009012419;     0;1000
610900;2009012420;     0;1000
610900;2009012421;     0;1000
610900;2009012422;     0;1000
610900;2009012423;     0;1000
610900;2009012500;     0;1000
610900;2009012501;     0;1000
610900;2009012502;     0;1000
610900;2009012503;     0;1000
610900;2009012504;     0;1000
610900;2009012505;     0;1000
610900;2009012506;     0;1000
610900;2009012507;     0;1000
610900;2009012508;   185;1000
610900;2009012509;  2115;1000
610900;2009012510;  4513;1000
610900;2009012511;  5508;1000
610900;2009012512;  6367;1000
610900;2009012513;  7032;1000
610900;2009012514;  4112;1000
610900;2009012515;  1540;1000
610900;2009012516;   290;1000
610900;2009012517;     0;1000
610900;2009012518;     0;1000
610900;2009012519;     0;1000
610900;2009012520;     0;1000
610900;2009012521;     0;1000
610900;2009012522;     0;1000
610900;2009012523;     0;1000
610900;2009012600;     0;1000
610900;2009012601;     0;1000
610900;2009012602;     0;1000
610900;2009012603;     0;1000
610900;2009012604;     0;1000
610900;2009012605;     0;1000
610900;2009012606;     0;1000
610900;2009012607;     0;1000
610900;2009012608;   100;1000
610900;2009012609;  1593;1000
610900;2009012610;  2940;1000
610900;2009012611;  4663;1000
610900;2009012612;  4641;1000
610900;2009012613;  4201;1000
610900;2009012614;  3466;1000
610900;2009012615;  1737;1000
610900;2009012616;   294;1000
610900;2009012617;     0;1000
610900;2009012618;     0;1000
610900;2009012619;     0;1000
610900;2009012620;     0;1000
610900;2009012621;     0;1000
610900;2009012622;     0;1000
610900;2009012623;     0;1000
610900;2009012700;     0;1000
610900;2009012701;     0;1000
610900;2009012702;     0;1000
610900;2009012703;     0;1000
610900;2009012704;     0;1000
610900;2009012705;     0;1000
610900;2009012706;     0;1000
610900;2009012707;     0;1000
610900;2009012708;   189;1000
610900;2009012709;  2139;1000
610900;2009012710;  5096;1000
610900;2009012711;  7330;1000
610900;2009012712;  7636;1000
610900;2009012713;  8094;1000
610900;2009012714;  5083;1000
610900;2009012715;  2390;1000
610900;2009012716;   472;1000
610900;2009012717;     0;1000
610900;2009012718;     0;1000
610900;2009012719;     0;1000
610900;2009012720;     0;1000
610900;2009012721;     0;1000
610900;2009012722;     0;1000
610900;2009012723;     0;1000
610900;2009012800;     0;1000
610900;2009012801;     0;1000
610900;2009012802;     0;1000
610900;2009012803;     0;1000
610900;2009012804;     0;1000
610900;2009012805;     0;1000
610900;2009012806;     0;1000
610900;2009012807;     0;1000
610900;2009012808;   102;1000
610900;2009012809;  1239;1000
610900;2009012810;  2473;1000
610900;2009012811;  4397;1000
610900;2009012812;  5942;1000
610900;2009012813;  5884;1000
