 statid;timeobs;Global_illuminance_mean[_lx];Quality_label
603100;2009011006;     0;1000
603100;2009011007;     0;1000
603100;2009011008;     0;1000
603100;2009011009;   588;1000
603100;2009011010;  1634;1000
603100;2009011011;  3344;1000
603100;2009011012;  3958;1000
603100;2009011013;  3247;1000
603100;2009011014;  2615;1000
603100;2009011015;  1006;1000
603100;2009011016;     0;1000
603100;2009011017;     0;1000
603100;2009011018;     0;1000
603100;2009011019;     0;1000
603100;2009011020;     0;1000
603100;2009011021;     0;1000
603100;2009011022;     0;1000
603100;2009011023;     0;1000
603100;2009011100;     0;1000
603100;2009011101;     0;1000
603100;2009011102;     0;1000
603100;2009011103;     0;1000
603100;2009011104;     0;1000
603100;2009011105;     0;1000
603100;2009011106;     0;1000
603100;2009011107;     0;1000
603100;2009011108;     0;1000
603100;2009011109;   314;1000
603100;2009011110;   970;1000
603100;2009011111;  2028;1000
603100;2009011112;  2159;1000
603100;2009011113;  2411;1000
603100;2009011114;  4199;1000
603100;2009011115;  2561;1000
603100;2009011116;    72;1000
603100;2009011117;     0;1000
603100;2009011118;     0;1000
603100;2009011119;     0;1000
603100;2009011120;     0;1000
603100;2009011121;     0;1000
603100;2009011122;     0;1000
603100;2009011123;     0;1000
603100;2009011200;     0;1000
603100;2009011201;     0;1000
603100;2009011202;     0;1000
603100;2009011203;     0;1000
603100;2009011204;     0;1000
603100;2009011205;     0;1000
603100;2009011206;     0;1000
603100;2009011207;     0;1000
603100;2009011208;     0;1000
603100;2009011209;   115;1000
603100;2009011210;   771;1000
603100;2009011211;  1127;1000
603100;2009011212;  1143;1000
603100;2009011213;  1430;1000
603100;2009011214;   666;1000
603100;2009011215;   313;1000
603100;2009011216;     0;1000
603100;2009011217;     0;1000
603100;2009011218;     0;1000
603100;2009011219;     0;1000
603100;2009011220;     0;1000
603100;2009011221;     0;1000
603100;2009011222;     0;1000
603100;2009011223;     0;1000
603100;2009011300;     0;1000
603100;2009011301;     0;1000
603100;2009011302;     0;1000
603100;2009011303;     0;1000
603100;2009011304;     0;1000
603100;2009011305;     0;1000
603100;2009011306;     0;1000
603100;2009011307;     0;1000
603100;2009011308;     0;1000
603100;2009011309;  1026;1000
603100;2009011310;  2995;1000
603100;2009011311;  3175;1000
603100;2009011312;  3037;1000
603100;2009011313;  2513;1000
603100;2009011314;  1827;1000
603100;2009011315;   592;1000
603100;2009011316;     0;1000
603100;2009011317;     0;1000
603100;2009011318;     0;1000
603100;2009011319;     0;1000
603100;2009011320;     0;1000
603100;2009011321;     0;1000
603100;2009011322;     0;1000
603100;2009011323;     0;1000
603100;2009011400;     0;1000
603100;2009011401;     0;1000
603100;2009011402;     0;1000
603100;2009011403;     0;1000
603100;2009011404;     0;1000
603100;2009011405;     0;1000
603100;2009011406;     0;1000
603100;2009011407;     0;1000
603100;2009011408;     0;1000
603100;2009011409;  1577;1000
603100;2009011410;  2565;1000
603100;2009011411;  7353;1000
603100;2009011412;  9123;1000
603100;2009011413;  7048;1000
603100;2009011414;  5006;1000
603100;2009011415;  2192;1000
603100;2009011416;    81;1000
603100;2009011417;     0;1000
603100;2009011418;     0;1000
603100;2009011419;     0;1000
603100;2009011420;     0;1000
603100;2009011421;     0;1000
603100;2009011422;     0;1000
603100;2009011423;     0;1000
603100;2009011500;     0;1000
603100;2009011501;     0;1000
603100;2009011502;     0;1000
603100;2009011503;     0;1000
603100;2009011504;     0;1000
603100;2009011505;     0;1000
603100;2009011506;     0;1000
603100;2009011507;     0;1000
603100;2009011508;    83;1000
603100;2009011509;  3880;1000
603100;2009011510;  9612;1000
603100;2009011511; 15165;1000
603100;2009011512; 16471;1000
603100;2009011513; 15202;1000
603100;2009011514; 10786;1000
603100;2009011515;  2947;1000
603100;2009011516;    83;1000
603100;2009011517;     0;1000
603100;2009011518;     0;1000
603100;2009011519;     0;1000
603100;2009011520;     0;1000
603100;2009011521;     0;1000
603100;2009011522;     0;1000
603100;2009011523;     0;1000
603100;2009011600;     0;1000
603100;2009011601;     0;1000
603100;2009011602;     0;1000
603100;2009011603;     0;1000
603100;2009011604;     0;1000
603100;2009011605;     0;1000
603100;2009011606;     0;1000
603100;2009011607;     0;1000
603100;2009011608;     0;1000
603100;2009011609;  1128;1000
603100;2009011610;  3302;1000
603100;2009011611;  8890;1000
603100;2009011612;  7942;1000
603100;2009011613;  5327;1000
603100;2009011614;  3215;1000
603100;2009011615;  1048;1000
603100;2009011616;     0;1000
603100;2009011617;     0;1000
603100;2009011618;     0;1000
603100;2009011619;     0;1000
603100;2009011620;     0;1000
603100;2009011621;     0;1000
603100;2009011622;     0;1000
603100;2009011623;     0;1000
603100;2009011700;     0;1000
603100;2009011701;     0;1000
603100;2009011702;     0;1000
603100;2009011703;     0;1000
603100;2009011704;     0;1000
603100;2009011705;     0;1000
603100;2009011706;     0;1000
603100;2009011707;     0;1000
603100;2009011708;     0;1000
603100;2009011709;   419;1000
603100;2009011710;  1668;1000
603100;2009011711;  2254;1000
603100;2009011712;  2785;1000
603100;2009011713;  2059;1000
603100;2009011714;  1767;1000
603100;2009011715;   421;1000
603100;2009011716;     0;1000
603100;2009011717;     0;1000
603100;2009011718;     0;1000
603100;2009011719;     0;1000
603100;2009011720;     0;1000
603100;2009011721;     0;1000
603100;2009011722;     0;1000
603100;2009011723;     0;1000
603100;2009011800;     0;1000
603100;2009011801;     0;1000
603100;2009011802;     0;1000
603100;2009011803;     0;1000
603100;2009011804;     0;1000
603100;2009011805;     0;1000
603100;2009011806;     0;1000
603100;2009011807;     0;1000
603100;2009011808;    86;1000
603100;2009011809;   699;1000
603100;2009011810;  1575;1000
603100;2009011811;  2158;1000
603100;2009011812;  2689;1000
603100;2009011813;  2456;1000
603100;2009011814;  1676;1000
603100;2009011815;   423;1000
603100;2009011816;     0;1000
603100;2009011817;     0;1000
603100;2009011818;     0;1000
603100;2009011819;     0;1000
603100;2009011820;     0;1000
603100;2009011821;     0;1000
603100;2009011822;     0;1000
603100;2009011823;     0;1000
603100;2009011900;     0;1000
603100;2009011901;     0;1000
603100;2009011902;     0;1000
603100;2009011903;     0;1000
603100;2009011904;     0;1000
603100;2009011905;     0;1000
603100;2009011906;     0;1000
603100;2009011907;     0;1000
603100;2009011908;    88;1000
603100;2009011909;  1573;1000
603100;2009011910;  4313;1000
603100;2009011911;  8322;1000
603100;2009011912; 15360;1000
603100;2009011913;  6862;1000
603100;2009011914;  7290;1000
603100;2009011915;   711;1000
603100;2009011916;     0;1000
603100;2009011917;     0;1000
603100;2009011918;     0;1000
603100;2009011919;     0;1000
603100;2009011920;     0;1000
603100;2009011921;     0;1000
603100;2009011922;     0;1000
603100;2009011923;     0;1000
603100;2009012000;     0;1000
603100;2009012001;     0;1000
603100;2009012002;     0;1000
603100;2009012003;     0;1000
603100;2009012004;     0;1000
603100;2009012005;     0;1000
603100;2009012006;     0;1000
603100;2009012007;     0;1000
603100;2009012008;   166;1000
603100;2009012009;  2784;1000
603100;2009012010; 11069;1000
603100;2009012011; 17069;1000
603100;2009012012; 17816;1000
603100;2009012013;  7202;1000
603100;2009012014;  3186;1000
603100;2009012015;   527;1000
603100;2009012016;    92;1000
603100;2009012017;     0;1000
603100;2009012018;     0;1000
603100;2009012019;     0;1000
603100;2009012020;     0;1000
603100;2009012021;     0;1000
603100;2009012022;     0;1000
603100;2009012023;     0;1000
603100;2009012100;     0;1000
603100;2009012101;     0;1000
603100;2009012102;     0;1000
603100;2009012103;     0;1000
603100;2009012104;     0;1000
603100;2009012105;     0;1000
603100;2009012106;     0;1000
603100;2009012107;     0;1000
603100;2009012108;   168;1000
603100;2009012109;  3815;1000
603100;2009012110;  7177;1000
603100;2009012111;  6076;1000
603100;2009012112;  9589;1000
603100;2009012113;  8344;1000
603100;2009012114;  7917;1000
