statid;timeobs;radiation_mean(W/m^2);label
618800;2009011104;0;1100
618800;2009011105;0;1100
618800;2009011106;0;1100
618800;2009011107;0;1100
618800;2009011108;5;1100
618800;2009011109;44;1100
618800;2009011110;111;1100
618800;2009011111;132;1100
618800;2009011112;159;1100
618800;2009011113;134;1100
618800;2009011114;66;1100
618800;2009011115;24;1100
618800;2009011116;1;1100
618800;2009011117;0;1100
618800;2009011118;0;1100
618800;2009011119;0;1100
618800;2009011120;0;1100
618800;2009011121;0;1100
618800;2009011122;0;1100
618800;2009011123;0;1100
618800;2009011200;0;1100
618800;2009011201;0;1100
618800;2009011202;0;1100
618800;2009011203;0;1100
618800;2009011204;0;1100
618800;2009011205;0;1100
618800;2009011206;0;1100
618800;2009011207;0;1100
618800;2009011208;10;1100
618800;2009011209;50;1100
618800;2009011210;81;1100
618800;2009011211;89;1100
618800;2009011212;107;1100
618800;2009011213;69;1100
618800;2009011214;33;1100
618800;2009011215;7;1100
618800;2009011216;1;1100
618800;2009011217;0;1100
618800;2009011218;0;1100
618800;2009011219;0;1100
618800;2009011220;0;1100
618800;2009011221;0;1100
618800;2009011222;0;1100
618800;2009011223;0;1100
618800;2009011300;0;1100
618800;2009011301;0;1100
618800;2009011302;0;1100
618800;2009011303;0;1100
618800;2009011304;0;1100
618800;2009011305;0;1100
618800;2009011306;0;1100
618800;2009011307;0;1100
618800;2009011308;1;1100
618800;2009011309;6;1100
618800;2009011310;12;1100
618800;2009011311;18;1100
618800;2009011312;16;1100
618800;2009011313;21;1100
618800;2009011314;16;1100
618800;2009011315;6;1100
618800;2009011316;0;1100
618800;2009011317;0;1100
618800;2009011318;0;1100
618800;2009011319;0;1100
618800;2009011320;0;1100
618800;2009011321;0;1100
618800;2009011322;0;1100
618800;2009011323;0;1100
618800;2009011400;0;1100
618800;2009011401;0;1100
618800;2009011402;0;1100
618800;2009011403;0;1100
618800;2009011404;0;1100
618800;2009011405;0;1100
618800;2009011406;0;1100
618800;2009011407;0;1100
618800;2009011408;3;1100
618800;2009011409;11;1100
618800;2009011410;19;1100
618800;2009011411;23;1100
618800;2009011412;39;1100
618800;2009011413;34;1100
618800;2009011414;19;1100
618800;2009011415;8;1100
618800;2009011416;1;1100
618800;2009011417;0;1100
618800;2009011418;0;1100
618800;2009011419;0;1100
618800;2009011420;0;1100
618800;2009011421;0;1100
618800;2009011422;0;1100
618800;2009011423;0;1100
618800;2009011500;0;1100
618800;2009011501;0;1100
618800;2009011502;0;1100
618800;2009011503;0;1100
618800;2009011504;0;1100
618800;2009011505;0;1100
618800;2009011506;0;1100
618800;2009011507;0;1100
618800;2009011508;2;1100
618800;2009011509;22;1100
618800;2009011510;48;1100
618800;2009011511;67;1100
618800;2009011512;129;1100
618800;2009011513;120;1100
618800;2009011514;94;1100
618800;2009011515;41;1100
618800;2009011516;2;1100
618800;2009011517;0;1100
618800;2009011518;0;1100
618800;2009011519;0;1100
618800;2009011520;0;1100
618800;2009011521;0;1100
618800;2009011522;0;1100
618800;2009011523;0;1100
618800;2009011600;0;1100
618800;2009011601;0;1100
618800;2009011602;0;1100
618800;2009011603;0;1100
618800;2009011604;0;1100
618800;2009011605;0;1100
618800;2009011606;0;1100
618800;2009011607;0;1100
618800;2009011608;12;1100
618800;2009011609;40;1100
618800;2009011610;104;1100
618800;2009011611;144;1100
618800;2009011612;140;1100
618800;2009011613;122;1100
618800;2009011614;77;1100
618800;2009011615;27;1100
618800;2009011616;1;1100
618800;2009011617;0;1100
618800;2009011618;0;1100
618800;2009011619;0;1100
618800;2009011620;0;1100
618800;2009011621;0;1100
618800;2009011622;0;1100
618800;2009011623;0;1100
618800;2009011700;0;1100
618800;2009011701;0;1100
618800;2009011702;0;1100
618800;2009011703;0;1100
618800;2009011704;0;1100
618800;2009011705;0;1100
618800;2009011706;0;1100
618800;2009011707;0;1100
618800;2009011708;3;1100
618800;2009011709;17;1100
618800;2009011710;44;1100
618800;2009011711;94;1100
618800;2009011712;72;1100
618800;2009011713;100;1100
618800;2009011714;58;1100
618800;2009011715;25;1100
618800;2009011716;2;1100
618800;2009011717;0;1100
618800;2009011718;0;1100
618800;2009011719;0;1100
618800;2009011720;0;1100
618800;2009011721;0;1100
618800;2009011722;0;1100
618800;2009011723;0;1100
618800;2009011800;0;1100
618800;2009011801;0;1100
618800;2009011802;0;1100
618800;2009011803;0;1100
618800;2009011804;0;1100
618800;2009011805;0;1100
618800;2009011806;0;1100
618800;2009011807;0;1100
618800;2009011808;1;1100
618800;2009011809;10;1100
618800;2009011810;15;1100
618800;2009011811;21;1100
618800;2009011812;47;1100
618800;2009011813;50;1100
618800;2009011814;18;1100
618800;2009011815;5;1100
618800;2009011816;0;1100
618800;2009011817;0;1100
618800;2009011818;0;1100
618800;2009011819;0;1100
618800;2009011820;0;1100
618800;2009011821;0;1100
618800;2009011822;0;1100
618800;2009011823;0;1100
618800;2009011900;0;1100
618800;2009011901;0;1100
618800;2009011902;0;1100
618800;2009011903;0;1100
618800;2009011904;0;1100
618800;2009011905;0;1100
618800;2009011906;0;1100
618800;2009011907;0;1100
618800;2009011908;9;1100
618800;2009011909;50;1100
618800;2009011910;55;1100
618800;2009011911;47;1100
618800;2009011912;51;1100
618800;2009011913;34;1100
618800;2009011914;15;1100
618800;2009011915;8;1100
618800;2009011916;1;1100
618800;2009011917;0;1100
618800;2009011918;0;1100
618800;2009011919;0;1100
618800;2009011920;0;1100
618800;2009011921;0;1100
618800;2009011922;0;1100
618800;2009011923;0;1100
618800;2009012000;0;1100
618800;2009012001;0;1100
618800;2009012002;0;1100
618800;2009012003;0;1100
618800;2009012004;0;1100
618800;2009012005;0;1100
618800;2009012006;0;1100
618800;2009012007;0;1100
618800;2009012008;5;1100
618800;2009012009;32;1100
618800;2009012010;115;1100
618800;2009012011;173;1100
618800;2009012012;153;1100
618800;2009012013;153;1100
618800;2009012014;103;1100
618800;2009012015;50;1100
618800;2009012016;4;1100
618800;2009012017;0;1100
618800;2009012018;0;1100
618800;2009012019;0;1100
618800;2009012020;0;1100
618800;2009012021;0;1100
618800;2009012022;0;1100
618800;2009012023;0;1100
618800;2009012100;0;1100
618800;2009012101;0;1100
618800;2009012102;0;1100
618800;2009012103;0;1100
618800;2009012104;0;1100
618800;2009012105;0;1100
618800;2009012106;0;1100
618800;2009012107;0;1100
618800;2009012108;6;1100
618800;2009012109;36;1100
618800;2009012110;145;1100
618800;2009012111;211;1100
618800;2009012112;226;1100
618800;2009012113;202;1100
618800;2009012114;141;1100
618800;2009012115;60;1100
618800;2009012116;6;1100
618800;2009012117;0;1100
618800;2009012118;0;1100
618800;2009012119;0;1100
618800;2009012120;0;1100
618800;2009012121;0;1100
618800;2009012122;0;1100
618800;2009012123;0;1100
618800;2009012200;0;1100
618800;2009012201;0;1100
618800;2009012202;0;1100
618800;2009012203;0;1100
618800;2009012204;0;1100
618800;2009012205;0;1100
618800;2009012206;0;1100
618800;2009012207;0;1100
618800;2009012208;3;1100
618800;2009012209;16;1100
618800;2009012210;50;1100
618800;2009012211;137;1100
618800;2009012212;62;1100
618800;2009012213;89;1100
618800;2009012214;67;1100
618800;2009012215;15;1100
618800;2009012216;1;1100
618800;2009012217;0;1100
618800;2009012218;0;1100
618800;2009012219;0;1100
618800;2009012220;0;1100
618800;2009012221;0;1100
618800;2009012222;0;1100
618800;2009012223;0;1100
618800;2009012300;0;1100
618800;2009012301;0;1100
618800;2009012302;0;1100
618800;2009012303;0;1100
618800;2009012304;0;1100
618800;2009012305;0;1100
618800;2009012306;0;1100
618800;2009012307;0;1100
618800;2009012308;2;1100
618800;2009012309;9;1100
618800;2009012310;21;1100
618800;2009012311;38;1100
618800;2009012312;40;1100
618800;2009012313;32;1100
618800;2009012314;14;1100
618800;2009012315;5;1100
618800;2009012316;1;1100
618800;2009012317;0;1100
618800;2009012318;0;1100
618800;2009012319;0;1100
618800;2009012320;0;1100
618800;2009012321;0;1100
618800;2009012322;0;1100
618800;2009012323;0;1100
618800;2009012400;0;1100
618800;2009012401;0;1100
618800;2009012402;0;1100
618800;2009012403;0;1100
618800;2009012404;0;1100
618800;2009012405;0;1100
618800;2009012406;0;1100
618800;2009012407;0;1100
618800;2009012408;2;1100
618800;2009012409;11;1100
618800;2009012410;27;1100
618800;2009012411;48;1100
618800;2009012412;69;1100
618800;2009012413;51;1100
618800;2009012414;19;1100
618800;2009012415;9;1100
618800;2009012416;1;1100
618800;2009012417;0;1100
618800;2009012418;0;1100
618800;2009012419;0;1100
618800;2009012420;0;1100
618800;2009012421;0;1100
618800;2009012422;0;1100
618800;2009012423;0;1100
618800;2009012500;0;1100
618800;2009012501;0;1100
618800;2009012502;0;1100
618800;2009012503;0;1100
618800;2009012504;0;1100
618800;2009012505;0;1100
618800;2009012506;0;1100
618800;2009012507;0;1100
618800;2009012508;12;1100
618800;2009012509;22;1100
618800;2009012510;53;1100
618800;2009012511;73;1100
618800;2009012512;79;1100
618800;2009012513;47;1100
618800;2009012514;24;1100
618800;2009012515;16;1100
618800;2009012516;3;1100
618800;2009012517;0;1100
618800;2009012518;0;1100
618800;2009012519;0;1100
618800;2009012520;0;1100
618800;2009012521;0;1100
618800;2009012522;0;1100
618800;2009012523;0;1100
618800;2009012600;0;1100
618800;2009012601;0;1100
618800;2009012602;0;1100
618800;2009012603;0;1100
618800;2009012604;0;1100
618800;2009012605;0;1100
618800;2009012606;0;1100
618800;2009012607;0;1100
618800;2009012608;3;1100
618800;2009012609;17;1100
618800;2009012610;39;1100
618800;2009012611;45;1100
618800;2009012612;45;1100
618800;2009012613;40;1100
618800;2009012614;29;1100
618800;2009012615;14;1100
618800;2009012616;2;1100
618800;2009012617;0;1100
618800;2009012618;0;1100
618800;2009012619;0;1100
618800;2009012620;0;1100
618800;2009012621;0;1100
618800;2009012622;0;1100
618800;2009012623;0;1100
618800;2009012700;0;1100
618800;2009012701;0;1100
618800;2009012702;0;1100
618800;2009012703;0;1100
618800;2009012704;0;1100
618800;2009012705;0;1100
618800;2009012706;0;1100
618800;2009012707;0;1100
618800;2009012708;7;1100
618800;2009012709;32;1100
618800;2009012710;61;1100
618800;2009012711;65;1100
618800;2009012712;66;1100
618800;2009012713;52;1100
618800;2009012714;39;1100
618800;2009012715;19;1100
618800;2009012716;2;1100
618800;2009012717;0;1100
618800;2009012718;0;1100
618800;2009012719;0;1100
618800;2009012720;0;1100
618800;2009012721;0;1100
618800;2009012722;0;1100
618800;2009012723;0;1100
618800;2009012800;0;1100
618800;2009012801;0;1100
618800;2009012802;0;1100
618800;2009012803;0;1100
618800;2009012804;0;1100
618800;2009012805;0;1100
618800;2009012806;0;1100
618800;2009012807;0;1100
618800;2009012808;10;1100
618800;2009012809;42;1100
618800;2009012810;80;1100
618800;2009012811;83;1100
618800;2009012812;98;1100
618800;2009012813;102;1100
618800;2009012814;60;1100
618800;2009012815;18;1100
618800;2009012816;2;1100
618800;2009012817;0;1100
618800;2009012818;0;1100
618800;2009012819;0;1100
618800;2009012820;0;1100
618800;2009012821;0;1100
618800;2009012822;0;1100
618800;2009012823;0;1100
618800;2009012900;0;1100
618800;2009012901;0;1100
618800;2009012902;0;1100
618800;2009012903;0;1100
618800;2009012904;0;1100
618800;2009012905;0;1100
618800;2009012906;0;1100
618800;2009012907;0;1100
618800;2009012908;7;1100
618800;2009012909;44;1100
618800;2009012910;60;1100
618800;2009012911;83;1100
618800;2009012912;82;1100
618800;2009012913;77;1100
618800;2009012914;76;1100
618800;2009012915;43;1100
618800;2009012916;7;1100
618800;2009012917;0;1100
618800;2009012918;0;1100
618800;2009012919;0;1100
618800;2009012920;0;1100
618800;2009012921;0;1100
618800;2009012922;0;1100
618800;2009012923;0;1100
618800;2009013000;0;1100
618800;2009013001;0;1100
618800;2009013002;0;1100
618800;2009013003;0;1100
618800;2009013004;0;1100
618800;2009013005;0;1100
618800;2009013006;0;1100
618800;2009013007;0;1100
618800;2009013008;3;1100
618800;2009013009;15;1100
618800;2009013010;23;1100
618800;2009013011;30;1100
618800;2009013012;33;1100
618800;2009013013;26;1100
618800;2009013014;16;1100
618800;2009013015;8;1100
618800;2009013016;1;1100
618800;2009013017;0;1100
618800;2009013018;0;1100
618800;2009013019;0;1100
618800;2009013020;0;1100
618800;2009013021;0;1100
618800;2009013022;0;1100
618800;2009013023;0;1100
618800;2009013100;0;1100
618800;2009013101;0;1100
618800;2009013102;0;1100
618800;2009013103;0;1100
