statid;timeobs;Top_of_atmosphere_horizontal_irradiance_mean_[W/m^2];Quality_label
618800;2009010100;   0.0;1000
618800;2009010101;   0.0;1000
618800;2009010102;   0.0;1000
618800;2009010103;   0.0;1000
618800;2009010104;   0.0;1000
618800;2009010105;   0.0;1000
618800;2009010106;   0.0;1000
618800;2009010107;   0.0;1000
618800;2009010108;  14.8;1000
618800;2009010109; 113.6;1000
618800;2009010110; 208.3;1000
618800;2009010111; 266.0;1000
618800;2009010112; 277.6;1000
618800;2009010113; 241.6;1000
618800;2009010114; 162.7;1000
618800;2009010115;  56.4;1000
618800;2009010116;   0.0;1000
618800;2009010117;   0.0;1000
618800;2009010118;   0.0;1000
618800;2009010119;   0.0;1000
618800;2009010120;   0.0;1000
618800;2009010121;   0.0;1000
618800;2009010122;   0.0;1000
618800;2009010123;   0.0;1000
618800;2009010200;   0.0;1000
618800;2009010201;   0.0;1000
618800;2009010202;   0.0;1000
618800;2009010203;   0.0;1000
618800;2009010204;   0.0;1000
618800;2009010205;   0.0;1000
618800;2009010206;   0.0;1000
618800;2009010207;   0.0;1000
618800;2009010208;  14.9;1000
618800;2009010209; 114.5;1000
618800;2009010210; 209.6;1000
618800;2009010211; 267.8;1000
618800;2009010212; 279.7;1000
618800;2009010213; 244.1;1000
618800;2009010214; 165.4;1000
618800;2009010215;  58.7;1000
618800;2009010216;   0.0;1000
618800;2009010217;   0.0;1000
618800;2009010218;   0.0;1000
618800;2009010219;   0.0;1000
618800;2009010220;   0.0;1000
618800;2009010221;   0.0;1000
618800;2009010222;   0.0;1000
618800;2009010223;   0.0;1000
618800;2009010300;   0.0;1000
618800;2009010301;   0.0;1000
618800;2009010302;   0.0;1000
618800;2009010303;   0.0;1000
618800;2009010304;   0.0;1000
618800;2009010305;   0.0;1000
618800;2009010306;   0.0;1000
618800;2009010307;   0.0;1000
618800;2009010308;  15.1;1000
618800;2009010309; 115.4;1000
618800;2009010310; 211.1;1000
618800;2009010311; 269.7;1000
618800;2009010312; 282.0;1000
618800;2009010313; 246.7;1000
618800;2009010314; 168.1;1000
618800;2009010315;  61.1;1000
618800;2009010316;   0.0;1000
618800;2009010317;   0.0;1000
618800;2009010318;   0.0;1000
618800;2009010319;   0.0;1000
618800;2009010320;   0.0;1000
618800;2009010321;   0.0;1000
618800;2009010322;   0.0;1000
618800;2009010323;   0.0;1000
618800;2009010400;   0.0;1000
618800;2009010401;   0.0;1000
618800;2009010402;   0.0;1000
618800;2009010403;   0.0;1000
618800;2009010404;   0.0;1000
618800;2009010405;   0.0;1000
618800;2009010406;   0.0;1000
618800;2009010407;   0.0;1000
618800;2009010408;  15.9;1000
618800;2009010409; 116.6;1000
618800;2009010410; 212.8;1000
618800;2009010411; 271.8;1000
618800;2009010412; 284.5;1000
618800;2009010413; 249.5;1000
618800;2009010414; 171.1;1000
618800;2009010415;  63.7;1000
618800;2009010416;   0.0;1000
618800;2009010417;   0.0;1000
618800;2009010418;   0.0;1000
618800;2009010419;   0.0;1000
618800;2009010420;   0.0;1000
618800;2009010421;   0.0;1000
618800;2009010422;   0.0;1000
618800;2009010423;   0.0;1000
618800;2009010500;   0.0;1000
618800;2009010501;   0.0;1000
618800;2009010502;   0.0;1000
618800;2009010503;   0.0;1000
618800;2009010504;   0.0;1000
618800;2009010505;   0.0;1000
618800;2009010506;   0.0;1000
618800;2009010507;   0.0;1000
618800;2009010508;  16.1;1000
618800;2009010509; 117.9;1000
618800;2009010510; 214.6;1000
618800;2009010511; 274.0;1000
618800;2009010512; 287.1;1000
618800;2009010513; 252.4;1000
618800;2009010514; 174.1;1000
618800;2009010515;  67.1;1000
618800;2009010516;   0.0;1000
618800;2009010517;   0.0;1000
618800;2009010518;   0.0;1000
618800;2009010519;   0.0;1000
618800;2009010520;   0.0;1000
618800;2009010521;   0.0;1000
618800;2009010522;   0.0;1000
618800;2009010523;   0.0;1000
618800;2009010600;   0.0;1000
618800;2009010601;   0.0;1000
618800;2009010602;   0.0;1000
618800;2009010603;   0.0;1000
618800;2009010604;   0.0;1000
618800;2009010605;   0.0;1000
618800;2009010606;   0.0;1000
618800;2009010607;   0.0;1000
618800;2009010608;  17.0;1000
618800;2009010609; 119.4;1000
618800;2009010610; 216.6;1000
618800;2009010611; 276.4;1000
618800;2009010612; 289.9;1000
618800;2009010613; 255.6;1000
618800;2009010614; 177.4;1000
618800;2009010615;  70.1;1000
618800;2009010616;   0.0;1000
618800;2009010617;   0.0;1000
618800;2009010618;   0.0;1000
618800;2009010619;   0.0;1000
618800;2009010620;   0.0;1000
618800;2009010621;   0.0;1000
618800;2009010622;   0.0;1000
618800;2009010623;   0.0;1000
618800;2009010700;   0.0;1000
618800;2009010701;   0.0;1000
618800;2009010702;   0.0;1000
618800;2009010703;   0.0;1000
618800;2009010704;   0.0;1000
618800;2009010705;   0.0;1000
618800;2009010706;   0.0;1000
618800;2009010707;   0.0;1000
618800;2009010708;  17.3;1000
618800;2009010709; 121.0;1000
618800;2009010710; 218.7;1000
618800;2009010711; 279.0;1000
618800;2009010712; 292.9;1000
618800;2009010713; 258.8;1000
618800;2009010714; 180.8;1000
618800;2009010715;  73.8;1000
618800;2009010716;   0.0;1000
618800;2009010717;   0.0;1000
618800;2009010718;   0.0;1000
618800;2009010719;   0.0;1000
618800;2009010720;   0.0;1000
618800;2009010721;   0.0;1000
618800;2009010722;   0.0;1000
618800;2009010723;   0.0;1000
618800;2009010800;   0.0;1000
618800;2009010801;   0.0;1000
618800;2009010802;   0.0;1000
618800;2009010803;   0.0;1000
618800;2009010804;   0.0;1000
618800;2009010805;   0.0;1000
618800;2009010806;   0.0;1000
618800;2009010807;   0.0;1000
618800;2009010808;  18.3;1000
618800;2009010809; 122.8;1000
618800;2009010810; 221.1;1000
618800;2009010811; 281.8;1000
618800;2009010812; 296.0;1000
618800;2009010813; 262.2;1000
618800;2009010814; 184.3;1000
618800;2009010815;  77.1;1000
618800;2009010816;   0.0;1000
618800;2009010817;   0.0;1000
618800;2009010818;   0.0;1000
618800;2009010819;   0.0;1000
618800;2009010820;   0.0;1000
618800;2009010821;   0.0;1000
618800;2009010822;   0.0;1000
618800;2009010823;   0.0;1000
618800;2009010900;   0.0;1000
618800;2009010901;   0.0;1000
618800;2009010902;   0.0;1000
618800;2009010903;   0.0;1000
618800;2009010904;   0.0;1000
618800;2009010905;   0.0;1000
618800;2009010906;   0.0;1000
618800;2009010907;   0.0;1000
618800;2009010908;  19.3;1000
618800;2009010909; 124.7;1000
618800;2009010910; 223.6;1000
618800;2009010911; 284.7;1000
618800;2009010912; 299.3;1000
618800;2009010913; 265.8;1000
618800;2009010914; 188.0;1000
618800;2009010915;  81.2;1000
618800;2009010916;   0.0;1000
618800;2009010917;   0.0;1000
618800;2009010918;   0.0;1000
618800;2009010919;   0.0;1000
618800;2009010920;   0.0;1000
618800;2009010921;   0.0;1000
618800;2009010922;   0.0;1000
618800;2009010923;   0.0;1000
618800;2009011000;   0.0;1000
618800;2009011001;   0.0;1000
618800;2009011002;   0.0;1000
618800;2009011003;   0.0;1000
618800;2009011004;   0.0;1000
618800;2009011005;   0.0;1000
618800;2009011006;   0.0;1000
618800;2009011007;   0.0;1000
618800;2009011008;  19.8;1000
618800;2009011009; 126.8;1000
618800;2009011010; 226.3;1000
618800;2009011011; 287.8;1000
618800;2009011012; 302.8;1000
618800;2009011013; 269.5;1000
618800;2009011014; 191.8;1000
618800;2009011015;  84.9;1000
618800;2009011016;   0.6;1000
618800;2009011017;   0.0;1000
618800;2009011018;   0.0;1000
618800;2009011019;   0.0;1000
618800;2009011020;   0.0;1000
618800;2009011021;   0.0;1000
618800;2009011022;   0.0;1000
618800;2009011023;   0.0;1000
618800;2009011100;   0.0;1000
618800;2009011101;   0.0;1000
618800;2009011102;   0.0;1000
618800;2009011103;   0.0;1000
618800;2009011104;   0.0;1000
618800;2009011105;   0.0;1000
618800;2009011106;   0.0;1000
618800;2009011107;   0.0;1000
618800;2009011108;  20.9;1000
618800;2009011109; 129.1;1000
618800;2009011110; 229.1;1000
618800;2009011111; 291.1;1000
618800;2009011112; 306.4;1000
618800;2009011113; 273.4;1000
618800;2009011114; 195.8;1000
618800;2009011115;  88.2;1000
618800;2009011116;   1.2;1000
618800;2009011117;   0.0;1000
618800;2009011118;   0.0;1000
618800;2009011119;   0.0;1000
618800;2009011120;   0.0;1000
618800;2009011121;   0.0;1000
618800;2009011122;   0.0;1000
618800;2009011123;   0.0;1000
618800;2009011200;   0.0;1000
618800;2009011201;   0.0;1000
618800;2009011202;   0.0;1000
618800;2009011203;   0.0;1000
618800;2009011204;   0.0;1000
618800;2009011205;   0.0;1000
618800;2009011206;   0.0;1000
618800;2009011207;   0.0;1000
618800;2009011208;  22.1;1000
618800;2009011209; 131.5;1000
618800;2009011210; 232.1;1000
618800;2009011211; 294.5;1000
618800;2009011212; 310.2;1000
618800;2009011213; 277.5;1000
618800;2009011214; 199.9;1000
618800;2009011215;  91.7;1000
618800;2009011216;   2.5;1000
618800;2009011217;   0.0;1000
618800;2009011218;   0.0;1000
618800;2009011219;   0.0;1000
618800;2009011220;   0.0;1000
618800;2009011221;   0.0;1000
618800;2009011222;   0.0;1000
618800;2009011223;   0.0;1000
618800;2009011300;   0.0;1000
618800;2009011301;   0.0;1000
618800;2009011302;   0.0;1000
618800;2009011303;   0.0;1000
618800;2009011304;   0.0;1000
618800;2009011305;   0.0;1000
618800;2009011306;   0.0;1000
618800;2009011307;   0.0;1000
618800;2009011308;  23.4;1000
618800;2009011309; 134.1;1000
618800;2009011310; 235.3;1000
618800;2009011311; 298.1;1000
618800;2009011312; 314.1;1000
618800;2009011313; 281.6;1000
618800;2009011314; 204.2;1000
618800;2009011315;  95.3;1000
618800;2009011316;   3.8;1000
618800;2009011317;   0.0;1000
618800;2009011318;   0.0;1000
618800;2009011319;   0.0;1000
618800;2009011320;   0.0;1000
618800;2009011321;   0.0;1000
618800;2009011322;   0.0;1000
618800;2009011323;   0.0;1000
618800;2009011400;   0.0;1000
618800;2009011401;   0.0;1000
618800;2009011402;   0.0;1000
618800;2009011403;   0.0;1000
618800;2009011404;   0.0;1000
618800;2009011405;   0.0;1000
618800;2009011406;   0.0;1000
618800;2009011407;   0.0;1000
618800;2009011408;  24.8;1000
618800;2009011409; 136.8;1000
618800;2009011410; 238.6;1000
618800;2009011411; 301.9;1000
618800;2009011412; 318.2;1000
