statid;timeobs;Integrated_water_vapour_mean_[kg/m^2];Quality_label
603100;2009010100; 6.0625;1000
603100;2009010101; 6.3783;1000
603100;2009010102; 6.5710;1000
603100;2009010103; 6.5265;1000
603100;2009010104; 6.2466;1000
603100;2009010105; 6.1481;1000
603100;2009010106; 6.4348;1000
603100;2009010107; 6.9578;1000
603100;2009010108; 7.4981;1000
603100;2009010109; 7.9639;1000
603100;2009010110; 8.7843;1000
603100;2009010111; 8.8466;1000
603100;2009010112; 8.7194;1000
603100;2009010113; 8.5110;1000
603100;2009010114; 8.2164;1000
603100;2009010115; 7.9277;1000
603100;2009010116; 7.6711;1000
603100;2009010117; 7.5390;1000
603100;2009010118; 7.4339;1000
603100;2009010119; 7.1932;1000
603100;2009010120; 6.7580;1000
603100;2009010121; 6.2941;1000
603100;2009010122; 6.4436;1000
603100;2009010123; 6.0399;1000
603100;2009010200; 5.7241;1000
603100;2009010201; 5.3283;1000
603100;2009010202; 4.7872;1000
603100;2009010203; 4.1166;1000
603100;2009010204; 3.6763;1000
603100;2009010205; 3.6285;1000
603100;2009010206; 3.8902;1000
603100;2009010207; 4.2260;1000
603100;2009010208; 4.5183;1000
603100;2009010209; 4.7546;1000
603100;2009010210; 5.0361;1000
603100;2009010211; 5.1249;1000
603100;2009010212; 5.0852;1000
603100;2009010213; 4.9981;1000
603100;2009010214; 4.8782;1000
603100;2009010215; 4.8046;1000
603100;2009010216; 4.7267;1000
603100;2009010217; 4.6535;1000
603100;2009010218; 4.6255;1000
603100;2009010219; 4.5626;1000
603100;2009010220; 4.5167;1000
603100;2009010221; 4.3960;1000
603100;2009010222; 4.7315;1000
603100;2009010223; 4.8774;1000
603100;2009010300; 5.5648;1000
603100;2009010301; 6.6649;1000
603100;2009010302; 7.3983;1000
603100;2009010303; 7.7182;1000
603100;2009010304; 7.8289;1000
603100;2009010305; 7.7644;1000
603100;2009010306; 7.8673;1000
603100;2009010307; 8.2562;1000
603100;2009010308; 8.7645;1000
603100;2009010309; 9.3699;1000
603100;2009010310;10.2577;1000
603100;2009010311;10.6373;1000
603100;2009010312;11.1917;1000
603100;2009010313;11.4948;1000
603100;2009010314;11.4806;1000
603100;2009010315;11.3524;1000
603100;2009010316;10.3490;1000
603100;2009010317; 8.7366;1000
603100;2009010318; 7.6506;1000
603100;2009010319; 7.4132;1000
603100;2009010320; 7.3843;1000
603100;2009010321; 7.3501;1000
603100;2009010322; 7.6372;1000
603100;2009010323; 7.7096;1000
603100;2009010400; 7.9192;1000
603100;2009010401; 8.3121;1000
603100;2009010402; 8.5340;1000
603100;2009010403; 8.3985;1000
603100;2009010404; 8.0275;1000
603100;2009010405; 7.6358;1000
603100;2009010406; 7.6084;1000
603100;2009010407; 7.7844;1000
603100;2009010408; 7.8930;1000
603100;2009010409; 7.7772;1000
603100;2009010410; 7.9058;1000
603100;2009010411; 7.8915;1000
603100;2009010412; 7.8656;1000
603100;2009010413; 7.7530;1000
603100;2009010414; 7.5057;1000
603100;2009010415; 7.3099;1000
603100;2009010416; 7.1091;1000
603100;2009010417; 6.8163;1000
603100;2009010418; 6.4092;1000
603100;2009010419; 5.8220;1000
603100;2009010420; 4.9596;1000
603100;2009010421; 4.1704;1000
603100;2009010422; 3.8177;1000
603100;2009010423; 3.3201;1000
603100;2009010500; 2.9765;1000
603100;2009010501; 2.7841;1000
603100;2009010502; 2.7109;1000
603100;2009010503; 2.6738;1000
603100;2009010504; 2.6767;1000
603100;2009010505; 2.7449;1000
603100;2009010506; 2.8562;1000
603100;2009010507; 2.9635;1000
603100;2009010508; 2.9860;1000
603100;2009010509; 2.9881;1000
603100;2009010510; 3.0865;1000
603100;2009010511; 2.9758;1000
603100;2009010512; 2.9202;1000
603100;2009010513; 2.9349;1000
603100;2009010514; 2.9676;1000
603100;2009010515; 3.0073;1000
603100;2009010516; 3.1130;1000
603100;2009010517; 3.2809;1000
603100;2009010518; 3.4836;1000
603100;2009010519; 3.6393;1000
603100;2009010520; 3.7235;1000
603100;2009010521; 3.7697;1000
603100;2009010522; 3.8755;1000
603100;2009010523; 3.8710;1000
603100;2009010600; 3.8644;1000
603100;2009010601; 4.0082;1000
603100;2009010602; 4.4424;1000
603100;2009010603; 5.0394;1000
603100;2009010604; 5.6192;1000
603100;2009010605; 6.1276;1000
603100;2009010606; 6.4291;1000
603100;2009010607; 6.4356;1000
603100;2009010608; 6.2858;1000
603100;2009010609; 6.0051;1000
603100;2009010610; 6.2133;1000
603100;2009010611; 6.2245;1000
603100;2009010612; 6.3161;1000
603100;2009010613; 6.4135;1000
603100;2009010614; 6.4837;1000
603100;2009010615; 6.5186;1000
603100;2009010616; 6.5421;1000
603100;2009010617; 6.5744;1000
603100;2009010618; 6.8071;1000
603100;2009010619; 7.5332;1000
603100;2009010620; 9.3113;1000
603100;2009010621;10.2350;1000
603100;2009010622;10.5588;1000
603100;2009010623; 9.9554;1000
603100;2009010700; 9.5284;1000
603100;2009010701; 9.5285;1000
603100;2009010702; 8.4586;1000
603100;2009010703; 6.7410;1000
603100;2009010704; 5.5620;1000
603100;2009010705; 5.1454;1000
603100;2009010706; 4.6039;1000
603100;2009010707; 4.2419;1000
603100;2009010708; 4.0047;1000
603100;2009010709; 3.8737;1000
603100;2009010710; 3.8728;1000
603100;2009010711; 3.5226;1000
603100;2009010712; 3.3253;1000
603100;2009010713; 3.2843;1000
603100;2009010714; 3.3670;1000
603100;2009010715; 3.4799;1000
603100;2009010716; 3.5266;1000
603100;2009010717; 3.5332;1000
603100;2009010718; 3.5288;1000
603100;2009010719; 3.5672;1000
603100;2009010720; 3.5906;1000
603100;2009010721; 3.5599;1000
603100;2009010722; 3.8379;1000
603100;2009010723; 3.7786;1000
603100;2009010800; 3.7944;1000
603100;2009010801; 3.9547;1000
603100;2009010802; 4.3330;1000
603100;2009010803; 5.0017;1000
603100;2009010804; 6.0329;1000
603100;2009010805; 7.4787;1000
603100;2009010806; 8.8086;1000
603100;2009010807; 9.7970;1000
603100;2009010808;10.6086;1000
603100;2009010809;11.1534;1000
603100;2009010810;11.9296;1000
603100;2009010811;12.1568;1000
603100;2009010812;12.1308;1000
603100;2009010813;11.9343;1000
603100;2009010814;11.6447;1000
603100;2009010815;11.5310;1000
603100;2009010816;11.4890;1000
603100;2009010817;11.4655;1000
603100;2009010818;11.7584;1000
603100;2009010819;12.3423;1000
603100;2009010820;12.7338;1000
603100;2009010821;12.7299;1000
603100;2009010822;12.5181;1000
603100;2009010823;10.8659;1000
603100;2009010900; 9.5813;1000
603100;2009010901; 8.8261;1000
603100;2009010902; 8.3585;1000
603100;2009010903; 8.1392;1000
603100;2009010904; 8.3129;1000
603100;2009010905; 8.9651;1000
603100;2009010906; 9.7748;1000
603100;2009010907;10.5469;1000
603100;2009010908;11.1999;1000
603100;2009010909;11.5994;1000
603100;2009010910;13.0967;1000
603100;2009010911;13.1889;1000
603100;2009010912;13.0109;1000
603100;2009010913;12.7498;1000
603100;2009010914;12.3571;1000
603100;2009010915;11.9979;1000
603100;2009010916;11.6776;1000
603100;2009010917;11.3914;1000
603100;2009010918;11.1290;1000
603100;2009010919;10.8262;1000
603100;2009010920;10.4807;1000
603100;2009010921;10.1829;1000
603100;2009010922;10.9954;1000
603100;2009010923;10.8177;1000
603100;2009011000;10.5424;1000
603100;2009011001;10.2531;1000
603100;2009011002; 9.9608;1000
603100;2009011003; 9.7169;1000
603100;2009011004; 9.4167;1000
603100;2009011005; 9.0262;1000
603100;2009011006; 8.6815;1000
603100;2009011007; 8.4725;1000
603100;2009011008; 8.5146;1000
603100;2009011009; 8.6057;1000
603100;2009011010; 8.3641;1000
603100;2009011011; 8.2601;1000
603100;2009011012; 7.9799;1000
603100;2009011013; 7.6392;1000
603100;2009011014; 7.4526;1000
603100;2009011015; 7.3869;1000
603100;2009011016; 7.2413;1000
603100;2009011017; 6.8194;1000
603100;2009011018; 6.3282;1000
603100;2009011019; 6.0064;1000
603100;2009011020; 5.8462;1000
603100;2009011021; 5.7016;1000
603100;2009011022; 5.5847;1000
603100;2009011023; 5.1189;1000
603100;2009011100; 4.6430;1000
603100;2009011101; 4.4022;1000
603100;2009011102; 4.3790;1000
603100;2009011103; 4.5949;1000
603100;2009011104; 4.6727;1000
603100;2009011105; 4.5633;1000
603100;2009011106; 4.6869;1000
603100;2009011107; 5.1179;1000
