statid;timeobs;relative_humidity_mean(%);label
606000;2009010100;97.7;1000
606000;2009010101;97.3;1000
606000;2009010102;97;1000
606000;2009010103;97.4;1000
606000;2009010104;96.9;1000
606000;2009010105;96.7;1000
606000;2009010106;94;1100
606000;2009010107;94;1100
606000;2009010108;93;1100
606000;2009010109;95;1100
606000;2009010110;95;1100
606000;2009010111;95;1100
606000;2009010112;94;1100
606000;2009010113;92;1100
606000;2009010114;91;1100
606000;2009010115;91;1100
606000;2009010116;92;1100
606000;2009010117;92;1100
606000;2009010118;92;1100
606000;2009010119;92;1100
606000;2009010120;93;1100
606000;2009010121;93;1100
606000;2009010122;93;1100
606000;2009010123;94;1100
606000;2009010200;93;1100
606000;2009010201;93;1100
606000;2009010202;93;1100
606000;2009010203;93;1100
606000;2009010204;92;1100
606000;2009010205;93;1100
606000;2009010206;92;1100
606000;2009010207;92;1100
606000;2009010208;91;1100
606000;2009010209;91;1100
606000;2009010210;91;1100
606000;2009010211;91;1100
606000;2009010212;91;1100
606000;2009010213;90;1100
606000;2009010214;91;1100
606000;2009010215;92;1100
606000;2009010216;93;1100
606000;2009010217;93;1100
606000;2009010218;94;1100
606000;2009010219;93;1100
606000;2009010220;93;1100
606000;2009010221;91;1100
606000;2009010222;88;1100
606000;2009010223;85;1100
606000;2009010300;84;1100
606000;2009010301;86;1100
606000;2009010302;87;1100
606000;2009010303;88;1100
606000;2009010304;87;1100
606000;2009010305;87;1100
606000;2009010306;89;1100
606000;2009010307;88;1100
606000;2009010308;88;1100
606000;2009010309;85;1100
606000;2009010310;90;1100
606000;2009010311;91;1100
606000;2009010312;91;1100
606000;2009010313;93;1100
606000;2009010314;92;1100
606000;2009010315;87;1100
606000;2009010316;87;1100
606000;2009010317;87;1100
606000;2009010318;90;1100
606000;2009010319;92;1100
606000;2009010320;92;1100
606000;2009010321;92;1100
606000;2009010322;93;1100
606000;2009010323;93;1100
606000;2009010400;93;1100
606000;2009010401;94;1100
606000;2009010402;94;1100
606000;2009010403;93;1100
606000;2009010404;93;1100
606000;2009010405;93;1100
606000;2009010406;94;1100
606000;2009010407;93;1100
606000;2009010408;92;1100
606000;2009010409;91;1100
606000;2009010410;90;1100
606000;2009010411;89;1100
606000;2009010412;88;1100
606000;2009010413;85;1100
606000;2009010414;82;1100
606000;2009010415;82;1100
606000;2009010416;84;1100
606000;2009010417;82;1100
606000;2009010418;77;1100
606000;2009010419;80;1100
606000;2009010420;83;1100
606000;2009010421;84;1100
606000;2009010422;84;1100
606000;2009010423;83;1100
606000;2009010500;81;1100
606000;2009010501;80;1100
606000;2009010502;80;1100
606000;2009010503;82;1100
606000;2009010504;85;1100
606000;2009010505;85;1100
606000;2009010506;86;1100
606000;2009010507;88;1100
606000;2009010508;87;1100
606000;2009010509;87;1100
606000;2009010510;87;1100
606000;2009010511;83;1100
606000;2009010512;79;1100
606000;2009010513;73;1100
606000;2009010514;74;1100
606000;2009010515;76;1100
606000;2009010516;79;1100
606000;2009010517;83;1100
606000;2009010518;85;1100
606000;2009010519;87;1100
606000;2009010520;87;1100
606000;2009010521;87;1100
606000;2009010522;88;1100
606000;2009010523;88;1100
606000;2009010600;86;1100
606000;2009010601;88;1100
606000;2009010602;89;1100
606000;2009010603;91;1100
606000;2009010604;90;1100
606000;2009010605;89;1100
606000;2009010606;92;1100
606000;2009010607;94;1100
606000;2009010608;92;1100
606000;2009010609;79;1100
606000;2009010610;76;1100
606000;2009010611;73;1100
606000;2009010612;68;1100
606000;2009010613;66;1100
606000;2009010614;68;1100
606000;2009010615;71;1100
606000;2009010616;73;1100
606000;2009010617;74;1100
606000;2009010618;75;1100
606000;2009010619;86;1100
606000;2009010620;92;1100
606000;2009010621;93;1100
606000;2009010622;90;1100
606000;2009010623;84;1100
606000;2009010700;78;1100
606000;2009010701;74;1100
606000;2009010702;72;1100
606000;2009010703;70;1100
606000;2009010704;68;1100
606000;2009010705;70;1100
606000;2009010706;68;1100
606000;2009010707;68;1100
606000;2009010708;71;1100
606000;2009010709;71;1100
606000;2009010710;69;1100
606000;2009010711;64;1100
606000;2009010712;62;1100
606000;2009010713;60;1100
606000;2009010714;61;1100
606000;2009010715;67;1100
606000;2009010716;76;1100
606000;2009010717;78;1100
606000;2009010718;80;1100
606000;2009010719;78;1100
606000;2009010720;82;1100
606000;2009010721;84;1100
606000;2009010722;85;1100
606000;2009010723;85;1100
606000;2009010800;84;1100
606000;2009010801;83;1100
606000;2009010802;82;1100
606000;2009010803;83;1100
606000;2009010804;83;1100
606000;2009010805;83;1100
606000;2009010806;83;1100
606000;2009010807;87;1100
606000;2009010808;90;1100
