statid;timeobs;jordtemperatur 1m (°C);label
615600;20090815;15.3;1100
615600;20090816;15.3;1100
615600;20090817;15.4;1100
615600;20090818;15.4;1100
615600;20090819;15.4;1100
615600;20090820;15.5;1100
615600;20090821;15.6;1100
615600;20090822;15.8;1100
615600;20090823;15.9;1100
615600;20090824;16.0;1100
615600;20090825;16.1;1100
615600;20090826;16.1;1100
615600;20090827;16.1;1100
615600;20090828;16.0;1100
615600;20090829;15.8;1100
615600;20090830;15.7;1100
615600;20090831;15.5;1100
615600;20090901;15.3;1100
615600;20090902;15.2;1100
615600;20090903;15.1;1100
615600;20090904;15.2;1100
615600;20090905;15.2;1100
615600;20090906;15.2;1100
615600;20090907;15.2;1100
615600;20090908;15.2;1100
615600;20090909;15.3;1100
615600;20090910;15.3;1100
615600;20090911;15.3;1100
615600;20090912;15.2;1100
615600;20090913;15.1;1100
615600;20090914;15.0;1100
615600;20090915;14.9;1100
615600;20090916;14.8;1100
615600;20090917;14.7;1100
615600;20090918;14.5;1100
615600;20090919;14.3;1100
615600;20090920;14.2;1100
615600;20090921;14.2;1100
615600;20090922;14.1;1100
615600;20090923;14.1;1100
615600;20090924;14.1;1100
615600;20090925;14.0;1100
615600;20090926;14.0;1100
615600;20090927;14.0;1100
615600;20090928;14.0;1100
615600;20090929;13.9;1100
615600;20090930;13.8;1100
615600;20081001;13.6;1100
615600;20081002;13.5;1100
615600;20081003;13.4;1100
615600;20081004;13.3;1100
615600;20081005;13.2;1100
615600;20081006;13.1;1100
615600;20081007;13.0;1100
615600;20081008;13.0;1100
615600;20081009;12.9;1100
615600;20081010;12.9;1100
615600;20081011;12.9;1100
615600;20081012;12.9;1100
615600;20081013;12.9;1100
615600;20081014;12.7;1100
615600;20081015;12.5;1100
615600;20081016;12.2;1100
615600;20081017;11.9;1100
615600;20081018;11.6;1100
615600;20081019;11.3;1100
615600;20081020;11.0;1100
615600;20081021;10.7;1100
615600;20081022;10.6;1100
615600;20081023;10.5;1100
615600;20081024;10.5;1100
615600;20081025;10.5;1100
615600;20081026;10.5;1100
615600;20081027;10.6;1100
615600;20081028;10.8;1100
615600;20081029;10.9;1100
615600;20081030;10.9;1100
615600;20081031;10.9;1100
615600;20101101;10.8;1100
615600;20101102;10.7;1100
615600;20101103;10.6;1100
615600;20101104;10.4;1100
615600;20101105;10.3;1100
615600;20101106;10.2;1100
615600;20101107;10.1;1100
615600;20101108;10.0;1100
615600;20101109;9.9;1100
615600;20101110;9.8;1100
615600;20101111;9.6;1100
615600;20101112;9.4;1100
615600;20101113;9.2;1100
615600;20101114;9.0;1100
615600;20101115;8.9;1100
615600;20101116;8.8;1100
615600;20101117;8.7;1100
615600;20101118;8.6;1100
615600;20101119;8.7;1100
615600;20101120;8.7;1100
615600;20101121;8.7;1100
615600;20101122;8.5;1100
615600;20101123;8.2;1100
615600;20101124;7.9;1100
615600;20101125;7.6;1100
615600;20101126;7.3;1100
615600;20101127;7.1;1100
615600;20101128;6.9;1100
615600;20101129;6.9;1100
615600;20101130;6.9;1100
615600;20091201;6.8;1100
615600;20091202;6.7;1100
615600;20091203;6.6;1100
615600;20091204;6.4;1100
615600;20091205;6.2;1100
615600;20091206;6.1;1100
615600;20091207;5.9;1100
615600;20091208;5.8;1100
615600;20091209;5.7;1100
615600;20091210;5.6;1100
615600;20091211;5.5;1100
615600;20091212;5.3;1100
615600;20091213;5.2;1100
615600;20091214;5.0;1100
615600;20091215;5.2;1100
615600;20091216;5.4;1100
615600;20091217;5.5;1100
615600;20091218;5.6;1100
615600;20091219;5.8;1100
615600;20091220;6.0;1100
615600;20091221;6.2;1100
615600;20091222;6.1;1100
615600;20091223;6.2;1100
615600;20091224;6.3;1100
615600;20091225;6.3;1100
615600;20091226;6.3;1100
615600;20091227;6.2;1100
615600;20091228;6.0;1100
615600;20091229;5.8;1100
615600;20091230;5.6;1100
615600;20091231;5.3;1100
