statid;timeobs;Integrated_water_vapour_mean_[kg/m^2];Quality_label
606500;2009010100; 6.4668;1000
606500;2009010101; 6.5111;1000
606500;2009010102; 6.3445;1000
606500;2009010103; 6.1300;1000
606500;2009010104; 6.2641;1000
606500;2009010105; 6.7653;1000
606500;2009010106; 7.2747;1000
606500;2009010107; 7.6981;1000
606500;2009010108; 8.0880;1000
606500;2009010109; 8.2881;1000
606500;2009010110; 8.6105;1000
606500;2009010111; 8.3446;1000
606500;2009010112; 8.0299;1000
606500;2009010113; 7.7396;1000
606500;2009010114; 7.4507;1000
606500;2009010115; 7.1913;1000
606500;2009010116; 6.9915;1000
606500;2009010117; 6.8105;1000
606500;2009010118; 6.5238;1000
606500;2009010119; 6.0584;1000
606500;2009010120; 5.6232;1000
606500;2009010121; 5.4191;1000
606500;2009010122; 5.6584;1000
606500;2009010123; 5.6278;1000
606500;2009010200; 5.4858;1000
606500;2009010201; 5.1486;1000
606500;2009010202; 4.6212;1000
606500;2009010203; 4.2591;1000
606500;2009010204; 4.2173;1000
606500;2009010205; 4.3023;1000
606500;2009010206; 4.4019;1000
606500;2009010207; 4.4936;1000
606500;2009010208; 4.6902;1000
606500;2009010209; 4.8815;1000
606500;2009010210; 5.0576;1000
606500;2009010211; 4.9510;1000
606500;2009010212; 4.7395;1000
606500;2009010213; 4.5919;1000
606500;2009010214; 4.5013;1000
606500;2009010215; 4.4140;1000
606500;2009010216; 4.3185;1000
606500;2009010217; 4.3156;1000
606500;2009010218; 4.2603;1000
606500;2009010219; 4.1798;1000
606500;2009010220; 4.0421;1000
606500;2009010221; 4.0601;1000
606500;2009010222; 5.1631;1000
606500;2009010223; 6.1293;1000
606500;2009010300; 7.0062;1000
606500;2009010301; 7.6395;1000
606500;2009010302; 7.9042;1000
606500;2009010303; 7.7026;1000
606500;2009010304; 7.4500;1000
606500;2009010305; 7.6550;1000
606500;2009010306; 8.1427;1000
606500;2009010307; 8.7210;1000
606500;2009010308; 9.2918;1000
606500;2009010309; 9.8016;1000
606500;2009010310;10.6425;1000
606500;2009010311;11.1490;1000
606500;2009010312;11.4534;1000
606500;2009010313;11.5202;1000
606500;2009010314;11.3947;1000
606500;2009010315;10.3270;1000
606500;2009010316; 8.3490;1000
606500;2009010317; 7.2640;1000
606500;2009010318; 7.1858;1000
606500;2009010319; 7.2687;1000
606500;2009010320; 7.2574;1000
606500;2009010321; 7.1724;1000
606500;2009010322; 7.4986;1000
606500;2009010323; 7.5123;1000
606500;2009010400; 7.5989;1000
606500;2009010401; 7.6871;1000
606500;2009010402; 7.5692;1000
606500;2009010403; 7.2462;1000
606500;2009010404; 6.8927;1000
606500;2009010405; 6.9366;1000
606500;2009010406; 7.2177;1000
606500;2009010407; 7.3059;1000
606500;2009010408; 7.1996;1000
606500;2009010409; 7.1053;1000
606500;2009010410; 7.1909;1000
606500;2009010411; 6.9970;1000
606500;2009010412; 6.9047;1000
606500;2009010413; 6.8076;1000
606500;2009010414; 6.6268;1000
606500;2009010415; 6.3783;1000
606500;2009010416; 6.0740;1000
606500;2009010417; 5.6913;1000
606500;2009010418; 5.2002;1000
606500;2009010419; 4.6365;1000
606500;2009010420; 4.0709;1000
606500;2009010421; 3.5962;1000
606500;2009010422; 3.6654;1000
606500;2009010423; 3.4294;1000
606500;2009010500; 3.2343;1000
606500;2009010501; 3.1122;1000
606500;2009010502; 3.0175;1000
606500;2009010503; 2.9140;1000
606500;2009010504; 2.8310;1000
606500;2009010505; 2.7507;1000
606500;2009010506; 2.6472;1000
606500;2009010507; 2.5650;1000
606500;2009010508; 2.5485;1000
606500;2009010509; 2.5858;1000
606500;2009010510; 2.6978;1000
606500;2009010511; 2.7395;1000
606500;2009010512; 2.8362;1000
606500;2009010513; 2.9974;1000
606500;2009010514; 3.1981;1000
606500;2009010515; 3.3843;1000
606500;2009010516; 3.5212;1000
606500;2009010517; 3.5973;1000
606500;2009010518; 3.6223;1000
606500;2009010519; 3.6276;1000
606500;2009010520; 3.6707;1000
606500;2009010521; 3.7717;1000
606500;2009010522; 4.0943;1000
606500;2009010523; 4.3768;1000
606500;2009010600; 4.8175;1000
606500;2009010601; 5.3226;1000
606500;2009010602; 5.8037;1000
606500;2009010603; 6.1683;1000
606500;2009010604; 6.4551;1000
606500;2009010605; 6.5436;1000
606500;2009010606; 6.4779;1000
606500;2009010607; 6.1914;1000
606500;2009010608; 5.7428;1000
606500;2009010609; 5.3372;1000
606500;2009010610; 5.7719;1000
606500;2009010611; 5.9882;1000
606500;2009010612; 6.1188;1000
606500;2009010613; 6.3295;1000
