statid;timeobs (UTC);cloud cover (%);label
603000;2009010100;0;1100
603000;2009010101;0;1100
603000;2009010102;0;1100
603000;2009010103;0;1100
603000;2009010104;0;1100
603000;2009010105;0;1100
603000;2009010106;40;1100
603000;2009010107;90;1100
603000;2009010108;90;1100
603000;2009010109;90;1100
603000;2009010110;90;1100
603000;2009010111;90;1100
603000;2009010112;90;1100
603000;2009010113;90;1100
603000;2009010114;90;1100
603000;2009010115;90;1100
603000;2009010116;90;1100
603000;2009010117;90;1100
603000;2009010118;90;1100
603000;2009010119;90;1100
603000;2009010120;92;1100
603000;2009010121;94;1100
603000;2009010122;90;1100
603000;2009010123;92;1100
603000;2009010200;90;1100
603000;2009010201;90;1100
603000;2009010202;95;1100
603000;2009010203;100;1100
603000;2009010204;98;1100
603000;2009010205;98;1100
603000;2009010206;100;1100
603000;2009010207;16;1100
603000;2009010208;2;1100
603000;2009010209;10;1100
603000;2009010210;0;1100
603000;2009010211;15;1100
603000;2009010212;4;1100
603000;2009010213;0;1100
603000;2009010214;0;1100
603000;2009010215;0;1100
603000;2009010216;0;1100
603000;2009010217;7;1100
603000;2009010218;40;1100
603000;2009010219;0;1100
603000;2009010220;0;1100
603000;2009010221;0;1100
603000;2009010222;3;1100
603000;2009010223;0;1100
603000;2009010300;0;1100
603000;2009010301;20;1100
603000;2009010302;15;1100
603000;2009010303;2;1100
603000;2009010304;5;1100
603000;2009010305;2;1100
603000;2009010306;90;1100
603000;2009010307;68;1100
603000;2009010308;98;1100
603000;2009010309;100;1100
603000;2009010310;100;1100
603000;2009010311;93;1100
603000;2009010312;90;1100
603000;2009010313;2;1100
603000;2009010314;0;1100
603000;2009010315;0;1100
603000;2009010316;2;1100
603000;2009010317;5;1100
603000;2009010318;2;1100
603000;2009010319;72;1100
603000;2009010320;80;1100
603000;2009010321;96;1100
603000;2009010322;90;1100
603000;2009010323;92;1100
603000;2009010400;94;1100
603000;2009010401;92;1100
603000;2009010402;92;1100
603000;2009010403;92;1100
603000;2009010404;90;1100
603000;2009010405;97;1100
603000;2009010406;100;1100
603000;2009010407;93;1100
603000;2009010408;100;1100
603000;2009010409;100;1100
603000;2009010410;92;1100
603000;2009010411;90;1100
603000;2009010412;90;1100
603000;2009010413;75;1100
603000;2009010414;10;1100
603000;2009010415;2;1100
603000;2009010416;2;1100
603000;2009010417;0;1100
603000;2009010418;0;1100
603000;2009010419;5;1100
603000;2009010420;12;1100
603000;2009010421;84;1100
603000;2009010422;25;1100
603000;2009010423;0;1100
603000;2009010500;0;1100
603000;2009010501;0;1100
603000;2009010502;0;1100
603000;2009010503;0;1100
603000;2009010504;0;1100
603000;2009010505;0;1100
603000;2009010506;0;1100
603000;2009010507;0;1100
603000;2009010508;0;1100
603000;2009010509;6;1100
603000;2009010510;0;1100
603000;2009010511;0;1100
603000;2009010512;0;1100
603000;2009010513;0;1100
603000;2009010514;0;1100
603000;2009010515;0;1100
603000;2009010516;0;1100
603000;2009010517;5;1100
603000;2009010518;2;1100
603000;2009010519;0;1100
603000;2009010520;0;1100
603000;2009010521;0;1100
603000;2009010522;2;1100
603000;2009010523;2;1100
603000;2009010600;6;1100
603000;2009010601;5;1100
603000;2009010602;67;1100
603000;2009010603;62;1100
603000;2009010604;93;1100
603000;2009010605;58;1100
603000;2009010606;92;1100
603000;2009010607;95;1100
603000;2009010608;87;1100
603000;2009010609;94;1100
603000;2009010610;83;1100
603000;2009010611;78;1100
603000;2009010612;100;1100
603000;2009010613;98;1100
603000;2009010614;93;1100
603000;2009010615;78;1100
603000;2009010616;92;1100
603000;2009010617;97;1100
603000;2009010618;100;1100
603000;2009010619;100;1100
603000;2009010620;100;1100
603000;2009010621;88;1100
603000;2009010622;37;1100
603000;2009010623;33;1100
603000;2009010700;96;1100
603000;2009010701;85;1100
603000;2009010702;28;1100
603000;2009010703;94;1100
603000;2009010704;33;1100
603000;2009010705;0;1100
603000;2009010706;0;1100
603000;2009010707;0;1100
603000;2009010708;0;1100
603000;2009010709;0;1100
603000;2009010710;0;1100
603000;2009010711;0;1100
603000;2009010712;0;1100
603000;2009010713;0;1100
603000;2009010714;0;1100
603000;2009010715;0;1100
603000;2009010716;0;1100
603000;2009010717;2;1100
603000;2009010718;6;1100
603000;2009010719;2;1100
603000;2009010720;72;1100
603000;2009010721;24;1100
603000;2009010722;37;1100
603000;2009010723;63;1100
603000;2009010800;74;1100
603000;2009010801;18;1100
603000;2009010802;30;1100
603000;2009010803;70;1100
603000;2009010804;93;1100
603000;2009010805;100;1100
603000;2009010806;100;1100
603000;2009010807;100;1100
603000;2009010808;100;1100
603000;2009010809;96;1100
603000;2009010810;100;1100
603000;2009010811;100;1100
603000;2009010812;98;1100
603000;2009010813;98;1100
603000;2009010814;90;1100
603000;2009010815;90;1100
603000;2009010816;92;1100
603000;2009010817;97;1100
603000;2009010818;94;1100
603000;2009010819;42;1100
603000;2009010820;17;1100
603000;2009010821;2;1100
603000;2009010822;48;1100
603000;2009010823;50;1100
603000;2009010900;96;1100
603000;2009010901;85;1100
603000;2009010902;95;1100
603000;2009010903;96;1100
603000;2009010904;98;1100
603000;2009010905;100;1100
603000;2009010906;100;1100
603000;2009010907;100;1100
603000;2009010908;100;1100
603000;2009010909;100;1100
603000;2009010910;100;1100
603000;2009010911;100;1100
603000;2009010912;92;1100
603000;2009010913;85;1100
603000;2009010914;15;1100
603000;2009010915;6;1100
603000;2009010916;0;1100
603000;2009010917;3;1100
603000;2009010918;60;1100
603000;2009010919;100;1100
603000;2009010920;100;1100
603000;2009010921;100;1100
603000;2009010922;97;1100
603000;2009010923;97;1100
603000;2009011000;100;1100
603000;2009011001;98;1100
603000;2009011002;98;1100
603000;2009011003;92;1100
603000;2009011004;100;1100
603000;2009011005;100;1100
603000;2009011006;100;1100
603000;2009011007;100;1100
603000;2009011008;100;1100
603000;2009011009;100;1100
603000;2009011010;100;1100
603000;2009011011;100;1100
603000;2009011012;100;1100
603000;2009011013;100;1100
603000;2009011014;100;1100
603000;2009011015;100;1100
603000;2009011016;90;1100
603000;2009011017;92;1100
603000;2009011018;96;1100
603000;2009011019;100;1100
603000;2009011020;93;1100
603000;2009011021;66;1100
603000;2009011022;2;1100
603000;2009011023;5;1100
603000;2009011100;14;1100
603000;2009011101;7;1100
603000;2009011102;8;1100
603000;2009011103;42;1100
603000;2009011104;53;1100
603000;2009011105;35;1100
603000;2009011106;92;1100
603000;2009011107;97;1100
603000;2009011108;93;1100
603000;2009011109;98;1100
603000;2009011110;93;1100
603000;2009011111;98;1100
603000;2009011112;96;1100
603000;2009011113;100;1100
603000;2009011114;68;1100
603000;2009011115;6;1100
603000;2009011116;20;1100
603000;2009011117;82;1100
603000;2009011118;94;1100
603000;2009011119;97;1100
603000;2009011120;98;1100
603000;2009011121;92;1100
603000;2009011122;95;1100
603000;2009011123;90;1100
603000;2009011200;78;1100
603000;2009011201;72;1100
603000;2009011202;93;1100
603000;2009011203;100;1100
603000;2009011204;100;1100
603000;2009011205;98;1100
603000;2009011206;94;1100
603000;2009011207;97;1100
603000;2009011208;93;1100
603000;2009011209;94;1100
603000;2009011210;98;1100
603000;2009011211;98;1100
603000;2009011212;96;1100
603000;2009011213;97;1100
603000;2009011214;97;1100
603000;2009011215;100;1100
603000;2009011216;100;1100
603000;2009011217;100;1100
603000;2009011218;100;1100
603000;2009011219;100;1100
603000;2009011220;97;1100
603000;2009011221;98;1100
603000;2009011222;100;1100
603000;2009011223;100;1100
603000;2009011300;100;1100
603000;2009011301;100;1100
603000;2009011302;100;1100
603000;2009011303;94;1100
603000;2009011304;100;1100
603000;2009011305;100;1100
603000;2009011306;100;1100
603000;2009011307;100;1100
603000;2009011308;100;1100
603000;2009011309;98;1100
603000;2009011310;95;1100
603000;2009011311;95;1100
603000;2009011312;92;1100
603000;2009011313;100;1100
603000;2009011314;100;1100
603000;2009011315;100;1100
603000;2009011316;97;1100
603000;2009011317;97;1100
603000;2009011318;96;1100
603000;2009011319;97;1100
603000;2009011320;93;1100
603000;2009011321;94;1100
603000;2009011322;100;1100
603000;2009011323;100;1100
603000;2009011400;98;1100
603000;2009011401;92;1100
603000;2009011402;93;1100
603000;2009011403;95;1000
603000;2009011404;97;1000
603000;2009011405;98;1000
603000;2009011406;100;1100
603000;2009011407;100;1100
603000;2009011408;100;1100
603000;2009011409;95;1000
603000;2009011410;90;1100
603000;2009011411;95;1000
603000;2009011412;100;1100
603000;2009011413;99;1000
603000;2009011414;98;1000
603000;2009011415;97;1000
603000;2009011416;96;1000
603000;2009011417;95;1000
603000;2009011418;94;1000
603000;2009011419;93;1100
603000;2009011420;93;1000
603000;2009011421;93;1000
603000;2009011422;93;1000
603000;2009011423;92;1000
603000;2009011500;92;1000
