statid;timeobs;relative_humidity_mean(%);label
619700;2009010100;85;1100
619700;2009010101;87;1100
619700;2009010102;86;1100
619700;2009010103;86;1100
619700;2009010104;87;1100
619700;2009010105;85;1100
619700;2009010106;81;1100
619700;2009010107;81;1100
619700;2009010108;81;1100
619700;2009010109;81;1100
619700;2009010110;80;1100
619700;2009010111;81;1100
619700;2009010112;76;1100
619700;2009010113;76;1100
619700;2009010114;70;1100
619700;2009010115;68;1100
619700;2009010116;69;1100
619700;2009010117;71;1100
619700;2009010118;74;1100
619700;2009010119;75;1100
619700;2009010120;75;1100
619700;2009010121;77;1100
619700;2009010122;77;1100
619700;2009010123;77;1100
619700;2009010200;78;1100
619700;2009010201;82;1100
619700;2009010202;80;1100
619700;2009010203;84;1100
619700;2009010204;84;1100
619700;2009010205;81;1100
619700;2009010206;80;1100
619700;2009010207;79;1100
619700;2009010208;77;1100
619700;2009010209;74;1100
619700;2009010210;71;1100
619700;2009010211;73;1100
619700;2009010212;72;1100
619700;2009010213;71;1100
619700;2009010214;65;1100
619700;2009010215;64;1100
619700;2009010216;70;1100
619700;2009010217;69;1100
619700;2009010218;72;1100
619700;2009010219;76;1100
619700;2009010220;76;1100
619700;2009010221;76;1100
619700;2009010222;76;1100
619700;2009010223;77;1100
619700;2009010300;78;1100
619700;2009010301;75;1100
619700;2009010302;70;1100
619700;2009010303;65;1100
619700;2009010304;62;1100
619700;2009010305;66;1100
619700;2009010306;68;1100
619700;2009010307;71;1100
619700;2009010308;73;1100
619700;2009010309;72;1100
619700;2009010310;72;1100
619700;2009010311;73;1100
619700;2009010312;75;1100
619700;2009010313;86;1100
619700;2009010314;89;1100
619700;2009010315;90;1100
619700;2009010316;89;1100
619700;2009010317;88;1100
619700;2009010318;85;1100
619700;2009010319;87;1100
619700;2009010320;84;1100
619700;2009010321;77;1100
619700;2009010322;80;1100
619700;2009010323;75;1100
619700;2009010400;77;1100
619700;2009010401;79;1100
619700;2009010402;79;1100
619700;2009010403;80;1100
619700;2009010404;83;1100
619700;2009010405;82;1100
619700;2009010406;79;1100
619700;2009010407;79;1100
619700;2009010408;84;1100
619700;2009010409;88;1100
619700;2009010410;79;1100
619700;2009010411;74;1100
619700;2009010412;72;1100
619700;2009010413;77;1100
619700;2009010414;90;1100
619700;2009010415;95;1100
619700;2009010416;95;1100
619700;2009010417;95;1100
619700;2009010418;95;1100
619700;2009010419;94;1100
619700;2009010420;69;1100
619700;2009010421;63;1100
619700;2009010422;65;1100
619700;2009010423;62;1100
619700;2009010500;50;1100
619700;2009010501;46;1100
619700;2009010502;47;1100
619700;2009010503;49;1100
619700;2009010504;54;1100
619700;2009010505;60;1100
619700;2009010506;84;1100
619700;2009010507;91;1100
619700;2009010508;90;1100
619700;2009010509;76;1100
619700;2009010510;66;1100
619700;2009010511;64;1100
619700;2009010512;57;1100
619700;2009010513;52;1100
619700;2009010514;57;1100
619700;2009010515;65;1100
619700;2009010516;73;1100
619700;2009010517;77;1100
619700;2009010518;79;1100
619700;2009010519;81;1100
619700;2009010520;85;1100
619700;2009010521;90;1100
619700;2009010522;91;1100
619700;2009010523;91;1100
619700;2009010600;89;1100
619700;2009010601;83;1100
619700;2009010602;77;1100
619700;2009010603;79;1100
619700;2009010604;82;1100
619700;2009010605;83;1100
619700;2009010606;79;1100
619700;2009010607;75;1100
619700;2009010608;72;1100
619700;2009010609;69;1100
619700;2009010610;74;1100
619700;2009010611;77;1100
619700;2009010612;80;1100
619700;2009010613;83;1100
619700;2009010614;84;1100
619700;2009010615;84;1100
619700;2009010616;81;1100
619700;2009010617;78;1100
619700;2009010618;76;1100
619700;2009010619;74;1100
619700;2009010620;74;1100
619700;2009010621;84;1100
619700;2009010622;83;1100
619700;2009010623;82;1100
619700;2009010700;80;1100
619700;2009010701;78;1100
619700;2009010702;83;1100
619700;2009010703;92;1100
619700;2009010704;92;1100
619700;2009010705;90;1100
619700;2009010706;90;1100
619700;2009010707;83;1100
619700;2009010708;81;1100
619700;2009010709;79;1100
619700;2009010710;73;1100
619700;2009010711;74;1100
619700;2009010712;73;1100
619700;2009010713;70;1100
619700;2009010714;67;1100
619700;2009010715;62;1100
619700;2009010716;60;1100
619700;2009010717;60;1100
619700;2009010718;63;1100
619700;2009010719;67;1100
619700;2009010720;65;1100
619700;2009010721;62;1100
619700;2009010722;65;1100
619700;2009010723;71;1100
619700;2009010800;74;1100
619700;2009010801;73;1100
619700;2009010802;72;1100
619700;2009010803;72;1100
619700;2009010804;72;1100
619700;2009010805;71;1100
619700;2009010806;69;1100
619700;2009010807;71;1100
619700;2009010808;71;1100
619700;2009010809;70;1100
619700;2009010810;63;1100
619700;2009010811;63;1100
619700;2009010812;70;1100
619700;2009010813;75;1100
619700;2009010814;74;1100
619700;2009010815;84;1100
619700;2009010816;84;1100
619700;2009010817;83;1100
