statid;timeobs;wind_speed_mean(m/s);label
606000;2009010100;3.1;1100
606000;2009010101;3.6;1100
606000;2009010102;2.6;1100
606000;2009010103;2.6;1100
606000;2009010104;1;1100
606000;2009010105;0.5;1100
606000;2009010106;1.5;1100
606000;2009010107;1.5;1100
606000;2009010108;1.5;1100
606000;2009010109;2.1;1100
606000;2009010110;1.5;1100
606000;2009010111;2.6;1100
606000;2009010112;2.6;1100
606000;2009010113;2.6;1100
606000;2009010114;1.5;1100
606000;2009010115;2.6;1100
606000;2009010116;2.1;1100
606000;2009010117;2.6;1100
606000;2009010118;2.1;1100
606000;2009010119;2.1;1100
606000;2009010120;0.5;1100
606000;2009010121;1;1100
606000;2009010122;1.5;1100
606000;2009010123;1;1100
606000;2009010200;0;1100
606000;2009010201;0.5;1100
606000;2009010202;0;1100
606000;2009010203;0.5;1100
606000;2009010204;0.5;1100
606000;2009010205;0;1100
606000;2009010206;0;1100
606000;2009010207;0.5;1100
606000;2009010208;1;1100
606000;2009010209;1;1100
606000;2009010210;1;1100
606000;2009010211;0.5;1100
606000;2009010212;0.5;1100
606000;2009010213;1;1100
606000;2009010214;1;1100
606000;2009010215;1;1100
606000;2009010216;1.5;1100
606000;2009010217;2.1;1100
606000;2009010218;2.6;1100
606000;2009010219;2.6;1100
606000;2009010220;3.6;1100
606000;2009010221;3.6;1100
606000;2009010222;4.1;1100
606000;2009010223;4.6;1100
606000;2009010300;4.1;1100
606000;2009010301;4.1;1100
606000;2009010302;4.6;1100
606000;2009010303;6.2;1100
606000;2009010304;4.6;1100
606000;2009010305;3.6;1100
606000;2009010306;3.6;1100
606000;2009010307;4.1;1100
606000;2009010308;6.2;1100
606000;2009010309;6.7;1100
606000;2009010310;7.2;1100
606000;2009010311;8.8;1100
606000;2009010312;9.8;1100
606000;2009010313;9.3;1100
606000;2009010314;8.2;1100
606000;2009010315;7.7;1100
606000;2009010316;6.2;1100
606000;2009010317;4.6;1100
606000;2009010318;3.6;1100
606000;2009010319;3.1;1100
606000;2009010320;2.6;1100
606000;2009010321;2.6;1100
606000;2009010322;0;1100
606000;2009010323;0.7;1000
606000;2009010400;0;1100
606000;2009010401;0.5;1100
606000;2009010402;1.5;1100
606000;2009010403;2.1;1100
606000;2009010404;2.1;1100
606000;2009010405;1.5;1100
606000;2009010406;2.1;1100
606000;2009010407;2.6;1100
606000;2009010408;2.6;1100
606000;2009010409;3.1;1100
606000;2009010410;3.6;1100
606000;2009010411;3.6;1100
606000;2009010412;4.1;1100
606000;2009010413;4.6;1100
606000;2009010414;4.1;1100
606000;2009010415;3.6;1100
606000;2009010416;4.6;1100
606000;2009010417;4.1;1100
606000;2009010418;3.6;1100
606000;2009010419;3.1;1100
606000;2009010420;2.6;1100
606000;2009010421;2.1;1100
606000;2009010422;2.1;1100
606000;2009010423;2.6;1100
606000;2009010500;2.6;1100
606000;2009010501;3.1;1100
606000;2009010502;3.1;1100
606000;2009010503;2.6;1100
606000;2009010504;2.1;1100
606000;2009010505;1.5;1100
606000;2009010506;1.5;1100
606000;2009010507;1;1100
606000;2009010508;1;1100
606000;2009010509;0.5;1100
606000;2009010510;0.5;1100
606000;2009010511;1;1100
606000;2009010512;2.1;1100
606000;2009010513;1.5;1100
606000;2009010514;1;1100
606000;2009010515;1.5;1100
606000;2009010516;1.5;1100
606000;2009010517;1.5;1100
606000;2009010518;2.1;1100
606000;2009010519;2.6;1100
606000;2009010520;3.1;1100
606000;2009010521;3.1;1100
606000;2009010522;3.6;1100
606000;2009010523;3.6;1100
606000;2009010600;3.6;1100
606000;2009010601;3.6;1100
606000;2009010602;4.1;1100
606000;2009010603;3.6;1100
606000;2009010604;3.6;1100
606000;2009010605;3.6;1100
606000;2009010606;3.6;1100
606000;2009010607;2.6;1100
606000;2009010608;3.6;1100
606000;2009010609;3.6;1100
606000;2009010610;4.1;1100
606000;2009010611;4.6;1100
606000;2009010612;5.7;1100
606000;2009010613;5.7;1100
606000;2009010614;5.7;1100
606000;2009010615;6.2;1100
606000;2009010616;7.2;1100
606000;2009010617;7.7;1100
606000;2009010618;7.7;1100
606000;2009010619;7.7;1100
606000;2009010620;7.7;1100
606000;2009010621;7.2;1100
606000;2009010622;6.2;1100
606000;2009010623;6.7;1100
606000;2009010700;6.7;1100
606000;2009010701;6.2;1100
606000;2009010702;6.7;1100
606000;2009010703;6.2;1100
606000;2009010704;5.1;1100
606000;2009010705;4.1;1100
606000;2009010706;4.6;1100
606000;2009010707;4.1;1100
606000;2009010708;3.6;1100
606000;2009010709;3.1;1100
606000;2009010710;3.6;1100
606000;2009010711;3.6;1100
606000;2009010712;4.1;1100
606000;2009010713;4.1;1100
606000;2009010714;3.1;1100
606000;2009010715;2.1;1100
606000;2009010716;2.1;1100
606000;2009010717;2.1;1100
606000;2009010718;1.5;1100
606000;2009010719;1.5;1100
606000;2009010720;1.5;1100
606000;2009010721;1.5;1100
