statid;timeobs;Integrated_water_vapour_mean_[kg/m^2];Quality_label
619700;2009010100; 5.7813;1000
619700;2009010101; 6.3041;1000
619700;2009010102; 6.8796;1000
619700;2009010103; 6.6456;1000
619700;2009010104; 5.7817;1000
619700;2009010105; 4.8551;1000
619700;2009010106; 3.8860;1000
619700;2009010107; 3.1141;1000
619700;2009010108; 2.7794;1000
619700;2009010109; 2.7198;1000
619700;2009010110; 3.0655;1000
619700;2009010111; 3.0185;1000
619700;2009010112; 2.9752;1000
619700;2009010113; 2.9817;1000
619700;2009010114; 2.9957;1000
619700;2009010115; 2.9843;1000
619700;2009010116; 2.9426;1000
619700;2009010117; 2.9062;1000
619700;2009010118; 2.8831;1000
619700;2009010119; 2.8455;1000
619700;2009010120; 2.7755;1000
619700;2009010121; 2.6886;1000
619700;2009010122; 2.7424;1000
619700;2009010123; 2.7430;1000
619700;2009010200; 2.8237;1000
619700;2009010201; 2.9924;1000
619700;2009010202; 3.2364;1000
619700;2009010203; 3.4271;1000
619700;2009010204; 3.4439;1000
619700;2009010205; 3.4234;1000
619700;2009010206; 3.3902;1000
619700;2009010207; 3.3276;1000
619700;2009010208; 3.2507;1000
619700;2009010209; 3.1550;1000
619700;2009010210; 3.3564;1000
619700;2009010211; 3.3592;1000
619700;2009010212; 3.3391;1000
619700;2009010213; 3.3478;1000
619700;2009010214; 3.5306;1000
619700;2009010215; 3.8241;1000
619700;2009010216; 4.0568;1000
619700;2009010217; 4.2101;1000
619700;2009010218; 4.3130;1000
619700;2009010219; 4.2951;1000
619700;2009010220; 4.3097;1000
619700;2009010221; 4.4917;1000
619700;2009010222; 4.9288;1000
619700;2009010223; 4.9770;1000
619700;2009010300; 5.0921;1000
619700;2009010301; 5.2352;1000
619700;2009010302; 5.2460;1000
619700;2009010303; 5.0659;1000
619700;2009010304; 4.9149;1000
619700;2009010305; 4.9949;1000
619700;2009010306; 5.0860;1000
619700;2009010307; 5.4320;1000
619700;2009010308; 5.7664;1000
619700;2009010309; 6.4637;1000
619700;2009010310; 7.7440;1000
619700;2009010311; 7.8404;1000
619700;2009010312; 7.3851;1000
619700;2009010313; 6.5066;1000
619700;2009010314; 5.7111;1000
619700;2009010315; 5.2762;1000
619700;2009010316; 4.8880;1000
619700;2009010317; 4.5725;1000
619700;2009010318; 4.3400;1000
619700;2009010319; 4.2511;1000
619700;2009010320; 4.1363;1000
619700;2009010321; 3.9282;1000
619700;2009010322; 3.6861;1000
619700;2009010323; 3.4342;1000
619700;2009010400; 3.1946;1000
619700;2009010401; 2.9781;1000
619700;2009010402; 2.7489;1000
619700;2009010403; 2.5431;1000
619700;2009010404; 2.4298;1000
619700;2009010405; 2.3878;1000
619700;2009010406; 2.3564;1000
619700;2009010407; 2.3020;1000
619700;2009010408; 2.2465;1000
619700;2009010409; 2.2479;1000
619700;2009010410; 2.4546;1000
619700;2009010411; 2.4892;1000
619700;2009010412; 2.5141;1000
619700;2009010413; 2.5323;1000
619700;2009010414; 2.5389;1000
619700;2009010415; 2.5013;1000
619700;2009010416; 2.4627;1000
619700;2009010417; 2.4472;1000
619700;2009010418; 2.4228;1000
619700;2009010419; 2.3611;1000
619700;2009010420; 2.2760;1000
619700;2009010421; 2.1841;1000
619700;2009010422; 2.2357;1000
619700;2009010423; 2.1384;1000
619700;2009010500; 2.0468;1000
619700;2009010501; 1.9931;1000
619700;2009010502; 2.0624;1000
