 statid;timeobs;Direct_normal_illuminance_mean_[lx];Quality_label
619700;2008102708;     0;1000
619700;2008102709;     0;1000
619700;2008102710;  9403;1000
619700;2008102711;  1787;1000
619700;2008102712;  4782;1000
619700;2008102713;  1166;1000
619700;2008102714;   621;1000
619700;2008102715;  8381;1000
619700;2008102716;     0;1000
619700;2008102717;     0;1000
619700;2008102718;     0;1000
619700;2008102719;     0;1000
619700;2008102720;     0;1000
619700;2008102721;     0;1000
619700;2008102722;     0;1000
619700;2008102723;     0;1000
619700;2008102800;     0;1000
619700;2008102801;     0;1000
619700;2008102802;     0;1000
619700;2008102803;     0;1000
619700;2008102804;     0;1000
619700;2008102805;     0;1000
619700;2008102806;     0;1000
619700;2008102807; 10917;1000
619700;2008102808; 27724;1000
619700;2008102809; 32410;1000
619700;2008102810; 36438;1000
619700;2008102811; 42800;1000
619700;2008102812; 44605;1000
619700;2008102813; 43504;1000
619700;2008102814; 21180;1000
619700;2008102815;  5450;1000
619700;2008102816;     0;1000
619700;2008102817;     0;1000
619700;2008102818;     0;1000
619700;2008102819;     0;1000
619700;2008102820;     0;1000
619700;2008102821;     0;1000
619700;2008102822;     0;1000
619700;2008102823;     0;1000
619700;2008102900;     0;1000
619700;2008102901;     0;1000
619700;2008102902;     0;1000
619700;2008102903;     0;1000
619700;2008102904;     0;1000
619700;2008102905;     0;1000
619700;2008102906;     0;1000
619700;2008102907;  3482;1000
619700;2008102908;   139;1000
619700;2008102909;     0;1000
619700;2008102910;   149;1000
619700;2008102911;   402;1000
619700;2008102912;   332;1000
619700;2008102913;  5617;1000
619700;2008102914; 27621;1000
619700;2008102915; 11394;1000
619700;2008102916;     0;1000
619700;2008102917;     0;1000
619700;2008102918;     0;1000
619700;2008102919;     0;1000
619700;2008102920;     0;1000
619700;2008102921;     0;1000
619700;2008102922;     0;1000
619700;2008102923;     0;1000
619700;2008103000;     0;1000
619700;2008103001;     0;1000
619700;2008103002;     0;1000
619700;2008103003;     0;1000
619700;2008103004;     0;1000
619700;2008103005;     0;1000
619700;2008103006;     0;1000
619700;2008103007;     0;1000
619700;2008103008;     0;1000
619700;2008103009;     0;1000
619700;2008103010;     0;1000
619700;2008103011;     0;1000
619700;2008103012;     0;1000
619700;2008103013;     0;1000
619700;2008103014;     0;1000
619700;2008103015;     0;1000
619700;2008103016;     0;1000
619700;2008103017;     0;1000
619700;2008103018;     0;1000
619700;2008103019;     0;1000
619700;2008103020;     0;1000
619700;2008103021;     0;1000
619700;2008103022;     0;1000
619700;2008103023;     0;1000
619700;2008103100;     0;1000
619700;2008103101;     0;1000
619700;2008103102;     0;1000
619700;2008103103;     0;1000
619700;2008103104;     0;1000
619700;2008103105;     0;1000
619700;2008103106;     0;1000
619700;2008103107; 13165;1000
619700;2008103108; 11009;1000
619700;2008103109;   132;1000
619700;2008103110; 29999;1000
619700;2008103111; 46654;1000
619700;2008103112; 38795;1000
619700;2008103113; 14349;1000
619700;2008103114;  5256;1000
619700;2008103115;  1701;1000
619700;2008103116;  1415;1000
619700;2008103117;     0;1000
619700;2008103118;     0;1000
619700;2008103119;     0;1000
619700;2008103120;     0;1000
619700;2008103121;     0;1000
619700;2008103122;     0;1000
619700;2008103123;     0;1000
619700;2010110100;     0;1000
619700;2010110101;     0;1000
619700;2010110102;     0;1000
619700;2010110103;     0;1000
619700;2010110104;     0;1000
619700;2010110105;     0;1000
619700;2010110106;     0;1000
619700;2010110107;     0;1000
619700;2010110108;     0;1000
619700;2010110109;     0;1000
619700;2010110110;   273;1000
619700;2010110111;     0;1000
619700;2010110112;     0;1000
619700;2010110113;     0;1000
619700;2010110114;     0;1000
619700;2010110115;     0;1000
619700;2010110116;     0;1000
619700;2010110117;     0;1000
619700;2010110118;     0;1000
619700;2010110119;     0;1000
619700;2010110120;     0;1000
619700;2010110121;     0;1000
619700;2010110122;     0;1000
619700;2010110123;     0;1000
619700;2010110200;     0;1000
619700;2010110201;     0;1000
619700;2010110202;     0;1000
619700;2010110203;     0;1000
619700;2010110204;     0;1000
619700;2010110205;     0;1000
619700;2010110206;     0;1000
619700;2010110207;     0;1000
619700;2010110208;     0;1000
619700;2010110209;     0;1000
619700;2010110210;     0;1000
619700;2010110211;     0;1000
619700;2010110212;     0;1000
619700;2010110213;     0;1000
619700;2010110214;     0;1000
619700;2010110215;     0;1000
619700;2010110216;     0;1000
619700;2010110217;     0;1000
619700;2010110218;     0;1000
619700;2010110219;     0;1000
619700;2010110220;     0;1000
619700;2010110221;     0;1000
619700;2010110222;     0;1000
619700;2010110223;     0;1000
619700;2010110300;     0;1000
619700;2010110301;     0;1000
619700;2010110302;     0;1000
619700;2010110303;     0;1000
619700;2010110304;     0;1000
619700;2010110305;     0;1000
619700;2010110306;     0;1000
619700;2010110307;     0;1000
619700;2010110308;     0;1000
619700;2010110309;     0;1000
619700;2010110310;     0;1000
619700;2010110311;     0;1000
619700;2010110312;    76;1000
619700;2010110313; 30811;1000
619700;2010110314; 26842;1000
619700;2010110315;   520;1000
619700;2010110316;     0;1000
619700;2010110317;     0;1000
619700;2010110318;     0;1000
619700;2010110319;     0;1000
619700;2010110320;     0;1000
619700;2010110321;     0;1000
619700;2010110322;     0;1000
619700;2010110323;     0;1000
619700;2010110400;     0;1000
619700;2010110401;     0;1000
619700;2010110402;     0;1000
619700;2010110403;     0;1000
619700;2010110404;     0;1000
619700;2010110405;     0;1000
619700;2010110406;     0;1000
619700;2010110407;     0;1000
619700;2010110408;     0;1000
619700;2010110409;     0;1000
619700;2010110410;     0;1000
619700;2010110411;    26;1000
619700;2010110412;  5882;1000
619700;2010110413;   215;1000
619700;2010110414;     0;1000
619700;2010110415;     0;1000
619700;2010110416;     0;1000
619700;2010110417;     0;1000
619700;2010110418;     0;1000
619700;2010110419;     0;1000
619700;2010110420;     0;1000
619700;2010110421;     0;1000
619700;2010110422;     0;1000
619700;2010110423;     0;1000
619700;2010110500;     0;1000
619700;2010110501;     0;1000
619700;2010110502;     0;1000
619700;2010110503;     0;1000
619700;2010110504;     0;1000
619700;2010110505;     0;1000
619700;2010110506;     0;1000
619700;2010110507;   632;1000
619700;2010110508; 12860;1000
619700;2010110509;  8388;1000
619700;2010110510; 18859;1000
619700;2010110511;  7979;1000
619700;2010110512; 25744;1000
619700;2010110513;  3308;1000
619700;2010110514;   714;1000
619700;2010110515;     0;1000
619700;2010110516;     0;1000
619700;2010110517;     0;1000
619700;2010110518;     0;1000
619700;2010110519;     0;1000
619700;2010110520;     0;1000
619700;2010110521;     0;1000
619700;2010110522;     0;1000
619700;2010110523;     0;1000
619700;2010110600;     0;1000
619700;2010110601;     0;1000
619700;2010110602;     0;1000
619700;2010110603;     0;1000
619700;2010110604;     0;1000
619700;2010110605;     0;1000
619700;2010110606;     0;1000
619700;2010110607;     0;1000
619700;2010110608;     0;1000
619700;2010110609;     0;1000
619700;2010110610;  1251;1000
619700;2010110611;  4328;1000
619700;2010110612; 28616;1000
619700;2010110613; 22351;1000
619700;2010110614; 30436;1000
619700;2010110615;  8965;1000
619700;2010110616;     0;1000
619700;2010110617;     0;1000
619700;2010110618;     0;1000
619700;2010110619;     0;1000
619700;2010110620;     0;1000
619700;2010110621;     0;1000
619700;2010110622;     0;1000
619700;2010110623;     0;1000
619700;2010110700;     0;1000
619700;2010110701;     0;1000
619700;2010110702;     0;1000
619700;2010110703;     0;1000
619700;2010110704;     0;1000
619700;2010110705;     0;1000
619700;2010110706;     0;1000
619700;2010110707;     0;1000
619700;2010110708;  1912;1000
619700;2010110709; 26574;1000
619700;2010110710; 13094;1000
619700;2010110711;  1840;1000
619700;2010110712;   874;1000
619700;2010110713;  3761;1000
619700;2010110714;  3813;1000
619700;2010110715;   202;1000
619700;2010110716;     0;1000
619700;2010110717;     0;1000
619700;2010110718;     0;1000
619700;2010110719;     0;1000
619700;2010110720;     0;1000
619700;2010110721;     0;1000
619700;2010110722;     0;1000
619700;2010110723;     0;1000
619700;2010110800;     0;1000
619700;2010110801;     0;1000
619700;2010110802;     0;1000
619700;2010110803;     0;1000
619700;2010110804;     0;1000
619700;2010110805;     0;1000
619700;2010110806;     0;1000
619700;2010110807;     0;1000
619700;2010110808;     0;1000
619700;2010110809;     0;1000
619700;2010110810;     0;1000
619700;2010110811;     0;1000
619700;2010110812;     0;1000
619700;2010110813;     0;1000
619700;2010110814;     0;1000
619700;2010110815;     0;1000
619700;2010110816;     0;1000
619700;2010110817;     0;1000
619700;2010110818;     0;1000
619700;2010110819;     0;1000
619700;2010110820;     0;1000
619700;2010110821;     0;1000
619700;2010110822;     0;1000
619700;2010110823;     0;1000
619700;2010110900;     0;1000
619700;2010110901;     0;1000
619700;2010110902;     0;1000
619700;2010110903;     0;1000
619700;2010110904;     0;1000
619700;2010110905;     0;1000
619700;2010110906;     0;1000
619700;2010110907;     0;1000
619700;2010110908;     0;1000
619700;2010110909;     0;1000
619700;2010110910;     0;1000
619700;2010110911;     0;1000
619700;2010110912;   340;1000
619700;2010110913;   400;1000
619700;2010110914;  1821;1000
619700;2010110915;     0;1000
619700;2010110916;     0;1000
619700;2010110917;     0;1000
619700;2010110918;     0;1000
619700;2010110919;     0;1000
619700;2010110920;     0;1000
619700;2010110921;     0;1000
619700;2010110922;     0;1000
619700;2010110923;     0;1000
619700;2010111000;     0;1000
619700;2010111001;     0;1000
619700;2010111002;     0;1000
619700;2010111003;     0;1000
619700;2010111004;     0;1000
619700;2010111005;     0;1000
619700;2010111006;     0;1000
619700;2010111007;     0;1000
619700;2010111008;     0;1000
619700;2010111009;    50;1000
619700;2010111010;     0;1000
619700;2010111011;     0;1000
619700;2010111012;     0;1000
619700;2010111013;    92;1000
619700;2010111014;   107;1000
619700;2010111015;     0;1000
619700;2010111016;     0;1000
619700;2010111017;     0;1000
619700;2010111018;     0;1000
619700;2010111019;     0;1000
619700;2010111020;     0;1000
619700;2010111021;     0;1000
619700;2010111022;     0;1000
619700;2010111023;     0;1000
619700;2010111100;     0;1000
619700;2010111101;     0;1000
619700;2010111102;     0;1000
619700;2010111103;     0;1000
619700;2010111104;     0;1000
619700;2010111105;     0;1000
619700;2010111106;     0;1000
619700;2010111107;   608;1000
619700;2010111108;    76;1000
619700;2010111109; 26746;1000
619700;2010111110;  7284;1000
619700;2010111111; 10476;1000
619700;2010111112;  5309;1000
619700;2010111113;   162;1000
619700;2010111114;   859;1000
619700;2010111115;     0;1000
619700;2010111116;     0;1000
619700;2010111117;     0;1000
619700;2010111118;     0;1000
619700;2010111119;     0;1000
619700;2010111120;     0;1000
619700;2010111121;     0;1000
619700;2010111122;     0;1000
619700;2010111123;     0;1000
619700;2010111200;     0;1000
619700;2010111201;     0;1000
619700;2010111202;     0;1000
619700;2010111203;     0;1000
619700;2010111204;     0;1000
619700;2010111205;     0;1000
619700;2010111206;     0;1000
619700;2010111207;     0;1000
619700;2010111208;     0;1000
619700;2010111209;     0;1000
619700;2010111210;     0;1000
619700;2010111211;   652;1000
619700;2010111212;   213;1000
619700;2010111213;    88;1000
619700;2010111214;     0;1000
619700;2010111215;     0;1000
619700;2010111216;     0;1000
619700;2010111217;     0;1000
619700;2010111218;     0;1000
619700;2010111219;     0;1000
619700;2010111220;     0;1000
619700;2010111221;     0;1000
619700;2010111222;     0;1000
619700;2010111223;     0;1000
619700;2010111300;     0;1000
619700;2010111301;     0;1000
619700;2010111302;     0;1000
619700;2010111303;     0;1000
619700;2010111304;     0;1000
619700;2010111305;     0;1000
619700;2010111306;     0;1000
619700;2010111307;  1848;1000
619700;2010111308; 13398;1000
619700;2010111309; 32285;1000
619700;2010111310; 33055;1000
619700;2010111311; 38050;1000
619700;2010111312;  8526;1000
619700;2010111313;   578;1000
619700;2010111314;    42;1000
619700;2010111315;     0;1000
619700;2010111316;     0;1000
619700;2010111317;     0;1000
619700;2010111318;     0;1000
619700;2010111319;     0;1000
619700;2010111320;     0;1000
619700;2010111321;     0;1000
619700;2010111322;     0;1000
619700;2010111323;     0;1000
619700;2010111400;     0;1000
619700;2010111401;     0;1000
619700;2010111402;     0;1000
619700;2010111403;     0;1000
619700;2010111404;     0;1000
619700;2010111405;     0;1000
619700;2010111406;     0;1000
619700;2010111407;     0;1000
619700;2010111408;    66;1000
619700;2010111409;     0;1000
619700;2010111410;     0;1000
619700;2010111411;     0;1000
619700;2010111412;     0;1000
619700;2010111413;     0;1000
619700;2010111414;     0;1000
619700;2010111415;     0;1000
619700;2010111416;     0;1000
619700;2010111417;     0;1000
619700;2010111418;     0;1000
619700;2010111419;     0;1000
619700;2010111420;     0;1000
619700;2010111421;     0;1000
619700;2010111422;     0;1000
619700;2010111423;     0;1000
619700;2010111500;     0;1000
619700;2010111501;     0;1000
619700;2010111502;     0;1000
619700;2010111503;     0;1000
619700;2010111504;     0;1000
619700;2010111505;     0;1000
619700;2010111506;     0;1000
619700;2010111507;     0;1000
619700;2010111508;     0;1000
619700;2010111509; 13900;1000
619700;2010111510;   139;1000
619700;2010111511;  2502;1000
619700;2010111512; 12780;1000
619700;2010111513; 12495;1000
619700;2010111514; 11228;1000
619700;2010111515;  4218;1000
619700;2010111516;     0;1000
619700;2010111517;     0;1000
619700;2010111518;     0;1000
619700;2010111519;     0;1000
619700;2010111520;     0;1000
619700;2010111521;     0;1000
619700;2010111522;     0;1000
619700;2010111523;     0;1000
619700;2010111600;     0;1000
619700;2010111601;     0;1000
619700;2010111602;     0;1000
619700;2010111603;     0;1000
619700;2010111604;     0;1000
619700;2010111605;     0;1000
619700;2010111606;     0;1000
619700;2010111607;     0;1000
619700;2010111608;   697;1000
619700;2010111609;  8975;1000
619700;2010111610;  3580;1000
619700;2010111611;   269;1000
619700;2010111612;  1047;1000
619700;2010111613;    52;1000
619700;2010111614;     0;1000
619700;2010111615;     0;1000
619700;2010111616;     0;1000
619700;2010111617;     0;1000
619700;2010111618;     0;1000
619700;2010111619;     0;1000
619700;2010111620;     0;1000
619700;2010111621;     0;1000
619700;2010111622;     0;1000
619700;2010111623;     0;1000
619700;2010111700;     0;1000
619700;2010111701;     0;1000
619700;2010111702;     0;1000
619700;2010111703;     0;1000
619700;2010111704;     0;1000
619700;2010111705;     0;1000
619700;2010111706;     0;1000
619700;2010111707;     0;1000
619700;2010111708;     0;1000
619700;2010111709;     0;1000
619700;2010111710;     0;1000
619700;2010111711;     0;1000
619700;2010111712;     0;1000
619700;2010111713;     0;1000
619700;2010111714;     0;1000
619700;2010111715;     0;1000
619700;2010111716;     0;1000
619700;2010111717;     0;1000
619700;2010111718;     0;1000
619700;2010111719;     0;1000
619700;2010111720;     0;1000
619700;2010111721;     0;1000
619700;2010111722;     0;1000
619700;2010111723;     0;1000
619700;2010111800;     0;1000
619700;2010111801;     0;1000
619700;2010111802;     0;1000
619700;2010111803;     0;1000
619700;2010111804;     0;1000
619700;2010111805;     0;1000
619700;2010111806;     0;1000
619700;2010111807;     0;1000
619700;2010111808;     0;1000
619700;2010111809;     0;1000
619700;2010111810;     0;1000
619700;2010111811;     0;1000
619700;2010111812;     0;1000
619700;2010111813;     0;1000
619700;2010111814;     0;1000
619700;2010111815;     0;1000
