statid;timeobs;relative_humidity_mean(%);label
613600;2009010100;92;1100
613600;2009010101;92;1100
613600;2009010102;93;1100
613600;2009010103;94;1100
613600;2009010104;93;1100
613600;2009010105;95;1100
613600;2009010106;96;1100
613600;2009010107;96;1100
613600;2009010108;96;1100
613600;2009010109;96;1100
613600;2009010110;94;1100
613600;2009010111;91;1100
613600;2009010112;87;1100
613600;2009010113;90;1100
613600;2009010114;91;1100
613600;2009010115;90;1100
613600;2009010116;89;1100
613600;2009010117;87;1100
613600;2009010118;85;1100
613600;2009010119;84;1100
613600;2009010120;83;1100
613600;2009010121;85;1100
613600;2009010122;84;1100
613600;2009010123;86;1100
613600;2009010200;89;1100
613600;2009010201;91;1100
613600;2009010202;92;1100
613600;2009010203;92;1100
613600;2009010204;90;1100
613600;2009010205;90;1100
613600;2009010206;87;1100
613600;2009010207;85;1100
613600;2009010208;89;1100
613600;2009010209;86;1100
613600;2009010210;81;1100
613600;2009010211;82;1100
613600;2009010212;75;1100
613600;2009010213;73;1100
613600;2009010214;75;1100
613600;2009010215;80;1100
613600;2009010216;80;1100
613600;2009010217;81;1100
613600;2009010218;82;1100
613600;2009010219;78;1100
613600;2009010220;84;1100
613600;2009010221;80;1100
613600;2009010222;77;1100
613600;2009010223;80;1100
613600;2009010300;80;1100
613600;2009010301;79;1100
613600;2009010302;74;1100
613600;2009010303;79;1100
613600;2009010304;81;1100
613600;2009010305;87;1100
613600;2009010306;86;1100
613600;2009010307;88;1100
613600;2009010308;88;1100
613600;2009010309;89;1100
613600;2009010310;88;1100
613600;2009010311;86;1100
613600;2009010312;86;1100
613600;2009010313;87;1100
613600;2009010314;88;1100
613600;2009010315;94;1100
613600;2009010316;96;1100
613600;2009010317;94;1100
613600;2009010318;92;1100
613600;2009010319;92;1100
613600;2009010320;94;1100
613600;2009010321;95;1100
613600;2009010322;96;1100
613600;2009010323;97;1100
613600;2009010400;97;1100
613600;2009010401;97;1100
613600;2009010402;96;1100
613600;2009010403;96;1100
613600;2009010404;92;1100
613600;2009010405;91;1100
613600;2009010406;91;1100
613600;2009010407;91;1100
613600;2009010408;90;1100
613600;2009010409;89;1100
613600;2009010410;90;1100
