statid;timeobs (UTC);atmosfæretryk ved havniveau (hPa);label
606800;2009010100;1023.8;1100
606800;2009010101;1023.6;1100
606800;2009010102;1023.7;1100
606800;2009010103;1023.7;1100
606800;2009010104;1024.1;1100
606800;2009010105;1024.4;1100
606800;2009010106;1024.7;1100
606800;2009010107;1025.3;1100
606800;2009010108;1026;1100
606800;2009010109;1026.6;1100
606800;2009010110;1027;1100
606800;2009010111;1027.6;1100
606800;2009010112;1027.8;1100
606800;2009010113;1028;1100
606800;2009010114;1028;1100
606800;2009010115;1028.4;1100
606800;2009010116;1028.6;1100
606800;2009010117;1028.5;1100
606800;2009010118;1028.8;1100
606800;2009010119;1029.2;1100
606800;2009010120;1029.4;1100
606800;2009010121;1029.4;1100
606800;2009010122;1029.1;1100
606800;2009010123;1029.3;1100
606800;2009010200;1029.3;1100
606800;2009010201;1029;1100
606800;2009010202;1028.9;1100
606800;2009010203;1029.1;1100
606800;2009010204;1029.2;1100
606800;2009010205;1029.3;1100
606800;2009010206;1029.3;1100
606800;2009010207;1029.4;1100
606800;2009010208;1029.6;1100
606800;2009010209;1030.2;1100
606800;2009010210;1030.5;1100
606800;2009010211;1030.9;1100
606800;2009010212;1031.1;1100
606800;2009010213;1031;1100
606800;2009010214;1030.8;1100
606800;2009010215;1031.1;1100
606800;2009010216;1030.9;1100
606800;2009010217;1030.6;1100
606800;2009010218;1030.5;1100
606800;2009010219;1030.1;1100
606800;2009010220;1029.8;1100
606800;2009010221;1029.1;1100
606800;2009010222;1028.2;1100
606800;2009010223;1027.2;1100
606800;2009010300;1026;1100
606800;2009010301;1025;1100
606800;2009010302;1024.3;1100
606800;2009010303;1023.2;1100
606800;2009010304;1022.4;1100
606800;2009010305;1021.5;1100
606800;2009010306;1020.7;1100
606800;2009010307;1019.9;1100
606800;2009010308;1019.3;1100
606800;2009010309;1018.5;1100
606800;2009010310;1017.2;1100
606800;2009010311;1015.9;1100
606800;2009010312;1014.7;1100
606800;2009010313;1013.4;1100
606800;2009010314;1012.6;1100
606800;2009010315;1012.5;1100
606800;2009010316;1012.7;1100
606800;2009010317;1012.9;1100
606800;2009010318;1013;1100
606800;2009010319;1013.3;1100
606800;2009010320;1013.5;1100
606800;2009010321;1013.5;1100
606800;2009010322;1013.8;1100
606800;2009010323;1013.8;1100
606800;2009010400;1013.6;1100
606800;2009010401;1013.5;1100
606800;2009010402;1013.6;1100
606800;2009010403;1013.3;1100
606800;2009010404;1013.3;1100
606800;2009010405;1013.2;1100
606800;2009010406;1012.9;1100
606800;2009010407;1013;1100
606800;2009010408;1013.1;1100
606800;2009010409;1013.4;1100
606800;2009010410;1013.4;1100
606800;2009010411;1013.3;1100
606800;2009010412;1013.4;1100
606800;2009010413;1013.8;1100
606800;2009010414;1014.3;1100
606800;2009010415;1014.8;1100
606800;2009010416;1015.3;1100
606800;2009010417;1016.1;1100
606800;2009010418;1016.7;1100
606800;2009010419;1017.4;1100
606800;2009010420;1018.4;1100
606800;2009010421;1019.2;1100
606800;2009010422;1019.9;1100
606800;2009010423;1020.5;1100
606800;2009010500;1020.9;1100
606800;2009010501;1021.6;1100
606800;2009010502;1022.3;1100
606800;2009010503;1022.9;1100
606800;2009010504;1023.7;1100
606800;2009010505;1024.1;1100
606800;2009010506;1024.6;1100
606800;2009010507;1025.5;1100
606800;2009010508;1026.3;1100
606800;2009010509;1027.1;1100
606800;2009010510;1027.6;1100
606800;2009010511;1027.6;1100
606800;2009010512;1027.9;1100
606800;2009010513;1028;1100
606800;2009010514;1028.1;1100
606800;2009010515;1028.5;1100
606800;2009010516;1028.8;1100
606800;2009010517;1029;1100
606800;2009010518;1029.1;1100
606800;2009010519;1029.2;1100
606800;2009010520;1029.1;1100
606800;2009010521;1029;1100
606800;2009010522;1028.8;1100
606800;2009010523;1028.3;1100
606800;2009010600;1027.7;1100
606800;2009010601;1027.1;1100
606800;2009010602;1026.6;1100
606800;2009010603;1025.9;1100
606800;2009010604;1025.2;1100
606800;2009010605;1024.3;1100
606800;2009010606;1023.9;1100
606800;2009010607;1023.4;1100
606800;2009010608;1022.9;1100
606800;2009010609;1022.6;1100
606800;2009010610;1022;1100
606800;2009010611;1021.1;1100
606800;2009010612;1019.9;1100
606800;2009010613;1019.1;1100
606800;2009010614;1018.2;1100
606800;2009010615;1017.2;1100
606800;2009010616;1016.4;1100
606800;2009010617;1015.3;1100
606800;2009010618;1014.1;1100
606800;2009010619;1013;1100
606800;2009010620;1011.9;1100
606800;2009010621;1010.8;1100
606800;2009010622;1010.3;1100
606800;2009010623;1010.2;1100
606800;2009010700;1010;1100
606800;2009010701;1009.9;1100
606800;2009010702;1010.2;1100
606800;2009010703;1010.3;1100
606800;2009010704;1010.9;1100
606800;2009010705;1011.4;1100
606800;2009010706;1011.9;1100
606800;2009010707;1012.4;1100
606800;2009010708;1013.2;1100
606800;2009010709;1014.2;1100
606800;2009010710;1015.1;1100
606800;2009010711;1015.8;1100
606800;2009010712;1016.3;1100
606800;2009010713;1017.1;1100
606800;2009010714;1018.1;1100
606800;2009010715;1019.1;1100
606800;2009010716;1020.2;1100
606800;2009010717;1021.2;1100
606800;2009010718;1022.2;1100
606800;2009010719;1023;1100
606800;2009010720;1023.8;1100
606800;2009010721;1024.6;1100
606800;2009010722;1025.1;1100
606800;2009010723;1025.2;1100
606800;2009010800;1025.5;1100
606800;2009010801;1025.8;1100
606800;2009010802;1025.9;1100
606800;2009010803;1025.6;1100
606800;2009010804;1025.4;1100
606800;2009010805;1024.8;1100
606800;2009010806;1024.4;1100
606800;2009010807;1024.1;1100
606800;2009010808;1024;1100
606800;2009010809;1023.7;1100
606800;2009010810;1023.5;1100
606800;2009010811;1023.1;1100
606800;2009010812;1022.5;1100
606800;2009010813;1022;1100
606800;2009010814;1021.9;1100
606800;2009010815;1021.8;1100
606800;2009010816;1021.9;1100
606800;2009010817;1022;1100
606800;2009010818;1021.8;1100
606800;2009010819;1021.6;1100
606800;2009010820;1021.7;1100
606800;2009010821;1021.8;1100
606800;2009010822;1021.9;1100
606800;2009010823;1021.8;1100
606800;2009010900;1021.7;1100
606800;2009010901;1021.8;1100
606800;2009010902;1022.3;1100
606800;2009010903;1022.2;1100
606800;2009010904;1022.3;1100
606800;2009010905;1022.4;1100
606800;2009010906;1022.3;1100
606800;2009010907;1022.7;1100
606800;2009010908;1023.4;1100
606800;2009010909;1024;1100
606800;2009010910;1024.4;1100
606800;2009010911;1024.6;1100
606800;2009010912;1024.5;1100
606800;2009010913;1024.6;1100
606800;2009010914;1024.7;1100
606800;2009010915;1025;1100
606800;2009010916;1025.4;1100
606800;2009010917;1025.5;1100
606800;2009010918;1025.8;1100
606800;2009010919;1026.1;1100
606800;2009010920;1026.2;1100
606800;2009010921;1026.6;1100
606800;2009010922;1027;1100
606800;2009010923;1027.2;1100
606800;2009011000;1027.2;1100
606800;2009011001;1027.1;1100
606800;2009011002;1027.2;1100
606800;2009011003;1027.3;1100
606800;2009011004;1027.2;1100
606800;2009011005;1027;1100
606800;2009011006;1026.7;1100
606800;2009011007;1026.8;1100
606800;2009011008;1027;1100
606800;2009011009;1027.4;1100
606800;2009011010;1027.6;1100
606800;2009011011;1027.1;1100
606800;2009011012;1026.2;1100
606800;2009011013;1025.5;1100
606800;2009011014;1025.3;1100
606800;2009011015;1025;1100
606800;2009011016;1024.8;1100
606800;2009011017;1024.8;1100
606800;2009011018;1024.2;1100
606800;2009011019;1024.4;1100
606800;2009011020;1023.7;1100
606800;2009011021;1023.6;1100
606800;2009011022;1022.7;1100
606800;2009011023;1022;1100
606800;2009011100;1021.4;1100
606800;2009011101;1021.3;1100
606800;2009011102;1021.3;1100
606800;2009011103;1020.6;1100
606800;2009011104;1020.5;1100
606800;2009011105;1020.2;1100
606800;2009011106;1019.7;1100
606800;2009011107;1019.4;1100
606800;2009011108;1019;1100
606800;2009011109;1019.1;1100
606800;2009011110;1019.1;1100
606800;2009011111;1018.5;1100
606800;2009011112;1017.8;1100
606800;2009011113;1017.2;1100
606800;2009011114;1016.3;1100
606800;2009011115;1015.8;1100
606800;2009011116;1015.3;1100
606800;2009011117;1015.1;1100
606800;2009011118;1015.1;1100
606800;2009011119;1015;1100
606800;2009011120;1014.9;1100
606800;2009011121;1014.5;1100
606800;2009011122;1014.3;1100
606800;2009011123;1014.3;1100
606800;2009011200;1013.4;1100
606800;2009011201;1012.6;1100
606800;2009011202;1012.2;1100
606800;2009011203;1011.9;1100
606800;2009011204;1011.6;1100
606800;2009011205;1011;1100
606800;2009011206;1010.4;1100
