statid;timeobs;temperature_mean(ºC);label
613600;2009010100;0.1;1100
613600;2009010101;0.3;1100
613600;2009010102;0.5;1100
613600;2009010103;0;1100
613600;2009010104;0.2;1100
613600;2009010105;-0.9;1100
613600;2009010106;-1.6;1100
613600;2009010107;-2.8;1100
613600;2009010108;-2.5;1100
613600;2009010109;-1.4;1100
613600;2009010110;0.5;1100
613600;2009010111;0.3;1100
613600;2009010112;0.5;1100
613600;2009010113;0.1;1100
613600;2009010114;0;1100
613600;2009010115;-0.3;1100
613600;2009010116;-0.5;1100
613600;2009010117;-0.6;1100
613600;2009010118;-0.7;1100
613600;2009010119;-0.9;1100
613600;2009010120;-0.9;1100
613600;2009010121;-1.1;1100
613600;2009010122;-1.4;1100
613600;2009010123;-2.4;1100
613600;2009010200;-3.5;1100
613600;2009010201;-4;1100
613600;2009010202;-4.4;1100
613600;2009010203;-5;1100
613600;2009010204;-4.6;1100
613600;2009010205;-4.4;1100
613600;2009010206;-4.5;1100
613600;2009010207;-4.4;1100
613600;2009010208;-4.7;1100
613600;2009010209;-2.7;1100
613600;2009010210;-0.8;1100
613600;2009010211;-0.3;1100
613600;2009010212;0.6;1100
613600;2009010213;0.9;1100
613600;2009010214;0.4;1100
613600;2009010215;-0.8;1100
613600;2009010216;-1.4;1100
613600;2009010217;-1.9;1100
613600;2009010218;-2;1100
613600;2009010219;-1.1;1100
613600;2009010220;-1.3;1100
613600;2009010221;-1.2;1100
613600;2009010222;-1.4;1100
613600;2009010223;-1.1;1100
613600;2009010300;-0.9;1100
613600;2009010301;-0.4;1100
613600;2009010302;0.2;1100
613600;2009010303;0.6;1100
613600;2009010304;1;1100
613600;2009010305;1.4;1100
613600;2009010306;1.6;1100
613600;2009010307;1.7;1100
613600;2009010308;1.7;1100
613600;2009010309;2;1100
613600;2009010310;2.4;1100
613600;2009010311;2.8;1100
613600;2009010312;3.2;1100
613600;2009010313;3.5;1100
613600;2009010314;3.8;1100
613600;2009010315;3.3;1100
613600;2009010316;3.7;1100
613600;2009010317;4.1;1100
613600;2009010318;4.1;1100
613600;2009010319;3.4;1100
613600;2009010320;2.6;1100
613600;2009010321;2.1;1100
613600;2009010322;1.3;1100
613600;2009010323;0.9;1100
613600;2009010400;0.4;1100
613600;2009010401;0.1;1100
613600;2009010402;0;1100
613600;2009010403;-0.3;1100
613600;2009010404;-0.6;1100
613600;2009010405;-0.8;1100
613600;2009010406;-0.9;1100
613600;2009010407;-1;1100
613600;2009010408;-1.2;1100
613600;2009010409;-1.1;1100
613600;2009010410;-1;1100
613600;2009010411;-0.7;1100
613600;2009010412;-0.5;1100
613600;2009010413;-0.5;1100
613600;2009010414;-0.7;1100
613600;2009010415;-1.4;1100
613600;2009010416;-1.9;1100
613600;2009010417;-2.2;1100
613600;2009010418;-2.6;1100
613600;2009010419;-3.3;1100
613600;2009010420;-3.9;1100
613600;2009010421;-4.9;1100
613600;2009010422;-5.9;1100
613600;2009010423;-6.3;1100
613600;2009010500;-6.4;1100
613600;2009010501;-6.6;1100
613600;2009010502;-6.6;1100
613600;2009010503;-6.4;1100
613600;2009010504;-6.2;1100
613600;2009010505;-6.4;1100
613600;2009010506;-6.6;1100
613600;2009010507;-6.9;1100
613600;2009010508;-7.1;1100
613600;2009010509;-6;1100
613600;2009010510;-4.7;1100
613600;2009010511;-3.7;1100
613600;2009010512;-3;1100
613600;2009010513;-2.5;1100
613600;2009010514;-2.5;1100
613600;2009010515;-3.5;1100
613600;2009010516;-4.9;1100
613600;2009010517;-7.1;1100
613600;2009010518;-7.8;1100
613600;2009010519;-7.4;1100
613600;2009010520;-8.2;1100
613600;2009010521;-8;1100
613600;2009010522;-5.7;1100
613600;2009010523;-3.5;1100
613600;2009010600;-3.7;1100
613600;2009010601;-3.2;1100
613600;2009010602;-3.6;1100
613600;2009010603;-2.6;1100
613600;2009010604;-2.3;1100
613600;2009010605;-2.3;1100
613600;2009010606;-2.1;1100
613600;2009010607;-1.2;1100
613600;2009010608;-0.8;1100
613600;2009010609;-0.3;1100
613600;2009010610;-0.3;1100
613600;2009010611;0.3;1100
613600;2009010612;0.6;1100
613600;2009010613;1.3;1100
613600;2009010614;1.1;1100
613600;2009010615;1.1;1100
613600;2009010616;1;1100
613600;2009010617;0.9;1100
613600;2009010618;0.7;1100
613600;2009010619;1;1100
613600;2009010620;0.6;1100
613600;2009010621;0.7;1100
613600;2009010622;0.1;1100
613600;2009010623;0.4;1100
613600;2009010700;0.6;1100
613600;2009010701;0.6;1100
613600;2009010702;1.4;1100
613600;2009010703;2.2;1100
613600;2009010704;2.2;1100
613600;2009010705;2;1100
613600;2009010706;1.6;1100
613600;2009010707;1.5;1100
613600;2009010708;1.2;1100
613600;2009010709;1.2;1100
613600;2009010710;1.1;1100
613600;2009010711;1.7;1100
613600;2009010712;1.6;1100
613600;2009010713;2.1;1100
613600;2009010714;1.4;1100
613600;2009010715;-0.2;1100
613600;2009010716;-1.1;1100
613600;2009010717;-1.6;1100
613600;2009010718;-2.2;1100
613600;2009010719;-2.2;1100
613600;2009010720;-3.1;1100
613600;2009010721;-3.8;1100
613600;2009010722;-3.9;1100
613600;2009010723;-4.8;1100
613600;2009010800;-4.6;1100
613600;2009010801;-6.1;1100
613600;2009010802;-5.5;1100
613600;2009010803;-4.7;1100
613600;2009010804;-2.6;1100
613600;2009010805;-1.8;1100
613600;2009010806;-1;1100
613600;2009010807;-0.9;1100
613600;2009010808;-0.3;1100
613600;2009010809;0.4;1100
613600;2009010810;0.8;1100
613600;2009010811;1.1;1100
613600;2009010812;1.3;1100
613600;2009010813;1.6;1100
613600;2009010814;1.6;1100
613600;2009010815;1.5;1100
613600;2009010816;1.5;1100
613600;2009010817;1.6;1100
613600;2009010818;1.8;1100
613600;2009010819;2;1100
613600;2009010820;2;1100
613600;2009010821;2;1100
613600;2009010822;2;1100
613600;2009010823;2.5;1100
613600;2009010900;2.6;1100
613600;2009010901;2.9;1100
613600;2009010902;3.3;1100
613600;2009010903;3.8;1100
613600;2009010904;3.8;1100
613600;2009010905;3.8;1100
613600;2009010906;3.9;1100
613600;2009010907;3.8;1100
613600;2009010908;3.7;1100
613600;2009010909;3.9;1100
613600;2009010910;4.5;1100
613600;2009010911;4.7;1100
613600;2009010912;5.1;1100
613600;2009010913;5.4;1100
613600;2009010914;5.1;1100
613600;2009010915;4.2;1100
613600;2009010916;4.7;1100
613600;2009010917;4.7;1100
613600;2009010918;4.6;1100
613600;2009010919;4.4;1100
613600;2009010920;4.2;1100
613600;2009010921;4;1100
613600;2009010922;4.1;1100
613600;2009010923;4.2;1100
613600;2009011000;3.9;1100
613600;2009011001;3.7;1100
613600;2009011002;3.5;1100
613600;2009011003;3.6;1100
613600;2009011004;2.9;1100
613600;2009011005;2.2;1100
613600;2009011006;2.5;1100
613600;2009011007;2.4;1100
613600;2009011008;2.6;1100
613600;2009011009;2.8;1100
613600;2009011010;3.1;1100
613600;2009011011;3.1;1100
613600;2009011012;2.9;1100
613600;2009011013;2.8;1100
613600;2009011014;2.8;1100
613600;2009011015;2.7;1100
613600;2009011016;2.6;1100
613600;2009011017;2.6;1100
613600;2009011018;1.5;1100
613600;2009011019;1.4;1100
613600;2009011020;1.3;1100
613600;2009011021;1.2;1100
613600;2009011022;1.4;1100
613600;2009011023;1.2;1100
613600;2009011100;0.9;1100
613600;2009011101;0.5;1100
613600;2009011102;0.6;1100
