statid;timeobs;jordtemperatur 1m (°C);label
601900;20090101;5.3;1100
601900;20090102;5.0;1100
601900;20090103;4.6;1100
601900;20090104;4.3;1100
601900;20090105;4.0;1100
601900;20090106;3.7;1100
601900;20090107;3.4;1100
601900;20090108;3.3;1100
601900;20090109;3.2;1100
601900;20090110;3.1;1100
601900;20090111;3.1;1100
601900;20090112;3.1;1100
601900;20090113;3.0;1100
601900;20090114;3.0;1100
601900;20090115;3.1;1100
601900;20090116;3.2;1100
601900;20090117;3.3;1100
601900;20090118;3.4;1100
601900;20090119;3.5;1100
601900;20090120;3.5;1100
601900;20090121;3.5;1100
601900;20090122;3.4;1100
601900;20090123;3.4;1100
601900;20090124;3.4;1100
601900;20090125;3.4;1100
601900;20090126;3.6;1100
601900;20090127;3.8;1100
601900;20090128;4.1;1100
601900;20090129;4.3;1100
601900;20090130;4.4;1100
601900;20090131;4.5;1100
601900;20090201;4.5;1100
601900;20090202;4.4;1100
601900;20090203;4.3;1100
601900;20090204;4.2;1100
601900;20090205;4.1;1100
601900;20090206;4.1;1100
601900;20090207;4.1;1100
601900;20090208;4.1;1100
601900;20090209;4.1;1100
601900;20090210;4.0;1100
601900;20090211;4.0;1100
601900;20090212;3.9;1100
601900;20090213;3.8;1100
601900;20090214;3.7;1100
601900;20090215;3.6;1100
601900;20090216;3.5;1100
601900;20090217;3.3;1100
601900;20090218;3.2;1100
601900;20090219;3.1;1100
601900;20090220;3.1;1100
601900;20090221;3.1;1100
601900;20090222;3.1;1100
601900;20090223;3.1;1100
601900;20090224;3.1;1100
601900;20090225;3.1;1100
601900;20090226;3.1;1100
601900;20090227;3.1;1100
601900;20090228;3.1;1100
601900;20060301;3.0;1100
601900;20060302;2.9;1100
601900;20060303;2.9;1100
601900;20060304;2.8;1100
601900;20060305;2.7;1100
601900;20060306;2.7;1100
601900;20060307;2.7;1100
601900;20060308;2.8;1100
601900;20060309;2.9;1100
601900;20060310;3.1;1100
601900;20060311;3.3;1100
601900;20060312;3.5;1100
601900;20060313;3.7;1100
601900;20060314;3.9;1100
601900;20060315;3.9;1100
601900;20060316;3.7;1100
601900;20060317;3.5;1100
601900;20060318;3.3;1100
601900;20060319;3.1;1100
601900;20060320;2.8;1100
601900;20060321;2.5;1100
601900;20060322;2.5;1100
601900;20060323;2.5;1100
601900;20060324;2.5;1100
601900;20060325;2.5;1100
601900;20060326;2.4;1100
601900;20060327;2.4;1100
601900;20060328;2.4;1100
601900;20060329;2.4;1100
601900;20060330;2.4;1100
601900;20060331;2.3;1100
601900;20100401;2.3;1100
601900;20100402;2.3;1100
601900;20100403;2.3;1100
601900;20100404;2.3;1100
601900;20100405;2.3;1100
601900;20100406;2.3;1100
601900;20100407;2.3;1100
601900;20100408;2.3;1100
601900;20100409;2.4;1100
601900;20100410;2.5;1100
601900;20100411;2.7;1100
601900;20100412;3.0;1100
601900;20100413;3.3;1100
601900;20100414;3.7;1100
601900;20100415;4.1;1100
601900;20100416;4.6;1100
601900;20100417;4.9;1100
601900;20100418;5.1;1100
601900;20100419;5.3;1100
601900;20100420;5.5;1100
601900;20100421;5.7;1100
601900;20100422;5.8;1100
601900;20100423;6.0;1100
601900;20100424;6.2;1100
601900;20100425;6.3;1100
601900;20100426;6.5;1100
601900;20100427;6.6;1100
601900;20100428;6.8;1100
601900;20100429;6.8;1100
601900;20100430;6.9;1100
601900;20060501;6.9;1100
601900;20060502;7.0;1100
601900;20060503;7.1;1100
601900;20060504;7.1;1100
601900;20060505;7.0;1100
601900;20060506;7.0;1100
601900;20060507;6.9;1100
601900;20060508;6.9;1100
601900;20060509;6.8;1100
601900;20060510;6.9;1100
601900;20060511;7.0;1100
601900;20060512;7.2;1100
601900;20060513;7.4;1100
601900;20060514;7.6;1100
601900;20060515;7.9;1100
601900;20060516;8.1;1100
601900;20060517;8.4;1100
601900;20060518;8.6;1100
601900;20060519;9.0;1100
601900;20060520;9.3;1100
601900;20060521;9.7;1100
601900;20060522;10.0;1100
601900;20060523;10.4;1100
601900;20060524;10.7;1100
601900;20060525;10.9;1100
601900;20060526;11.0;1100
601900;20060527;11.1;1100
601900;20060528;11.1;1100
601900;20060529;11.0;1100
601900;20060530;10.9;1100
601900;20060531;10.7;1100
601900;20050601;10.6;1100
601900;20050602;10.4;1100
601900;20050603;10.3;1100
601900;20050604;10.3;1100
601900;20050605;10.4;1100
