statid;timeobs (UTC);vandtemperatur (°C);label
20303;2009010100;3.9;1100
20303;2009010101;3.9;1100
20303;2009010102;3.9;1100
20303;2009010103;3.9;1100
20303;2009010104;3.8;1100
20303;2009010105;3.8;1100
20303;2009010106;3.8;1100
20303;2009010107;3.8;1100
20303;2009010108;4;1100
20303;2009010109;4.1;1100
20303;2009010110;4;1100
20303;2009010111;4.1;1100
20303;2009010112;4.1;1100
20303;2009010113;4.1;1100
20303;2009010114;3.9;1100
20303;2009010115;3.9;1100
20303;2009010116;3.9;1100
20303;2009010117;3.9;1100
20303;2009010118;3.9;1100
20303;2009010119;4;1100
20303;2009010120;4;1100
20303;2009010121;3.9;1100
20303;2009010122;3.9;1100
20303;2009010123;3.8;1100
20303;2009010200;3.7;1100
20303;2009010201;3.6;1100
20303;2009010202;3.8;1100
20303;2009010203;3.8;1100
20303;2009010204;3.8;1100
20303;2009010205;3.7;1100
20303;2009010206;3.8;1100
20303;2009010207;3.8;1100
20303;2009010208;3.7;1100
20303;2009010209;3.7;1100
20303;2009010210;3.8;1100
20303;2009010211;3.8;1100
20303;2009010212;3.9;1100
20303;2009010213;3.8;1100
20303;2009010214;3.9;1100
20303;2009010215;3.9;1100
20303;2009010216;3.8;1100
20303;2009010217;3.8;1100
20303;2009010218;3.9;1100
20303;2009010219;3.7;1100
20303;2009010220;3.7;1100
20303;2009010221;3.7;1100
20303;2009010222;3.7;1100
20303;2009010223;3.7;1100
20303;2009010300;3.7;1100
20303;2009010301;3.7;1100
20303;2009010302;3.6;1100
20303;2009010303;3.6;1100
20303;2009010304;3.7;1100
20303;2009010305;3.7;1100
20303;2009010306;3.7;1100
20303;2009010307;3.7;1100
20303;2009010308;3.7;1100
20303;2009010309;3.7;1100
20303;2009010310;3.7;1100
20303;2009010311;3.7;1100
20303;2009010312;3.7;1100
20303;2009010313;3.7;1100
20303;2009010314;3.7;1100
20303;2009010315;3.7;1100
20303;2009010316;3.8;1100
20303;2009010317;3.9;1100
20303;2009010318;3.9;1100
20303;2009010319;3.9;1100
20303;2009010320;4;1100
20303;2009010321;4;1100
20303;2009010322;4;1100
20303;2009010323;4;1100
20303;2009010400;4;1100
20303;2009010401;4;1100
20303;2009010402;4;1100
20303;2009010403;4;1100
20303;2009010404;3.9;1100
20303;2009010405;3.7;1100
20303;2009010406;3.6;1100
20303;2009010407;3.6;1100
20303;2009010408;3.6;1100
20303;2009010409;3.6;1100
20303;2009010410;3.6;1100
20303;2009010411;3.6;1100
20303;2009010412;3.6;1100
20303;2009010413;3.7;1100
20303;2009010414;3.6;1100
20303;2009010415;3.6;1100
20303;2009010416;3.6;1100
20303;2009010417;3.6;1100
20303;2009010418;3.6;1100
20303;2009010419;3.6;1100
20303;2009010420;3.6;1100
20303;2009010421;3.5;1100
20303;2009010422;3.5;1100
20303;2009010423;3.4;1100
20303;2009010500;3.4;1100
20303;2009010501;3.4;1100
20303;2009010502;3.3;1100
20303;2009010503;3.3;1100
20303;2009010504;3.3;1100
20303;2009010505;3.2;1100
20303;2009010506;3.2;1100
20303;2009010507;3.2;1100
20303;2009010508;3.1;1100
20303;2009010509;3.1;1100
20303;2009010510;3.1;1100
20303;2009010511;3.1;1100
20303;2009010512;3.1;1100
20303;2009010513;3.1;1100
20303;2009010514;3.1;1100
20303;2009010515;3.1;1100
20303;2009010516;3.1;1100
20303;2009010517;3.2;1100
20303;2009010518;3.1;1100
20303;2009010519;3.1;1100
20303;2009010520;3.1;1100
20303;2009010521;3.1;1100
20303;2009010522;3;1100
20303;2009010523;3;1100
20303;2009010600;3;1100
20303;2009010601;2.9;1100
20303;2009010602;2.8;1100
20303;2009010603;3;1100
20303;2009010604;2.8;1100
20303;2009010605;2.7;1100
20303;2009010606;2.7;1100
20303;2009010607;2.9;1100
20303;2009010608;2.9;1100
20303;2009010609;2.9;1100
20303;2009010610;2.9;1100
20303;2009010611;2.9;1100
20303;2009010612;2.9;1100
20303;2009010613;2.9;1100
20303;2009010614;2.9;1100
20303;2009010615;2.9;1100
20303;2009010616;2.9;1100
20303;2009010617;2.9;1100
20303;2009010618;3;1100
20303;2009010619;2.9;1100
20303;2009010620;2.8;1100
20303;2009010621;2.8;1100
20303;2009010622;2.8;1100
20303;2009010623;2.8;1100
20303;2009010700;2.8;1100
20303;2009010701;2.8;1100
20303;2009010702;2.9;1100
20303;2009010703;3;1100
20303;2009010704;3;1100
20303;2009010705;3.1;1100
20303;2009010706;3;1100
20303;2009010707;3;1100
20303;2009010708;2.9;1100
20303;2009010709;3;1100
20303;2009010710;2.8;1100
20303;2009010711;3;1100
20303;2009010712;3;1100
20303;2009010713;3;1100
20303;2009010714;3;1100
20303;2009010715;2.9;1100
20303;2009010716;3;1100
20303;2009010717;2.9;1100
20303;2009010718;2.8;1100
20303;2009010719;2.9;1100
20303;2009010720;2.9;1100
20303;2009010721;2.9;1100
20303;2009010722;2.9;1100
20303;2009010723;2.9;1100
20303;2009010800;2.9;1100
20303;2009010801;3;1100
20303;2009010802;2.8;1100
20303;2009010803;2.5;1100
20303;2009010804;2.4;1100
20303;2009010805;2.4;1100
20303;2009010806;2.5;1100
20303;2009010807;2.5;1100
20303;2009010808;2.5;1100
20303;2009010809;2.6;1100
20303;2009010810;2.6;1100
20303;2009010811;2.6;1100
20303;2009010812;2.6;1100
20303;2009010813;2.7;1100
20303;2009010814;2.7;1100
20303;2009010815;2.7;1100
20303;2009010816;2.7;1100
20303;2009010817;2.7;1100
20303;2009010818;2.7;1100
20303;2009010819;2.7;1100
20303;2009010820;2.7;1100
20303;2009010821;2.7;1100
20303;2009010822;2.7;1100
20303;2009010823;2.7;1100
20303;2009010900;2.8;1100
20303;2009010901;2.8;1100
20303;2009010902;2.8;1100
20303;2009010903;2.8;1100
20303;2009010904;2.8;1100
20303;2009010905;2.8;1100
20303;2009010906;2.9;1100
20303;2009010907;2.9;1100
20303;2009010908;2.8;1100
20303;2009010909;2.8;1100
20303;2009010910;2.8;1100
20303;2009010911;2.8;1100
20303;2009010912;2.9;1100
20303;2009010913;2.8;1100
20303;2009010914;2.8;1100
20303;2009010915;2.8;1100
20303;2009010916;2.8;1100
20303;2009010917;2.8;1100
20303;2009010918;2.9;1100
20303;2009010919;2.8;1100
20303;2009010920;2.9;1100
20303;2009010921;2.9;1100
20303;2009010922;2.9;1100
20303;2009010923;2.9;1100
20303;2009011000;3;1100
20303;2009011001;3;1100
20303;2009011002;3;1100
20303;2009011003;2.9;1100
