statid;timeobs;wind_speed_mean(m/s);label
612300;2009010100;5.1;1100
612300;2009010101;5.6;1100
612300;2009010102;4.9;1100
612300;2009010103;4.3;1100
612300;2009010104;4.9;1100
612300;2009010105;5;1100
612300;2009010106;4.5;1100
612300;2009010107;3.9;1100
612300;2009010108;2.3;1100
612300;2009010109;2.9;1100
612300;2009010110;3.1;1100
612300;2009010111;2.4;1100
612300;2009010112;2.2;1100
612300;2009010113;3.1;1100
612300;2009010114;3.3;1100
612300;2009010115;4.8;1100
612300;2009010116;4.3;1100
612300;2009010117;4;1100
612300;2009010118;3.8;1100
612300;2009010119;3.6;1100
612300;2009010120;2.5;1100
612300;2009010121;0.7;1100
612300;2009010122;3.2;1100
612300;2009010123;3.1;1100
612300;2009010200;2.8;1100
612300;2009010201;2.3;1100
612300;2009010202;2.1;1100
612300;2009010203;2.1;1100
612300;2009010204;1.7;1100
612300;2009010205;1;1100
612300;2009010206;1.3;1100
612300;2009010207;2.1;1100
612300;2009010208;3;1100
612300;2009010209;2.6;1100
612300;2009010210;2;1100
612300;2009010211;2.3;1100
612300;2009010212;2.6;1100
612300;2009010213;2.5;1100
612300;2009010214;2.9;1100
612300;2009010215;2;1100
612300;2009010216;2.3;1100
612300;2009010217;2.6;1100
612300;2009010218;2.8;1100
612300;2009010219;3.2;1100
612300;2009010220;3.5;1100
612300;2009010221;3.1;1100
612300;2009010222;4;1100
612300;2009010223;5.1;1100
612300;2009010300;6.6;1100
612300;2009010301;9.5;1100
612300;2009010302;9.7;1100
612300;2009010303;9.1;1100
612300;2009010304;7.4;1100
612300;2009010305;6.6;1100
612300;2009010306;6.9;1100
612300;2009010307;6.8;1100
612300;2009010308;6.4;1100
612300;2009010309;6.3;1100
612300;2009010310;7.1;1100
612300;2009010311;6.9;1100
612300;2009010312;8.3;1100
612300;2009010313;10.8;1100
612300;2009010314;11.4;1100
612300;2009010315;10.1;1100
612300;2009010316;8.5;1100
612300;2009010317;6.2;1100
612300;2009010318;5.9;1100
612300;2009010319;5.9;1100
612300;2009010320;4.9;1100
612300;2009010321;3.8;1100
612300;2009010322;3.2;1100
612300;2009010323;3.2;1100
612300;2009010400;2.7;1100
612300;2009010401;2.1;1100
612300;2009010402;1.8;1100
612300;2009010403;1.5;1100
612300;2009010404;1.1;1100
612300;2009010405;0.9;1100
612300;2009010406;1.4;1100
612300;2009010407;1;1100
612300;2009010408;1.1;1100
612300;2009010409;1.4;1100
612300;2009010410;1.3;1100
612300;2009010411;3.4;1100
612300;2009010412;3.7;1100
612300;2009010413;3.3;1100
612300;2009010414;3.7;1100
612300;2009010415;5.1;1100
612300;2009010416;5.3;1100
612300;2009010417;5.9;1100
612300;2009010418;6;1100
612300;2009010419;5.6;1100
612300;2009010420;4.4;1100
612300;2009010421;3;1100
612300;2009010422;3.9;1100
612300;2009010423;3.8;1100
612300;2009010500;3.5;1100
612300;2009010501;2.8;1100
612300;2009010502;3.4;1100
612300;2009010503;3;1100
612300;2009010504;1.4;1100
612300;2009010505;2.6;1100
612300;2009010506;3.7;1100
612300;2009010507;3.1;1100
612300;2009010508;2.4;1100
612300;2009010509;2.2;1100
612300;2009010510;2.4;1100
612300;2009010511;2.4;1100
612300;2009010512;2.3;1100
612300;2009010513;0.8;1100
612300;2009010514;3;1100
612300;2009010515;3.2;1100
612300;2009010516;3.1;1100
612300;2009010517;2.7;1100
612300;2009010518;2.5;1100
612300;2009010519;1.8;1100
612300;2009010520;2.5;1100
612300;2009010521;2.2;1100
612300;2009010522;1.1;1100
612300;2009010523;3;1100
612300;2009010600;4.1;1100
612300;2009010601;5.6;1100
612300;2009010602;5.9;1100
612300;2009010603;7.2;1100
612300;2009010604;7.4;1100
612300;2009010605;8.2;1100
612300;2009010606;9.8;1100
612300;2009010607;9.4;1100
612300;2009010608;8.9;1100
612300;2009010609;8.9;1100
612300;2009010610;8.8;1100
612300;2009010611;8.2;1100
612300;2009010612;7.7;1100
612300;2009010613;7.3;1100
612300;2009010614;7.5;1100
612300;2009010615;8;1100
612300;2009010616;8.7;1100
612300;2009010617;10.2;1100
612300;2009010618;9.9;1100
612300;2009010619;10.2;1100
612300;2009010620;11.2;1100
612300;2009010621;12.9;1100
612300;2009010622;14.3;1100
612300;2009010623;15.1;1100
612300;2009010700;13.4;1100
612300;2009010701;10.2;1100
612300;2009010702;6.5;1100
612300;2009010703;7.1;1100
612300;2009010704;7.5;1100
612300;2009010705;8.1;1100
612300;2009010706;9;1100
612300;2009010707;8.2;1100
612300;2009010708;7.9;1100
612300;2009010709;6.5;1100
612300;2009010710;7.3;1100
612300;2009010711;6.1;1100
612300;2009010712;6.2;1100
612300;2009010713;6.4;1100
612300;2009010714;6.8;1100
612300;2009010715;7.1;1100
612300;2009010716;7.2;1100
612300;2009010717;5.1;1100
612300;2009010718;5.1;1100
612300;2009010719;4.7;1100
612300;2009010720;3.9;1100
612300;2009010721;3.1;1100
612300;2009010722;2;1100
612300;2009010723;2;1100
612300;2009010800;1.5;1100
612300;2009010801;0.6;1100
612300;2009010802;1.8;1100
612300;2009010803;4.7;1100
612300;2009010804;6.7;1100
612300;2009010805;7.9;1100
612300;2009010806;8.9;1100
612300;2009010807;9.3;1100
612300;2009010808;8.7;1100
612300;2009010809;9.5;1100
612300;2009010810;9.4;1100
612300;2009010811;9;1100
612300;2009010812;9.3;1100
612300;2009010813;8.1;1100
612300;2009010814;8.9;1100
612300;2009010815;7.4;1100
612300;2009010816;8.7;1100
612300;2009010817;9.8;1100
612300;2009010818;8.9;1100
612300;2009010819;8.3;1100
612300;2009010820;9.3;1100
612300;2009010821;8.5;1100
612300;2009010822;7.9;1100
612300;2009010823;6.9;1100
612300;2009010900;5.8;1100
612300;2009010901;5.2;1100
612300;2009010902;5.2;1100
612300;2009010903;6.2;1100
612300;2009010904;6.5;1100
612300;2009010905;4.9;1100
612300;2009010906;4.2;1100
612300;2009010907;4.5;1100
612300;2009010908;5.5;1100
612300;2009010909;5.8;1100
612300;2009010910;5.1;1100
612300;2009010911;4.5;1100
612300;2009010912;4.5;1100
612300;2009010913;5.3;1100
612300;2009010914;4.7;1100
612300;2009010915;4.6;1100
612300;2009010916;4.5;1100
612300;2009010917;3.8;1100
612300;2009010918;3;1100
612300;2009010919;3.2;1100
612300;2009010920;3.8;1100
612300;2009010921;3.3;1100
612300;2009010922;3.1;1100
612300;2009010923;2.8;1100
612300;2009011000;1.8;1100
612300;2009011001;0.5;1100
612300;2009011002;1.1;1100
612300;2009011003;3.2;1100
612300;2009011004;4;1100
612300;2009011005;4.1;1100
612300;2009011006;4.6;1100
612300;2009011007;4.9;1100
612300;2009011008;5.4;1100
612300;2009011009;5.9;1100
612300;2009011010;5.7;1100
612300;2009011011;6.3;1100
612300;2009011012;6.6;1100
612300;2009011013;6.9;1100
612300;2009011014;7.4;1100
612300;2009011015;6.9;1100
612300;2009011016;5.1;1100
612300;2009011017;6;1100
612300;2009011018;7.2;1100
612300;2009011019;7.8;1100
612300;2009011020;8.1;1100
612300;2009011021;8.2;1100
612300;2009011022;7.5;1100
612300;2009011023;7.5;1100
612300;2009011100;9;1100
612300;2009011101;9.8;1100
612300;2009011102;7;1100
612300;2009011103;8.5;1100
612300;2009011104;10;1100
612300;2009011105;8.5;1100
612300;2009011106;8.4;1100
612300;2009011107;9.4;1100
612300;2009011108;10.3;1100
612300;2009011109;11.1;1100
612300;2009011110;12.3;1100
612300;2009011111;11.2;1100
612300;2009011112;10.1;1100
612300;2009011113;10.7;1100
612300;2009011114;11.6;1100
612300;2009011115;12.3;1100
612300;2009011116;11.9;1100
612300;2009011117;12.9;1100
612300;2009011118;12.9;1100
612300;2009011119;13.1;1100
612300;2009011120;12.5;1100
612300;2009011121;12.1;1100
612300;2009011122;12.1;1100
612300;2009011123;11.6;1100
612300;2009011200;10.4;1100
612300;2009011201;11.7;1100
612300;2009011202;9.3;1100
612300;2009011203;10.4;1100
612300;2009011204;12.1;1100
612300;2009011205;11.1;1100
612300;2009011206;11.7;1100
612300;2009011207;11.5;1100
612300;2009011208;11.4;1100
612300;2009011209;11.7;1100
612300;2009011210;11;1100
612300;2009011211;10.7;1100
612300;2009011212;12.1;1100
612300;2009011213;12;1100
612300;2009011214;12.6;1100
612300;2009011215;12.1;1100
612300;2009011216;12.1;1100
612300;2009011217;11.3;1100
612300;2009011218;10.3;1100
612300;2009011219;11;1100
612300;2009011220;10.2;1100
612300;2009011221;9.7;1100
612300;2009011222;10.5;1100
612300;2009011223;10;1100
612300;2009011300;10.5;1100
612300;2009011301;9.7;1100
612300;2009011302;9.5;1100
612300;2009011303;9.3;1100
612300;2009011304;8.9;1100
612300;2009011305;9.4;1100
612300;2009011306;9.1;1100
612300;2009011307;8.7;1100
612300;2009011308;7.7;1100
612300;2009011309;7.1;1100
612300;2009011310;6.1;1100
612300;2009011311;8.2;1100
612300;2009011312;9.1;1100
612300;2009011313;8;1100
612300;2009011314;7.1;1100
612300;2009011315;7.3;1100
612300;2009011316;7.2;1100
612300;2009011317;6.9;1100
612300;2009011318;6.6;1100
612300;2009011319;6.2;1100
612300;2009011320;5.6;1100
612300;2009011321;5.9;1100
612300;2009011322;6.2;1100
612300;2009011323;5.1;1100
612300;2009011400;4.4;1100
612300;2009011401;4.8;1100
612300;2009011402;4.8;1100
612300;2009011403;4.6;1100
612300;2009011404;4.7;1100
612300;2009011405;4.9;1100
612300;2009011406;4.5;1100
612300;2009011407;4.5;1100
612300;2009011408;3;1100
612300;2009011409;3;1100
612300;2009011410;1.5;1100
612300;2009011411;2;1100
612300;2009011412;2.1;1100
612300;2009011413;2;1100
612300;2009011414;1;1100
612300;2009011415;0.8;1100
612300;2009011416;0;1100
612300;2009011417;0.4;1100
612300;2009011418;0.7;1100
612300;2009011419;1.2;1100
612300;2009011420;1.8;1100
612300;2009011421;0.9;1100
612300;2009011422;1.5;1100
612300;2009011423;2.5;1100
612300;2009011500;1.4;1100
612300;2009011501;1;1100
612300;2009011502;1.2;1100
612300;2009011503;1.6;1100
612300;2009011504;1.8;1100
612300;2009011505;2.4;1100
612300;2009011506;1.7;1100
612300;2009011507;2.2;1100
612300;2009011508;2;1100
612300;2009011509;0.6;1100
612300;2009011510;1.2;1100
612300;2009011511;1.1;1100
612300;2009011512;0.4;1100
612300;2009011513;0.4;1100
612300;2009011514;0.4;1100
612300;2009011515;1.5;1100
612300;2009011516;1.4;1100
612300;2009011517;1.1;1100
612300;2009011518;2;1100
612300;2009011519;2.7;1100
612300;2009011520;2.5;1100
612300;2009011521;3.1;1100
612300;2009011522;3.4;1100
612300;2009011523;3.4;1100
612300;2009011600;3.8;1100
612300;2009011601;6;1100
612300;2009011602;6.3;1100
612300;2009011603;6.6;1100
612300;2009011604;5.8;1100
612300;2009011605;5;1100
612300;2009011606;5.6;1100
612300;2009011607;6.7;1100
612300;2009011608;9.2;1100
612300;2009011609;9.2;1100
612300;2009011610;10.1;1100
612300;2009011611;9.4;1100
612300;2009011612;9.2;1100
612300;2009011613;9.2;1100
612300;2009011614;10.7;1100
612300;2009011615;10;1100
612300;2009011616;10.9;1100
612300;2009011617;11.1;1100
612300;2009011618;10.7;1100
612300;2009011619;11.8;1100
612300;2009011620;11.9;1100
612300;2009011621;11.6;1100
612300;2009011622;11.7;1100
