month;day;radiation_mean(MJ/m^2)
1;1;0.9
1;2;1.6
1;3;1.6
1;4;1.6
1;5;1.4
1;6;1.3
1;7;1.1
1;8;1.3
1;9;1.6
1;10;1.2
1;11;1.4
1;12;1.6
1;13;1.5
1;14;1.7
1;15;1.2
1;16;1.4
1;17;0.7
1;18;1.5
1;19;1.4
1;20;1
1;21;1.6
1;22;2.4
1;23;1.6
1;24;1.9
1;25;2.3
1;26;2
1;27;2.5
1;28;1.9
1;29;2.2
1;30;2.7
1;31;2.5
2;1;2.8
2;2;2.3
2;3;2.5
2;4;2.7
2;5;2.3
2;6;2.4
2;7;2.6
2;8;3.4
2;9;4.2
2;10;3.6
2;11;3.7
2;12;2.6
2;13;4.5
2;14;5.6
2;15;3.4
2;16;3.4
2;17;4.2
2;18;3.8
2;19;3.5
2;20;4.3
2;21;4.4
2;22;3.5
2;23;6.8
2;24;4.7
2;25;6.1
2;26;5
2;27;5
2;28;5.8
3;1;4.9
3;2;5.1
3;3;6.5
3;4;7.9
3;5;7.9
3;6;6.8
3;7;6.3
3;8;7.3
3;9;5.4
3;10;6.3
3;11;6.3
3;12;7.2
3;13;6.9
3;14;7.9
3;15;8.7
3;16;7.3
3;17;9.2
3;18;9.4
3;19;8.7
3;20;10.7
3;21;11.2
3;22;12.7
3;23;9.7
3;24;12.6
3;25;11.6
3;26;9.4
3;27;10.1
3;28;10.6
3;29;11
3;30;11.1
3;31;11.2
4;1;10.4
4;2;11.6
4;3;13.5
4;4;9.7
4;5;12
4;6;12.3
4;7;11.9
4;8;9.8
4;9;14.9
4;10;14.3
4;11;14.5
4;12;15
4;13;14.4
4;14;14.9
4;15;15.7
4;16;16.8
4;17;13.7
4;18;16.5
4;19;14.6
4;20;15.7
4;21;17.8
4;22;15.9
4;23;16.2
4;24;19.1
4;25;16.1
4;26;10.7
4;27;13.7
4;28;14
4;29;14.8
4;30;14.6
5;1;15.8
5;2;19.6
5;3;15.3
5;4;17.6
5;5;16.7
5;6;18.5
5;7;14.8
5;8;15.3
5;9;22.2
5;10;20.9
5;11;21.3
5;12;17.8
5;13;18.9
5;14;19.2
5;15;17.1
5;16;12.4
5;17;17.3
5;18;17.8
5;19;18.5
5;20;18.4
5;21;19.1
5;22;20.3
5;23;21.1
5;24;17
5;25;21.2
5;26;18.1
5;27;20.2
5;28;18.3
5;29;20.5
5;30;21.6
5;31;22
6;1;23.9
6;2;19.7
6;3;21.4
6;4;19.6
6;5;20.6
6;6;23.2
6;7;20.6
6;8;24.5
6;9;16.8
6;10;17.8
6;11;17.8
6;12;20.2
6;13;18.9
6;14;19.4
6;15;18.8
6;16;18.9
6;17;17
6;18;22.6
6;19;20.2
6;20;18.2
6;21;19.2
6;22;19.2
6;23;21.4
6;24;18.8
6;25;19.1
6;26;20.6
6;27;19.7
6;28;19.5
6;29;19.4
6;30;18.9
7;1;20.2
7;2;23.3
7;3;19.4
7;4;21.7
7;5;21.2
7;6;18
7;7;21.6
7;8;16.7
7;9;21
7;10;18.3
7;11;15.3
7;12;17.4
7;13;18.2
7;14;19.4
7;15;21.6
7;16;20.5
7;17;18
7;18;15.4
7;19;18.1
7;20;19.6
