statid;the_date;elem_val(MJ/m^2)
606500;20090101;1.4
606500;20090102;3.1
606500;20090103;1.2
606500;20090104;1
606500;20090105;3.2
606500;20090106;1.3
606500;20090107;2.8
606500;20090108;0.6
606500;20090109;1
606500;20090110;0.7
606500;20090111;0.8
606500;20090112;0.2
606500;20090113;1
606500;20090114;1.7
606500;20090115;1.5
606500;20090116;1.3
606500;20090117;0.4
606500;20090118;0.4
606500;20090119;1.6
606500;20090120;1.9
606500;20090121;2
606500;20090122;2.8
606500;20090123;0.5
606500;20090124;0.9
606500;20090125;1.9
606500;20090126;1.3
606500;20090127;1
606500;20090128;1
606500;20090129;1.3
606500;20090130;0.9
606500;20090131;1.6
606500;20090201;5
606500;20090202;1
606500;20090203;0.7
606500;20090204;1.1
606500;20090205;2.7
606500;20090206;2.2
606500;20090207;0.8
606500;20090208;5.6
606500;20090209;5.5
606500;20090210;2.2
606500;20090211;3.4
606500;20090212;7.8
606500;20090213;6.8
606500;20090214;8.1
606500;20090215;3.1
606500;20090216;3.4
606500;20090217;5.9
606500;20090218;2.5
606500;20090219;2.2
606500;20090220;2.9
606500;20090221;2
606500;20090222;4.6
606500;20090223;6.2
606500;20090224;4.8
606500;20090225;2.4
606500;20090226;3.6
606500;20090227;8.5
606500;20090228;3.9
606500;20060301;8.1
606500;20060302;4.8
606500;20060303;3.7
606500;20060304;4.6
606500;20060305;11.3
606500;20060306;7.8
606500;20060307;10.7
606500;20060308;11.7
606500;20060309;6.6
606500;20060310;8.7
606500;20060311;11.4
606500;20060312;10.7
606500;20060313;7.4
606500;20060314;12.5
606500;20060315;4.7
606500;20060316;5.2
606500;20060317;15.1
606500;20060318;11.9
606500;20060319;15.2
606500;20060320;14.4
606500;20060321;16
606500;20060322;14.9
606500;20060323;11.4
606500;20060324;11.5
606500;20060325;8.5
606500;20060326;1.4
606500;20060327;3
606500;20060328;2.8
606500;20060329;4.3
606500;20060330;4.7
606500;20060331;4.2
606500;20100401;7.4
606500;20100402;5.8
606500;20100403;16.1
606500;20100404;3.4
606500;20100405;8.1
606500;20100406;8
606500;20100407;18.2
606500;20100408;8.2
606500;20100409;16.4
606500;20100410;21.6
606500;20100411;20.7
606500;20100412;19.8
606500;20100413;20.9
606500;20100414;20.9
606500;20100415;16.4
606500;20100416;22.8
606500;20100417;12.5
606500;20100418;16.7
606500;20100419;22.4
606500;20100420;11.4
606500;20100421;17.3
606500;20100422;22.1
606500;20100423;12.7
606500;20100424;24.1
606500;20100425;16.6
606500;20100426;4.7
606500;20100427;7
606500;20100428;9
606500;20100429;16.1
606500;20100430;6.2
606500;20060501;19
606500;20060502;11.6
606500;20060503;20.5
606500;20060504;22.7
606500;20060505;23.3
606500;20060506;22.7
606500;20060507;22
606500;20060508;24.9
606500;20060509;26.2
606500;20060510;23.4
606500;20060511;25.6
606500;20060512;24.1
606500;20060513;23
606500;20060514;26.6
606500;20060515;15.1
606500;20060516;6.3
606500;20060517;7.7
606500;20060518;4.5
606500;20060519;11.1
606500;20060520;8.8
606500;20060521;12.2
606500;20060522;15
606500;20060523;12.3
606500;20060524;16.6
606500;20060525;22.4
606500;20060526;18.9
