statid;the_date;elem_val(MJ/m^2)
618800;20090101;2
618800;20090102;2.5
618800;20090103;0.5
618800;20090104;1.1
618800;20090105;3
618800;20090106;1.6
618800;20090107;3
618800;20090108;1.3
618800;20090109;0.4
618800;20090110;0.7
618800;20090111;2.4
618800;20090112;1.6
618800;20090113;0.3
618800;20090114;0.6
618800;20090115;1.9
618800;20090116;2.4
618800;20090117;1.5
618800;20090118;0.6
618800;20090119;1
618800;20090120;2.8
618800;20090121;3.7
618800;20090122;1.6
618800;20090123;0.6
618800;20090124;0.9
618800;20090125;1.2
618800;20090126;0.8
618800;20090127;1.2
618800;20090128;1.8
618800;20090129;1.7
618800;20090130;0.6
618800;20090131;2.2
618800;20090201;2.6
618800;20090202;3.1
618800;20090203;1.1
618800;20090204;0.7
618800;20090205;1.6
618800;20090206;1.3
618800;20090207;0.9
618800;20090208;4
618800;20090209;3.5
618800;20090210;3.1
618800;20090211;3.1
618800;20090212;5.1
618800;20090213;7.4
618800;20090214;7.5
618800;20090215;4.2
618800;20090216;2.7
618800;20090217;8.3
618800;20090218;4.2
618800;20090219;3.8
618800;20090220;3
618800;20090221;3.8
618800;20090222;4.7
618800;20090223;4.8
618800;20090224;9.1
618800;20090225;2.8
618800;20090226;3
618800;20090227;6
618800;20090228;5.5
618800;20060301;6.3
618800;20060302;5.5
618800;20060303;6.7
618800;20060304;8.9
618800;20060305;9.3
618800;20060306;4.7
618800;20060307;10.6
618800;20060308;11
618800;20060309;10.3
618800;20060310;10.3
618800;20060311;11.9
618800;20060312;12.6
618800;20060313;13.1
618800;20060314;12.7
618800;20060315;6.2
618800;20060316;4.7
618800;20060317;10.1
618800;20060318;8.3
618800;20060319;4.8
618800;20060320;5.4
618800;20060321;13.2
618800;20060322;13.6
618800;20060323;14.3
618800;20060324;13.7
618800;20060325;9.4
618800;20060326;1.8
618800;20060327;3.4
618800;20060328;5.8
618800;20060329;5.5
618800;20060330;6.2
618800;20060331;2.4
618800;20100401;10.4
618800;20100402;12.5
618800;20100403;17.4
618800;20100404;3.2
618800;20100405;5.5
618800;20100406;8.7
618800;20100407;19.3
618800;20100408;11.9
618800;20100409;7.7
618800;20100410;19.1
618800;20100411;16.8
618800;20100412;20.4
618800;20100413;17.5
618800;20100414;22.1
618800;20100415;21.6
618800;20100416;21.4
618800;20100417;9.2
618800;20100418;16.5
618800;20100419;20.6
618800;20100420;9.1
618800;20100421;9.7
618800;20100422;20.3
618800;20100423;11.7
618800;20100424;25
618800;20100425;22.9
618800;20100426;15
618800;20100427;10
618800;20100428;17.9
618800;20100429;14.6
618800;20100430;4.9
618800;20060501;16.1
618800;20060502;8.4
618800;20060503;22.4
618800;20060504;24.4
618800;20060505;24
618800;20060506;22.1
618800;20060507;23.6
618800;20060508;26
618800;20060509;27.4
618800;20060510;26.1
618800;20060511;26.8
618800;20060512;26.3
618800;20060513;16.3
618800;20060514;24.5
618800;20060515;20.2
618800;20060516;6.8
618800;20060517;16.2
618800;20060518;3.9
618800;20060519;10.5
618800;20060520;10.1
618800;20060521;10.2
618800;20060522;12.9
618800;20060523;7.9
618800;20060524;17.6
618800;20060525;18.7
618800;20060526;22.6
618800;20060527;22.3
