statid;the_date;elem_val(MJ/m^2)
610900;20081021;3.5
610900;20081022;3.2
610900;20081023;6.7
610900;20081024;0.6
610900;20081025;6.2
610900;20081026;1.1
610900;20081027;4.9
610900;20081028;6.1
610900;20081029;5.8
610900;20081030;4.1
610900;20081031;6.5
610900;20101101;2.5
610900;20101102;0.6
610900;20101103;5.3
610900;20101104;2.1
610900;20101105;3.5
610900;20101106;5.7
610900;20101107;6
610900;20101108;4.6
610900;20101109;2.1
610900;20101110;2.1
610900;20101111;1.9
610900;20101112;2.4
610900;20101113;4.3
610900;20101114;0.9
610900;20101115;4.2
610900;20101116;3.5
610900;20101117;2.2
610900;20101118;0.6
610900;20101119;0.7
610900;20101120;1.3
610900;20101121;0.8
610900;20101122;0.9
610900;20101123;0.8
610900;20101124;1.2
610900;20101125;2.9
610900;20101126;3.3
610900;20101127;2.9
610900;20101128;2.3
610900;20101129;1.8
610900;20101130;2.9
610900;20091201;3.4
610900;20091202;3.1
610900;20091203;0.3
610900;20091204;0.4
610900;20091205;0.8
610900;20091206;0.5
610900;20091207;1
610900;20091208;0.5
610900;20091209;0.8
610900;20091210;0.3
610900;20091211;1.4
610900;20091212;1.8
610900;20091213;1.8
610900;20091214;1.8
610900;20091215;1.2
610900;20091216;0.4
610900;20091217;1
610900;20091218;1.4
610900;20091219;2.7
610900;20091220;1
610900;20091221;0.9
610900;20091222;0.8
610900;20091223;1.4
610900;20091224;1.1
610900;20091225;0.6
610900;20091226;1.2
610900;20091227;0.4
610900;20091228;2.6
610900;20091229;2.2
610900;20091230;1.2
610900;20091231;2.1
