statid;the_date;elem_val(MJ/m^2)
619700;20090101;2.2
619700;20090102;3.1
619700;20090103;1
619700;20090104;1.6
619700;20090105;2.6
619700;20090106;1
619700;20090107;2.7
619700;20090108;2
619700;20090109;0.8
619700;20090110;0.5
619700;20090111;2.4
619700;20090112;3.7
619700;20090113;0.5
619700;20090114;0.8
619700;20090115;1.5
619700;20090116;3.5
619700;20090117;2
619700;20090118;0.6
619700;20090119;0.9
619700;20090120;1.1
619700;20090121;1.2
619700;20090122;1.4
619700;20090123;0.7
619700;20090124;0.6
619700;20090125;1.1
619700;20090126;1.3
619700;20090127;3.7
619700;20090128;2.4
619700;20090129;1.1
619700;20090130;0.8
619700;20090131;1.7
619700;20090201;2.8
619700;20090202;3.3
619700;20090203;2.5
619700;20090204;0.7
619700;20090205;0.9
619700;20090206;2.6
619700;20090207;1.1
619700;20090208;3.4
619700;20090209;1.7
619700;20090210;2.8
619700;20090211;1.4
619700;20090212;2.3
619700;20090213;4.3
619700;20090214;5.7
619700;20090215;7.7
619700;20090216;4.2
619700;20090217;6.6
619700;20090218;4.4
619700;20090219;4.3
619700;20090220;4.8
619700;20090221;3.2
619700;20090222;2.9
619700;20090223;2.1
619700;20090224;1.5
619700;20090225;1.8
619700;20090226;3.2
619700;20090227;9.5
619700;20090228;8.9
619700;20060301;3.8
619700;20060302;5
619700;20060303;5.7
619700;20060304;9.1
619700;20060305;10.4
619700;20060306;8.8
619700;20060307;13.1
619700;20060308;10.3
619700;20060309;12
619700;20060310;8.1
619700;20060311;7.2
619700;20060312;10.3
619700;20060313;12.3
619700;20060314;6.4
619700;20060315;7.2
619700;20060316;8.8
619700;20060317;4.8
619700;20060318;14.3
619700;20060319;5.4
619700;20060320;6.7
619700;20060321;17.2
619700;20060322;14.7
619700;20060323;16.3
619700;20060324;15.3
619700;20060325;8.7
619700;20060326;4.3
619700;20060327;3.3
619700;20060328;14.3
619700;20060329;12.9
619700;20060330;9.8
619700;20060331;6.4
619700;20100401;18.1
619700;20100402;18.5
619700;20100403;17
619700;20100404;4.3
619700;20100405;12.7
619700;20100406;16.7
619700;20100407;19.7
619700;20100408;17.4
619700;20100409;13.4
619700;20100410;11.4
619700;20100411;11.6
619700;20100412;7.8
619700;20100413;18.1
619700;20100414;21.1
619700;20100415;22.4
619700;20100416;18.3
619700;20100417;13.1
619700;20100418;20.9
619700;20100419;23.6
619700;20100420;15.9
619700;20100421;15.8
619700;20100422;21.4
619700;20100423;16
619700;20100424;24.7
619700;20100425;23.8
619700;20100426;22.9
619700;20100427;15.1
619700;20100428;16.7
619700;20100429;14.4
619700;20100430;14.5
