statid;the_date;elem_val(MJ/m^2)
614100;20090101;1.7
614100;20090102;3
614100;20090103;1
614100;20090104;0.8
614100;20090105;3.1
614100;20090106;1.4
614100;20090107;3.2
614100;20090108;2.6
614100;20090109;3
614100;20090110;0.9
614100;20090111;2.5
614100;20090112;2.1
614100;20090113;0.4
614100;20090114;0.6
614100;20090115;0.9
614100;20090116;1.8
614100;20090117;0.6
614100;20090118;1.5
614100;20090119;2.5
614100;20090120;3.3
614100;20090121;3.9
614100;20090122;3.2
614100;20090123;1.8
614100;20090124;1
614100;20090125;2.3
614100;20090126;0.9
614100;20090127;2.1
614100;20090128;1.5
614100;20090129;1.3
614100;20090130;1.3
614100;20090131;1.9
614100;20090201;1.6
614100;20090202;1.5
614100;20090203;3.9
614100;20090204;0.7
614100;20090205;2.6
614100;20090206;2.1
614100;20090207;1.9
614100;20090208;3.3
614100;20090209;2
614100;20090210;1.3
614100;20090211;4
614100;20090212;2.9
614100;20090213;7.3
614100;20090214;7.1
614100;20090215;2.1
614100;20090216;1.8
614100;20090217;8.3
614100;20090218;5.5
614100;20090219;2.4
614100;20090220;3
614100;20090221;4.8
614100;20090222;4.8
614100;20090223;2.2
614100;20090224;9.1
614100;20090225;1.4
614100;20090226;2.2
614100;20090227;3.5
614100;20090228;4.2
614100;20060301;5.1
614100;20060302;4.5
614100;20060303;5.3
614100;20060304;6.8
614100;20060305;11.9
614100;20060306;6.2
614100;20060307;13.1
614100;20060308;10.7
614100;20060309;12
614100;20060310;6.7
614100;20060311;12.2
614100;20060312;14.6
614100;20060313;14.3
614100;20060314;12.8
614100;20060315;5.5
614100;20060316;5.5
614100;20060317;5.5
614100;20060318;10.9
614100;20060319;8.6
614100;20060320;5.9
614100;20060321;14.9
614100;20060322;13.2
614100;20060323;15.4
614100;20060324;13.5
614100;20060325;3.8
614100;20060326;2.1
614100;20060327;4.4
614100;20060328;9
614100;20060329;4.8
614100;20060330;3.8
614100;20060331;3.3
614100;20100401;10.7
614100;20100402;16.6
614100;20100403;16
614100;20100404;5.3
614100;20100405;7.1
614100;20100406;12
614100;20100407;18.8
614100;20100408;12.4
614100;20100409;9.2
614100;20100410;19.5
614100;20100411;8.7
614100;20100412;19.3
614100;20100413;16.3
614100;20100414;21.4
614100;20100415;21.3
614100;20100416;21.6
614100;20100417;15.4
614100;20100418;19.1
614100;20100419;16
614100;20100420;8.9
614100;20100421;9.5
614100;20100422;20.9
614100;20100423;12.8
614100;20100424;23.2
614100;20100425;22.5
614100;20100426;14.5
614100;20100427;17.7
614100;20100428;21.7
614100;20100429;18.5
614100;20100430;6.4
614100;20060501;23.1
614100;20060502;16.2
614100;20060503;23.8
614100;20060504;24.3
614100;20060505;23.8
614100;20060506;21.5
614100;20060507;22.6
614100;20060508;25.3
614100;20060509;26.9
614100;20060510;25.5
614100;20060511;25.3
614100;20060512;25.1
614100;20060513;19.2
614100;20060514;24.4
614100;20060515;19.7
614100;20060516;4.2
614100;20060517;5.9
614100;20060518;9.7
614100;20060519;9.5
614100;20060520;11
614100;20060521;12
614100;20060522;10.3
614100;20060523;12.6
614100;20060524;19.8
614100;20060525;24.6
614100;20060526;20.3
614100;20060527;11
614100;20060528;12.1
614100;20060529;21.4
614100;20060530;16.7
614100;20060531;23.4
614100;20050601;14.9
614100;20050602;6.5
614100;20050603;19.1
614100;20050604;14.1
614100;20050605;11.2
614100;20050606;16.6
614100;20050607;30.1
614100;20050608;27.2
614100;20050609;26.2
614100;20050610;19.5
614100;20050611;28.4
614100;20050612;21.3
614100;20050613;16.5
614100;20050614;26.5
614100;20050615;29
614100;20050616;17.6
614100;20050617;7.9
614100;20050618;30.3
614100;20050619;22
614100;20050620;27.9
614100;20050621;19.8
614100;20050622;26.6
614100;20050623;28.7
614100;20050624;22.7
614100;20050625;11.4
614100;20050626;27.8
614100;20050627;28.1
614100;20050628;26.6
614100;20050629;29.7
614100;20050630;28.4
614100;20090701;20.6
614100;20090702;27.6
614100;20090703;28.1
614100;20090704;25.5
614100;20090705;10.3
614100;20090706;17.9
614100;20090707;24.8
614100;20090708;22.5
614100;20090709;20.9
614100;20090710;12.3
614100;20090711;23
614100;20090712;19.5
614100;20090713;20.4
614100;20090714;25.4
614100;20090715;21.6
614100;20090716;25.3
614100;20090717;16.6
614100;20090718;9.9
614100;20090719;16.6
614100;20090720;14.7
614100;20090721;23.9
614100;20090722;10.4
614100;20090723;10
614100;20090724;16.6
614100;20090725;19.8
614100;20090726;17
614100;20090727;18
614100;20090728;21.3
614100;20090729;20.1
614100;20090730;18
614100;20090731;19.5
614100;20090801;21.4
614100;20090802;14.4
614100;20090803;8.7
614100;20090804;10.9
614100;20090805;20.3
614100;20090806;23.5
614100;20090807;22.2
614100;20090808;19.7
614100;20090809;17.9
614100;20090810;15
614100;20090811;11.1
614100;20090812;12.5
614100;20090813;19.6
614100;20090814;21.2
614100;20090815;16.1
614100;20090816;20.3
614100;20090817;9.5
614100;20090818;19.3
614100;20090819;20.9
614100;20090820;21
614100;20090821;8.6
614100;20090822;19.9
614100;20090823;19.9
614100;20090824;21.4
614100;20090825;11
614100;20090826;17
614100;20090827;17.7
614100;20090828;8
614100;20090829;14.4
614100;20090830;12.4
614100;20090831;8.9
614100;20090901;18.3
614100;20090902;11
614100;20090903;7
614100;20090904;14.3
614100;20090905;10.1
614100;20090906;11.7
614100;20090907;12.5
614100;20090908;17
614100;20090909;12.8
614100;20090910;13.8
614100;20090911;15.2
614100;20090912;13.7
614100;20090913;13.6
614100;20090914;9.9
614100;20090915;11.9
614100;20090916;16.2
614100;20090917;13.4
614100;20090918;15.4
614100;20090919;14.6
614100;20090920;13.2
614100;20090921;12
614100;20090922;8.7
614100;20090923;8.5
614100;20090924;12.9
614100;20090925;10.7
614100;20090926;4.4
614100;20090927;9.2
614100;20090928;3.2
614100;20090929;11.7
614100;20090930;7.8
614100;20081001;3.8
614100;20081002;5.2
614100;20081003;5.6
614100;20081004;9
614100;20081005;1.4
614100;20081006;10.3
614100;20081007;7.7
614100;20081008;5.9
614100;20081009;8.8
614100;20081010;6.7
614100;20081011;9.5
614100;20081012;2.8
614100;20081013;7.1
614100;20081014;6.7
614100;20081015;2.8
614100;20081016;4.3
614100;20081017;8.2
614100;20081018;2.3
614100;20081019;5.7
614100;20081020;7.1
614100;20081021;1.8
614100;20081022;3.6
614100;20081023;7.9
614100;20081024;2.4
614100;20081025;7.5
614100;20081026;0.5
614100;20081027;2.3
614100;20081028;6.1
614100;20081029;4.9
614100;20081030;1.2
614100;20081031;6.9
614100;20101101;1.5
614100;20101102;1.4
614100;20101103;3.9
614100;20101104;1.3
614100;20101105;4.7
614100;20101106;4.6
614100;20101107;4.3
614100;20101108;3
614100;20101109;2.1
614100;20101110;1.2
614100;20101111;2.5
614100;20101112;1.6
614100;20101113;2.8
614100;20101114;0.6
614100;20101115;3.3
614100;20101116;2.8
614100;20101117;1.4
614100;20101118;0.4
614100;20101119;0.8
614100;20101120;1
614100;20101121;1.1
614100;20101122;1.8
614100;20101123;0.5
614100;20101124;1.2
614100;20101125;2.4
614100;20101126;1.9
614100;20101127;3.3
614100;20101128;2.1
614100;20101129;1.4
614100;20101130;3.8
614100;20091201;1.8
614100;20091202;3.5
614100;20091203;0.8
614100;20091204;1.1
614100;20091205;1.6
614100;20091206;1.1
614100;20091207;0.5
614100;20091208;0.4
614100;20091209;0.4
614100;20091210;0.4
614100;20091211;1.3
614100;20091212;0.8
614100;20091213;2.4
614100;20091214;0.5
614100;20091215;1.6
614100;20091216;1.4
614100;20091217;1
614100;20091218;1
614100;20091219;1.3
614100;20091220;1.7
614100;20091221;1.2
614100;20091222;0.9
614100;20091223;1
614100;20091224;0.9
614100;20091225;0.4
614100;20091226;0.5
614100;20091227;0.5
614100;20091228;2.6
614100;20091229;3.1
614100;20091230;1.1
614100;20091231;1.6
