jan -999 -999 48 61 76 60 52 40 51 57 40 55 76 11 52
feb -999 -999 156 133 100 98 85 123 101 107 85 113 156 23 123
mar -999 -999 340 270 293 293 290 286 235 277 235 285 340 29 293
apr -999 -999 479 507 538 413 531 400 591 507 400 496 591 64 507
maj -999 -999 684 647 599 653 651 770 665 485 485 644 770 80 653
jun -999 -999 711 583 690 695 611 747 680 722 583 680 747 56 690
jul -999 -999 598 581 670 767 566 724 637 691 566 654 767 72 637
aug -999 -999 524 505 516 448 493 442 578 448 442 494 578 47 578
sep -999 94 347 362 364 389 293 287 357 319 94 312 389 89 357
okt -999 132 184 164 240 178 181 175 158 205 132 180 240 30 175
nov -999 55 49 90 81 72 76 57 57 49 49 65 90 15 49
dec -999 34 39 38 35 44 25 31 32 42 25 36 44 6 32
