jan 34 41 49 42 56 59 54 38 38 57 34 47 59 9 54
feb 116 106 112 145 120 97 78 100 109 109 78 109 145 17 100
mar 255 285 292 295 314 293 307 251 258 277 251 283 314 22 293
apr 323 398 467 401 455 388 523 454 518 461 323 439 523 62 461
maj 610 573 507 634 600 590 561 742 683 598 507 610 742 65 590
jun 612 692 612 621 600 665 606 721 761 665 600 655 761 55 600
jul 646 570 616 574 572 707 509 690 536 630 509 605 707 64 536
aug 430 516 563 526 483 444 499 462 483 453 430 486 563 41 483
sep 222 367 308 357 329 332 321 301 313 321 222 317 367 39 313
okt 125 146 202 167 193 169 191 175 173 161 125 170 202 23 175
nov 78 50 54 58 60 64 75 61 37 70 37 61 78 12 70
dec 31 22 31 34 36 31 26 29 36 50 22 33 50 8 36
